Chromosome	Midpoint	GenesPerMb	DNATEsPerMb	RNATEsPerMb
1	500001.0	22.0	28.0	64.0
1	1000001.0	16.0	22.0	62.0
1	1500001.0	22.0	24.0	55.0
1	2000001.0	23.0	23.0	52.0
1	2500001.0	31.0	20.0	57.0
1	3000001.0	42.0	31.0	53.0
1	3500001.0	43.0	36.0	48.0
1	4000001.0	37.0	28.0	53.0
1	4500001.0	35.0	32.0	56.0
1	5000001.0	36.0	35.0	58.0
1	5500001.0	37.0	31.0	58.0
1	6000001.0	39.0	34.0	55.0
1	6500001.0	34.0	37.0	58.0
1	7000001.0	35.0	33.0	54.0
1	7500001.0	35.0	33.0	49.0
1	8000001.0	42.0	39.0	52.0
1	8500001.0	47.0	38.0	61.0
1	9000001.0	36.0	38.0	66.0
1	9500001.0	26.0	36.0	63.0
1	10000001.0	21.0	25.0	56.0
1	10500001.0	22.0	31.0	52.0
1	11000001.0	31.0	34.0	57.0
1	11500001.0	31.0	32.0	59.0
1	12000001.0	34.0	35.0	59.0
1	12500001.0	40.0	33.0	55.0
1	13000001.0	32.0	43.0	62.0
1	13500001.0	31.0	48.0	68.0
1	14000001.0	27.0	43.0	61.0
1	14500001.0	28.0	33.0	56.0
1	15000001.0	30.0	29.0	56.0
1	15500001.0	24.0	36.0	63.0
1	16000001.0	21.0	34.0	70.0
1	16500001.0	26.0	31.0	66.0
1	17000001.0	29.0	32.0	63.0
1	17500001.0	34.0	38.0	64.0
1	18000001.0	39.0	37.0	60.0
1	18500001.0	28.0	33.0	62.0
1	19000001.0	22.0	37.0	57.0
1	19500001.0	27.0	39.0	55.0
1	20000001.0	29.0	41.0	70.0
1	20500001.0	27.0	39.0	71.0
1	21000001.0	20.0	35.0	69.0
1	21500001.0	31.0	35.0	68.0
1	22000001.0	35.0	35.0	61.0
1	22500001.0	23.0	40.0	69.0
1	23000001.0	30.0	48.0	67.0
1	23500001.0	30.0	45.0	53.0
1	24000001.0	19.0	27.0	60.0
1	24500001.0	14.0	24.0	70.0
1	25000001.0	14.0	31.0	61.0
1	25500001.0	30.0	25.0	53.0
1	26000001.0	32.0	23.0	59.0
1	26500001.0	20.0	26.0	63.0
1	27000001.0	22.0	35.0	61.0
1	27500001.0	22.0	42.0	63.0
1	28000001.0	21.0	32.0	67.0
1	28500001.0	27.0	28.0	60.0
1	29000001.0	27.0	33.0	62.0
1	29500001.0	21.0	32.0	68.0
1	30000001.0	16.0	25.0	65.0
1	30500001.0	15.0	27.0	65.0
1	31000001.0	22.0	44.0	66.0
1	31500001.0	23.0	42.0	62.0
1	32000001.0	24.0	28.0	57.0
1	32500001.0	25.0	35.0	64.0
1	33000001.0	21.0	39.0	73.0
1	33500001.0	20.0	29.0	66.0
1	34000001.0	17.0	30.0	64.0
1	34500001.0	22.0	32.0	66.0
1	35000001.0	27.0	28.0	67.0
1	35500001.0	24.0	31.0	71.0
1	36000001.0	18.0	35.0	66.0
1	36500001.0	14.0	30.0	70.0
1	37000001.0	22.0	22.0	66.0
1	37500001.0	22.0	19.0	64.0
1	38000001.0	24.0	31.0	63.0
1	38500001.0	33.0	44.0	63.0
1	39000001.0	34.0	41.0	68.0
1	39500001.0	24.0	34.0	65.0
1	40000001.0	22.0	31.0	59.0
1	40500001.0	28.0	33.0	56.0
1	41000001.0	26.0	32.0	60.0
1	41500001.0	27.0	31.0	62.0
1	42000001.0	28.0	31.0	63.0
1	42500001.0	21.0	31.0	64.0
1	43000001.0	21.0	24.0	53.0
1	43500001.0	25.0	26.0	56.0
1	44000001.0	21.0	28.0	70.0
1	44500001.0	24.0	30.0	67.0
1	45000001.0	22.0	38.0	65.0
1	45500001.0	24.0	38.0	61.0
1	46000001.0	38.0	46.0	62.0
1	46500001.0	34.0	44.0	72.0
1	47000001.0	21.0	27.0	74.0
1	47500001.0	23.0	22.0	71.0
1	48000001.0	26.0	24.0	66.0
1	48500001.0	22.0	29.0	56.0
1	49000001.0	22.0	40.0	56.0
1	49500001.0	25.0	35.0	61.0
1	50000001.0	22.0	24.0	63.0
1	50500001.0	14.0	32.0	65.0
1	51000001.0	11.0	38.0	68.0
1	51500001.0	16.0	30.0	66.0
1	52000001.0	14.0	30.0	67.0
1	52500001.0	16.0	32.0	71.0
1	53000001.0	30.0	37.0	69.0
1	53500001.0	25.0	33.0	65.0
1	54000001.0	15.0	34.0	67.0
1	54500001.0	15.0	41.0	74.0
1	55000001.0	18.0	34.0	69.0
1	55500001.0	19.0	27.0	69.0
1	56000001.0	17.0	28.0	70.0
1	56500001.0	18.0	30.0	63.0
1	57000001.0	27.0	30.0	63.0
1	57500001.0	24.0	30.0	62.0
1	58000001.0	21.0	38.0	65.0
1	58500001.0	20.0	33.0	69.0
1	59000001.0	13.0	27.0	67.0
1	59500001.0	12.0	29.0	71.0
1	60000001.0	16.0	28.0	69.0
1	60500001.0	34.0	38.0	63.0
1	61000001.0	29.0	35.0	69.0
1	61500001.0	20.0	29.0	67.0
1	62000001.0	24.0	31.0	65.0
1	62500001.0	17.0	29.0	62.0
1	63000001.0	23.0	33.0	59.0
1	63500001.0	33.0	38.0	63.0
1	64000001.0	22.0	36.0	66.0
1	64500001.0	17.0	37.0	72.0
1	65000001.0	18.0	39.0	67.0
1	65500001.0	23.0	40.0	57.0
1	66000001.0	23.0	32.0	63.0
1	66500001.0	17.0	35.0	70.0
1	67000001.0	20.0	32.0	63.0
1	67500001.0	17.0	31.0	64.0
1	68000001.0	13.0	37.0	76.0
1	68500001.0	21.0	33.0	76.0
1	69000001.0	26.0	28.0	61.0
1	69500001.0	20.0	33.0	61.0
1	70000001.0	17.0	36.0	73.0
1	70500001.0	14.0	31.0	71.0
1	71000001.0	11.0	33.0	67.0
1	71500001.0	13.0	37.0	63.0
1	72000001.0	17.0	40.0	60.0
1	72500001.0	18.0	33.0	70.0
1	73000001.0	16.0	34.0	78.0
1	73500001.0	15.0	34.0	69.0
1	74000001.0	13.0	33.0	64.0
1	74500001.0	13.0	41.0	64.0
1	75000001.0	17.0	38.0	66.0
1	75500001.0	19.0	32.0	71.0
1	76000001.0	18.0	31.0	65.0
1	76500001.0	17.0	23.0	66.0
1	77000001.0	15.0	23.0	67.0
1	77500001.0	15.0	24.0	67.0
1	78000001.0	19.0	25.0	74.0
1	78500001.0	17.0	33.0	65.0
1	79000001.0	11.0	32.0	64.0
1	79500001.0	9.0	28.0	70.0
1	80000001.0	7.0	25.0	80.0
1	80500001.0	22.0	30.0	75.0
1	81000001.0	26.0	32.0	64.0
1	81500001.0	16.0	33.0	73.0
1	82000001.0	19.0	36.0	68.0
1	82500001.0	19.0	31.0	65.0
1	83000001.0	22.0	28.0	64.0
1	83500001.0	21.0	27.0	66.0
1	84000001.0	22.0	35.0	73.0
1	84500001.0	20.0	30.0	75.0
1	85000001.0	13.0	24.0	73.0
1	85500001.0	11.0	27.0	74.0
1	86000001.0	20.0	28.0	71.0
1	86500001.0	21.0	33.0	67.0
1	87000001.0	14.0	31.0	73.0
1	87500001.0	16.0	36.0	73.0
1	88000001.0	16.0	39.0	66.0
1	88500001.0	11.0	39.0	69.0
1	89000001.0	14.0	39.0	75.0
1	89500001.0	21.0	40.0	69.0
1	90000001.0	15.0	32.0	63.0
1	90500001.0	12.0	30.0	62.0
1	91000001.0	13.0	37.0	60.0
1	91500001.0	11.0	26.0	58.0
1	92000001.0	9.0	26.0	64.0
1	92500001.0	10.0	26.0	69.0
1	93000001.0	12.0	31.0	67.0
1	93500001.0	12.0	26.0	64.0
1	94000001.0	13.0	24.0	61.0
1	94500001.0	13.0	31.0	63.0
1	95000001.0	9.0	25.0	69.0
1	95500001.0	6.0	32.0	74.0
1	96000001.0	11.0	37.0	71.0
1	96500001.0	14.0	36.0	63.0
1	97000001.0	17.0	38.0	59.0
1	97500001.0	16.0	31.0	69.0
1	98000001.0	11.0	26.0	71.0
1	98500001.0	14.0	34.0	63.0
1	99000001.0	11.0	34.0	69.0
1	99500001.0	9.0	31.0	72.0
1	100000001.0	9.0	32.0	69.0
1	100500001.0	7.0	28.0	66.0
1	101000001.0	10.0	27.0	71.0
1	101500001.0	9.0	33.0	73.0
1	102000001.0	10.0	28.0	68.0
1	102500001.0	11.0	26.0	63.0
1	103000001.0	9.0	32.0	61.0
1	103500001.0	9.0	39.0	66.0
1	104000001.0	9.0	37.0	67.0
1	104500001.0	8.0	33.0	67.0
1	105000001.0	7.0	28.0	67.0
1	105500001.0	12.0	26.0	63.0
1	106000001.0	12.0	27.0	63.0
1	106500001.0	5.0	21.0	67.0
1	107000001.0	7.0	24.0	64.0
1	107500001.0	10.0	27.0	63.0
1	108000001.0	11.0	26.0	66.0
1	108500001.0	14.0	22.0	67.0
1	109000001.0	14.0	23.0	68.0
1	109500001.0	12.0	29.0	62.0
1	110000001.0	12.0	28.0	65.0
1	110500001.0	12.0	24.0	72.0
1	111000001.0	8.0	20.0	70.0
1	111500001.0	5.0	17.0	73.0
1	112000001.0	5.0	18.0	72.0
1	112500001.0	6.0	22.0	69.0
1	113000001.0	8.0	22.0	66.0
1	113500001.0	9.0	15.0	67.0
1	114000001.0	8.0	21.0	68.0
1	114500001.0	8.0	26.0	67.0
1	115000001.0	10.0	26.0	62.0
1	115500001.0	6.0	26.0	67.0
1	116000001.0	2.0	20.0	73.0
1	116500001.0	7.0	20.0	63.0
1	117000001.0	10.0	16.0	67.0
1	117500001.0	7.0	12.0	65.0
1	118000001.0	8.0	18.0	62.0
1	118500001.0	10.0	24.0	67.0
1	119000001.0	5.0	20.0	63.0
1	119500001.0	4.0	23.0	68.0
1	120000001.0	6.0	22.0	69.0
1	120500001.0	6.0	22.0	66.0
1	121000001.0	10.0	30.0	68.0
1	121500001.0	9.0	27.0	71.0
1	122000001.0	5.0	22.0	68.0
1	122500001.0	9.0	21.0	71.0
1	123000001.0	11.0	24.0	69.0
1	123500001.0	7.0	27.0	62.0
1	124000001.0	5.0	21.0	61.0
1	124500001.0	5.0	17.0	63.0
1	125000001.0	3.0	24.0	71.0
1	125500001.0	3.0	26.0	75.0
1	126000001.0	5.0	30.0	71.0
1	126500001.0	9.0	27.0	63.0
1	127000001.0	10.0	22.0	69.0
1	127500001.0	9.0	28.0	70.0
1	128000001.0	5.0	23.0	69.0
1	128500001.0	4.0	14.0	71.0
1	129000001.0	9.0	18.0	68.0
1	129500001.0	7.0	23.0	69.0
1	130000001.0	8.0	22.0	67.0
1	130500001.0	7.0	20.0	62.0
1	131000001.0	6.0	17.0	59.0
1	131500001.0	7.0	21.0	64.0
1	132000001.0	3.0	29.0	73.0
1	132500001.0	1.0	27.0	72.0
1	133000001.0	5.0	18.0	64.0
1	133500001.0	6.0	17.0	59.0
1	134000001.0	1.0	16.0	64.0
1	134500001.0	3.0	16.0	66.0
1	135000001.0	5.0	19.0	70.0
1	135500001.0	2.0	23.0	74.0
1	136000001.0	0.0	21.0	69.0
1	136500001.0	8.0	17.0	71.0
1	137000001.0	8.0	25.0	82.0
1	137500001.0	1.0	23.0	80.0
1	138000001.0	1.0	20.0	74.0
1	138500001.0	1.0	27.0	76.0
1	139000001.0	2.0	28.0	76.0
1	139500001.0	5.0	21.0	60.0
1	140000001.0	8.0	16.0	52.0
1	140500001.0	9.0	16.0	64.0
1	141000001.0	6.0	22.0	70.0
1	141500001.0	3.0	23.0	71.0
1	142000001.0	11.0	23.0	64.0
1	142500001.0	12.0	29.0	59.0
1	143000001.0	10.0	23.0	61.0
1	143500001.0	12.0	22.0	68.0
1	144000001.0	8.0	25.0	65.0
1	144500001.0	9.0	25.0	64.0
1	145000001.0	6.0	26.0	73.0
1	145500001.0	3.0	21.0	76.0
1	146000001.0	6.0	23.0	75.0
1	146500001.0	7.0	25.0	71.0
1	147000001.0	6.0	20.0	66.0
1	147500001.0	7.0	22.0	67.0
1	148000001.0	9.0	25.0	62.0
1	148500001.0	9.0	24.0	55.0
1	149000001.0	8.0	23.0	64.0
1	149500001.0	7.0	25.0	67.0
1	150000001.0	10.0	24.0	59.0
1	150500001.0	10.0	18.0	59.0
1	151000001.0	10.0	22.0	59.0
