Interval	N_Genes	N_Tandem	N_RNATE	N_DNATE	Subgenome
1:0-1000000	22	0	64	28	maize1
1:1000000-2000000	22	4	55	24	maize1
1:2000000-3000000	31	0	57	20	maize1
1:3000000-4000000	43	0	48	36	maize1
1:4000000-5000000	35	0	56	32	maize1
1:5000000-6000000	37	0	58	31	maize1
1:6000000-7000000	34	2	58	37	maize1
1:7000000-8000000	35	10	49	33	maize1
1:8000000-9000000	47	9	61	38	maize1
1:9000000-10000000	26	6	63	36	maize1
1:10000000-11000000	22	2	52	31	maize1
1:11000000-12000000	31	4	59	32	maize1
1:12000000-13000000	40	2	55	33	maize1
1:13000000-14000000	31	3	68	48	maize1
1:14000000-15000000	28	3	56	33	maize1
1:15000000-16000000	24	6	63	36	maize1
1:16000000-17000000	26	2	66	31	maize1
1:17000000-18000000	34	7	64	38	maize1
1:18000000-19000000	28	8	62	33	maize1
1:19000000-20000000	27	6	55	39	maize1
1:20000000-21000000	27	2	71	39	maize1
1:21000000-22000000	31	4	68	35	maize1
1:22000000-23000000	23	0	69	40	maize1
1:23000000-24000000	30	0	53	45	maize1
1:24000000-25000000	14	4	70	24	maize1
1:25000000-26000000	30	0	53	25	Nonsyntenic
1:26000000-27000000	20	0	63	26	maize1
1:27000000-28000000	22	1	63	42	maize1
1:28000000-29000000	27	1	60	28	maize1
1:29000000-30000000	21	0	68	32	maize1
1:30000000-31000000	15	3	65	27	maize1
1:31000000-32000000	23	7	62	42	maize1
1:32000000-33000000	25	2	64	35	maize1
1:33000000-34000000	20	2	66	29	maize1
1:34000000-35000000	22	0	66	32	maize1
1:35000000-36000000	24	5	71	31	Nonsyntenic
1:36000000-37000000	14	0	70	30	Nonsyntenic
1:37000000-38000000	22	2	64	19	maize1
1:38000000-39000000	33	4	63	44	maize1
1:39000000-40000000	24	3	65	34	maize1
1:40000000-41000000	28	0	56	33	maize1
1:41000000-42000000	27	2	62	31	maize1
1:42000000-43000000	21	2	64	31	maize1
1:43000000-44000000	25	0	56	26	maize1
1:44000000-45000000	24	4	67	30	maize1
1:45000000-46000000	24	2	61	38	maize1
1:46000000-47000000	34	0	72	44	maize1
1:47000000-48000000	23	6	71	22	maize1
1:48000000-49000000	22	5	56	29	maize1
1:49000000-50000000	25	2	61	35	maize1
1:50000000-51000000	14	0	65	32	maize1
1:51000000-52000000	16	0	66	30	maize1
1:52000000-53000000	16	0	71	32	maize1
1:53000000-54000000	25	2	65	33	maize1
1:54000000-55000000	15	2	74	41	maize1
1:55000000-56000000	19	0	69	27	maize1
1:56000000-57000000	18	0	63	30	maize1
1:57000000-58000000	24	6	62	30	maize1
1:58000000-59000000	20	8	69	33	maize1
1:59000000-60000000	12	0	71	29	maize1
1:60000000-61000000	34	5	63	38	maize1
1:61000000-62000000	20	2	67	29	maize1
1:62000000-63000000	17	2	62	29	maize1
1:63000000-64000000	33	4	63	38	maize1
1:64000000-65000000	17	6	72	37	maize1
1:65000000-66000000	23	5	57	40	maize1
1:66000000-67000000	17	0	70	35	maize1
1:67000000-68000000	17	5	64	31	maize1
1:68000000-69000000	21	5	76	33	maize1
1:69000000-70000000	20	0	61	33	maize1
1:70000000-71000000	14	0	71	31	maize1
1:71000000-72000000	13	2	63	37	maize1
1:72000000-73000000	18	2	70	33	maize1
1:73000000-74000000	15	0	69	34	maize1
1:74000000-75000000	13	3	64	41	maize1
1:75000000-76000000	19	0	71	32	maize1
1:76000000-77000000	17	0	66	23	maize1
1:77000000-78000000	15	6	67	24	maize1
1:78000000-79000000	17	3	65	33	maize1
1:79000000-80000000	9	0	70	28	maize1
1:80000000-81000000	22	3	75	30	maize1
1:81000000-82000000	16	2	73	33	maize1
1:82000000-83000000	19	1	65	31	maize1
1:83000000-84000000	21	9	66	27	maize1
1:84000000-85000000	20	0	75	30	maize1
1:85000000-86000000	11	0	74	27	maize1
1:86000000-87000000	21	4	67	33	maize1
1:87000000-88000000	16	6	73	36	maize1
1:88000000-89000000	11	0	69	39	maize1
1:89000000-90000000	21	0	69	40	maize1
1:90000000-91000000	12	2	62	30	maize1
1:91000000-92000000	11	0	58	26	Nonsyntenic
1:92000000-93000000	10	0	69	26	maize1
1:93000000-94000000	12	7	64	26	maize1
1:94000000-95000000	13	3	63	31	Nonsyntenic
1:95000000-96000000	6	1	74	32	Nonsyntenic
1:96000000-97000000	14	1	63	36	maize1
1:97000000-98000000	16	1	69	31	maize1
1:98000000-99000000	14	0	63	34	maize1
1:99000000-100000000	9	0	72	31	maize1
1:100000000-101000000	7	0	66	28	Nonsyntenic
