Prop_Genes	Prop_Tandem	Prop_RNATE	Prop_DNATE	Subgenome
0.10328	0.0	0.573562	0.142957	Nonsyntenic
0.110003	0.002881	0.53949	0.133086	Maize1
0.155682	0.0	0.548966	0.12987	Maize1
0.171094	0.0	0.477528	0.240215	Maize1
0.192685	0.0	0.520891	0.193452	Maize1
0.1339	0.0	0.582024	0.165131	Maize1
0.168567	0.005739	0.551939	0.273078	Maize1
0.13496	0.021104	0.524055	0.133543	Maize1
0.137456	0.026965	0.578931	0.200575	Maize1
0.143539	0.013284	0.540737	0.190598	Maize1
0.142859	0.002433	0.516284	0.215997	Maize1
0.122491	0.002244	0.559889	0.161893	Maize1
0.122495	0.002107	0.531869	0.233396	Maize1
0.102292	0.000687	0.626033	0.256534	Maize1
0.105184	0.001173	0.552357	0.179057	Maize1
0.076631	0.007175	0.621034	0.182416	Maize1
0.089797	0.006174	0.643859	0.156911	Maize1
0.130048	0.007303	0.555922	0.103549	Maize1
0.141485	0.041126	0.605888	0.190841	Maize1
0.112041	0.017336	0.561413	0.257625	Maize1
0.133371	0.012378	0.712212	0.158822	Maize1
0.16451	0.024206	0.678112	0.244633	Maize1
0.112231	0.0	0.74248	0.238611	Maize1
0.098081	0.0	0.614962	0.276818	Maize1
0.047647	0.015553	0.671171	0.153418	Maize1
0.157316	0.0	0.559644	0.130439	Maize1
0.104194	0.0	0.649079	0.141239	Maize1
0.110944	0.004855	0.621061	0.239555	Maize1
0.140165	0.007514	0.571903	0.220403	Maize1
0.082145	0.0	0.682888	0.191321	Maize1
0.043168	0.007344	0.652489	0.136025	Maize1
0.120036	0.023182	0.608884	0.215968	Maize1
0.106914	0.005685	0.616842	0.300342	Maize1
0.052413	0.005881	0.651234	0.153649	Maize1
0.109449	0.0	0.633939	0.158264	Maize1
0.119545	0.008204	0.688757	0.22799	Maize1
0.086827	0.0	0.680954	0.180687	Maize1
0.075719	0.004049	0.690882	0.188911	Maize1
0.148224	0.015659	0.573984	0.20612	Maize1
0.084787	0.001654	0.703749	0.214082	Maize1
0.086983	0.0	0.491271	0.154403	Maize1
0.11234	0.006301	0.579631	0.232026	Maize1
0.087927	0.006124	0.653268	0.193567	Maize1
0.099962	0.0	0.536318	0.150187	Maize1
0.078755	0.008549	0.71339	0.176659	Maize1
0.097458	0.001811	0.654905	0.255449	Maize1
0.119346	0.0	0.656599	0.195679	Maize1
0.086793	0.006611	0.721468	0.110021	Maize1
0.064149	0.017348	0.607328	0.150538	Maize1
0.096265	0.003612	0.595869	0.192955	Maize1
0.101397	0.0	0.697081	0.148319	Maize1
0.129407	0.0	0.633571	0.148932	Maize1
0.064786	0.0	0.700907	0.21066	Maize1
0.100388	0.008769	0.636233	0.192726	Maize1
0.086242	0.003957	0.743691	0.237804	Maize1
0.097227	0.0	0.76689	0.185503	Maize1
0.102768	0.0	0.718116	0.167818	Maize1
0.11886	0.014301	0.656383	0.2022	Maize1
0.058038	0.006315	0.758004	0.156201	Maize1
0.097415	0.0	0.714407	0.20351	Maize1
0.120027	0.020017	0.6322	0.274442	Maize1
0.094668	0.004354	0.673419	0.196373	Maize1
0.07826	0.00798	0.654807	0.175077	Maize1
0.147161	0.009761	0.650628	0.235107	Maize1
0.089959	0.011416	0.706508	0.224461	Maize1
0.064044	0.010383	0.607766	0.273918	Maize1
0.096292	0.0	0.699371	0.201585	Maize1
0.052638	0.021248	0.661564	0.263017	Maize1
0.072307	0.012318	0.738729	0.134594	Maize1
0.062964	0.0	0.686373	0.192622	Maize1
0.044238	0.0	0.757576	0.194097	Maize1
0.060655	0.007972	0.693695	0.151814	Maize1
0.079727	0.008061	0.688727	0.139364	Maize1
0.059297	0.0	0.727908	0.146962	Maize1
0.038382	0.006148	0.627225	0.176735	Maize1
0.07606	0.0	0.766152	0.225784	Maize1
0.080604	0.0	0.704682	0.153196	Maize1
0.03156	0.005589	0.684275	0.18802	Maize1
0.065254	0.002117	0.66654	0.207834	Maize1
0.037082	0.0	0.741849	0.189553	Maize1
0.090885	0.00143	0.6842	0.251306	Maize1
0.093643	0.004468	0.745758	0.179059	Maize1
0.036351	0.001181	0.693919	0.230368	Maize1
0.047516	0.007327	0.790033	0.224535	Maize1
0.0503	0.0	0.75525	0.214229	Maize1
0.033564	0.0	0.716974	0.153841	Maize1
0.058274	0.004013	0.717593	0.197965	Maize1
0.041352	0.017979	0.694507	0.27333	Maize1
0.051154	0.0	0.742579	0.221202	Maize1
0.070343	0.0	0.677104	0.250909	Maize1
0.049812	0.000831	0.658576	0.172781	Maize1
0.030419	0.0	0.691764	0.170741	Maize1
0.034326	0.0	0.714537	0.180502	Maize1
0.045468	0.014232	0.709211	0.127334	Maize1
0.033525	0.009227	0.646061	0.193587	Maize1
0.025639	0.002565	0.729434	0.195031	Maize1
0.024449	0.000633	0.649526	0.242288	Maize1
0.062142	0.002128	0.670674	0.223702	Maize1
0.054172	0.0	0.767216	0.219623	Maize1
0.030379	0.0	0.750659	0.182152	Maize1
0.052117	0.0	0.74945	0.238629	Maize1
0.026611	0.0	0.739073	0.171251	Maize1
0.062936	0.0	0.641391	0.196564	Maize1
0.021421	0.0	0.697487	0.242181	Maize1
0.013793	0.002051	0.668119	0.154721	Maize1
0.035802	0.007851	0.645499	0.146347	Maize1
0.022862	0.0	0.762074	0.165384	Maize1
0.046507	0.009051	0.648041	0.172102	Maize1
0.059645	0.004988	0.750766	0.207437	Maize1
0.052227	0.007174	0.627295	0.172046	Maize1
0.049255	0.000831	0.736607	0.164939	Maize1
0.059208	0.0	0.754703	0.107731	Maize1
0.015572	0.0	0.730677	0.203077	Maize1
0.036651	0.011696	0.678274	0.14525	Maize1
0.043917	0.0	0.695187	0.160126	Maize1
0.022349	0.006836	0.73759	0.18187	Maize1
0.016965	0.009735	0.712424	0.126408	Maize1
0.085469	0.001095	0.66953	0.093867	Maize1
0.089349	0.080703	0.701854	0.156511	Maize1
0.028418	0.013021	0.780603	0.122574	Maize1
0.03316	0.0	0.699881	0.162571	Maize1
0.034005	0.005763	0.68146	0.134245	Maize1
0.015963	0.001925	0.745094	0.133859	Maize1
0.079878	0.001191	0.669127	0.202005	Maize1
0.025859	0.022404	0.687547	0.140066	Maize1
0.023138	0.0	0.769256	0.159954	Maize1
0.057712	0.0	0.669082	0.191345	Maize1
0.041171	0.0	0.736988	0.211788	Maize1
0.006935	0.0	0.752184	0.062674	Maize1
0.056083	0.0	0.741631	0.122877	Nonsyntenic
0.038565	0.0	0.70633	0.12958	Nonsyntenic
0.028335	0.0	0.785869	0.118112	Nonsyntenic
0.004495	0.0	0.841363	0.246346	Nonsyntenic
0.005895	0.001553	0.693348	0.178359	Nonsyntenic
0.004268	0.0	0.618996	0.08029	Nonsyntenic
0.041594	0.0	0.767099	0.151669	Nonsyntenic
