#compute -i *.fasta 
#Sat Jun 24 21:37:00 2017

locus	nsam	nsites	nsites_ug	S	Singletons	NMut	nhap	hapdiv	WallsB	WallsQ	ThetaW	ThetaPi	TajD	FuLiDStar	FuLiFStar	Rmin	rho87
Zm00001d000006-Zm00001d000008.fasta	2	678	678	32	32	32	2	1	1	1	0.0471976	0.0471976	nan	nan	nan	0	10000	
Zm00001d000006-Zm00001d000011.fasta	2	723	528	338	338	338	2	1	1	1	0.640152	0.640152	nan	nan	nan	0	10000	
Zm00001d000006-Zm00001d000012.fasta	2	684	678	196	196	196	2	1	1	1	0.289086	0.289086	nan	nan	nan	0	10000	
Zm00001d000006-Zm00001d000017.fasta	2	681	678	194	194	194	2	1	1	1	0.286136	0.286136	nan	nan	nan	0	10000	
Zm00001d000006-Zm00001d000018.fasta	2	681	678	194	194	194	2	1	1	1	0.286136	0.286136	nan	nan	nan	0	10000	
Zm00001d000008-Zm00001d000011.fasta	2	717	534	343	343	343	2	1	1	1	0.642322	0.642322	nan	nan	nan	0	10000	
Zm00001d000008-Zm00001d000012.fasta	2	684	678	195	195	195	2	1	1	1	0.287611	0.287611	nan	nan	nan	0	10000	
Zm00001d000008-Zm00001d000018.fasta	2	681	678	191	191	191	2	1	1	1	0.281711	0.281711	nan	nan	nan	0	10000	
Zm00001d000012-Zm00001d000011.fasta	2	738	519	335	335	335	2	1	1	1	0.645472	0.645472	nan	nan	nan	0	10000	
Zm00001d000017-Zm00001d000008.fasta	2	681	678	192	192	192	2	1	1	1	0.283186	0.283186	nan	nan	nan	0	10000	
Zm00001d000017-Zm00001d000011.fasta	2	774	480	315	315	315	2	1	1	1	0.65625	0.65625	nan	nan	nan	0	10000	
Zm00001d000017-Zm00001d000012.fasta	2	684	681	17	17	17	2	1	1	1	0.0249633	0.0249633	nan	nan	nan	0	10000	
Zm00001d000017-Zm00001d000018.fasta	2	681	681	40	40	40	2	1	1	1	0.0587372	0.0587372	nan	nan	nan	0	10000	
Zm00001d000018-Zm00001d000011.fasta	2	783	471	289	289	289	2	1	1	1	0.613588	0.613588	nan	nan	nan	0	10000	
Zm00001d000018-Zm00001d000012.fasta	2	684	681	42	42	42	2	1	1	1	0.061674	0.061674	nan	nan	nan	0	10000	
Zm00001d000020-Zm00001d000016.fasta	2	927	729	216	216	216	2	1	1	1	0.296296	0.296296	nan	nan	nan	0	10000	
Zm00001d000041-Zm00001d000040.fasta	2	693	273	181	181	181	2	1	1	1	0.663004	0.663004	nan	nan	nan	0	10000	
Zm00001d000071-Zm00001d000072.fasta	2	1761	1704	597	597	597	2	1	1	1	0.350352	0.350352	nan	nan	nan	0	10000	
Zm00001d000195-Zm00001d000196.fasta	2	1425	1422	350	350	350	2	1	1	1	0.246132	0.246132	nan	nan	nan	0	10000	
Zm00001d000231-Zm00001d000232.fasta	2	3792	1266	817	817	817	2	1	1	1	0.64534	0.64534	nan	nan	nan	0	10000	
Zm00001d000313-Zm00001d000312.fasta	2	1236	723	491	491	491	2	1	1	1	0.679115	0.679115	nan	nan	nan	0	10000	
Zm00001d000331-Zm00001d000335.fasta	2	1440	1440	3	3	3	2	1	1	1	0.00208333	0.00208333	nan	nan	nan	0	10000	
Zm00001d000349-Zm00001d000350.fasta	2	1194	597	389	389	389	2	1	1	1	0.651591	0.651591	nan	nan	nan	0	10000	
Zm00001d000363-Zm00001d000365.fasta	2	339	300	6	6	6	2	1	1	1	0.02	0.02	nan	nan	nan	0	10000	
Zm00001d000366-Zm00001d000364.fasta	0	615	615	0	0	0	1	0	NA	NA	0	0	NA	NA	NA	NA	NA	
Zm00001d000373-Zm00001d000371.fasta	2	852	291	5	5	5	2	1	1	1	0.0171821	0.0171821	nan	nan	nan	0	10000	
Zm00001d000377-Zm00001d000371.fasta	2	852	291	9	9	9	2	1	1	1	0.0309278	0.0309278	nan	nan	nan	0	10000	
Zm00001d000377-Zm00001d000373.fasta	2	852	852	13	13	13	2	1	1	1	0.0152582	0.0152582	nan	nan	nan	0	10000	
Zm00001d000398-Zm00001d000397.fasta	2	1053	591	207	207	207	2	1	1	1	0.350254	0.350254	nan	nan	nan	0	10000	
Zm00001d000448-Zm00001d000449.fasta	2	339	162	105	105	105	2	1	1	1	0.648148	0.648148	nan	nan	nan	0	10000	
Zm00001d001802-Zm00001d001800.fasta	2	636	162	99	99	99	2	1	1	1	0.611111	0.611111	nan	nan	nan	0	10000	
Zm00001d001817-Zm00001d001818.fasta	2	1689	1578	360	360	360	2	1	1	1	0.228137	0.228137	nan	nan	nan	0	10000	
Zm00001d001833-Zm00001d001835.fasta	2	1443	1296	129	129	129	2	1	1	1	0.099537	0.099537	nan	nan	nan	0	10000	
Zm00001d001887-Zm00001d001885.fasta	2	597	429	13	13	13	2	1	1	1	0.030303	0.030303	nan	nan	nan	0	10000	
Zm00001d001902-Zm00001d001903.fasta	2	966	681	315	315	315	2	1	1	1	0.462555	0.462555	nan	nan	nan	0	10000	
Zm00001d001908-Zm00001d001909.fasta	2	1389	927	181	181	181	2	1	1	1	0.195254	0.195254	nan	nan	nan	0	10000	
Zm00001d001908-Zm00001d001910.fasta	2	1254	624	414	414	414	2	1	1	1	0.663462	0.663462	nan	nan	nan	0	10000	
Zm00001d001910-Zm00001d001909.fasta	2	1164	522	346	346	346	2	1	1	1	0.662835	0.662835	nan	nan	nan	0	10000	
Zm00001d001924-Zm00001d001927.fasta	2	1110	963	359	359	359	2	1	1	1	0.372793	0.372793	nan	nan	nan	0	10000	
Zm00001d001930-Zm00001d001929.fasta	2	1281	300	198	198	198	2	1	1	1	0.66	0.66	nan	nan	nan	0	10000	
Zm00001d001941-Zm00001d001943.fasta	2	1881	1482	372	372	372	2	1	1	1	0.251012	0.251012	nan	nan	nan	0	10000	
Zm00001d001941-Zm00001d001944.fasta	2	1875	1611	408	408	408	2	1	1	1	0.253259	0.253259	nan	nan	nan	0	10000	
Zm00001d001944-Zm00001d001943.fasta	2	1932	1623	401	401	401	2	1	1	1	0.247073	0.247073	nan	nan	nan	0	10000	
Zm00001d001961-Zm00001d001963.fasta	2	711	432	105	105	105	2	1	1	1	0.243056	0.243056	nan	nan	nan	0	10000	
Zm00001d001961-Zm00001d001964.fasta	2	744	396	120	120	120	2	1	1	1	0.30303	0.30303	nan	nan	nan	0	10000	
Zm00001d001963-Zm00001d001964.fasta	2	459	402	114	114	114	2	1	1	1	0.283582	0.283582	nan	nan	nan	0	10000	
Zm00001d001974-Zm00001d001973.fasta	2	1926	891	426	426	426	2	1	1	1	0.478114	0.478114	nan	nan	nan	0	10000	
Zm00001d001993-Zm00001d001986.fasta	2	1350	453	296	296	296	2	1	1	1	0.653422	0.653422	nan	nan	nan	0	10000	
