B73_Cassette_Genes	PH207_Cassette_Genes
Zm00001d027946,Zm00001d027948;Zm00001d027947,Zm00001d027949	Zm00008a000554,Zm00008a000556;Zm00008a000555,Zm00008a000557
Zm00001d029792,Zm00001d029798,Zm00001d029800;Zm00001d029793,Zm00001d029799,Zm00001d029801	Zm00008a001968,Zm00008a001970,Zm00008a001972,Zm00008a001978;Zm00008a001969,Zm00008a001971,Zm00008a001973,Zm00008a001979
Zm00001d032548,Zm00001d032556;Zm00001d032550,Zm00001d032557	Zm00008a004058,Zm00008a004063;Zm00008a004059,Zm00008a004064;Zm00008a004060,Zm00008a004065
Zm00001d002202,Zm00001d002208,Zm00001d002214,Zm00001d002221,Zm00001d002228;Zm00001d002203,Zm00001d002209,Zm00001d002215,Zm00001d002223,Zm00001d002229	Zm00008a006213,Zm00008a006220,Zm00008a006224;Zm00008a006214,Zm00008a006226;Zm00008a006215,Zm00008a006229
Zm00001d002202,Zm00001d002208,Zm00001d002214,Zm00001d002221,Zm00001d002228;Zm00001d002203,Zm00001d002209,Zm00001d002215,Zm00001d002223,Zm00001d002229	Zm00008a006216,Zm00008a006221,Zm00008a006227,Zm00008a006228;Zm00008a006218,Zm00008a006225
Zm00001d005374,Zm00001d005379,Zm00001d005380,Zm00001d005389;Zm00001d005375,Zm00001d005381,Zm00001d005391	Zm00008a008620,Zm00008a008626,Zm00008a008629,Zm00008a008635;Zm00008a008621,Zm00008a008630
Zm00001d007531,Zm00001d007534,Zm00001d007548,Zm00001d007555,Zm00001d007559;Zm00001d007549,Zm00001d007560;Zm00001d007550,Zm00001d007561	Zm00008a010238,Zm00008a010240,Zm00008a010246,Zm00008a010252;Zm00008a010251,Zm00008a010255
Zm00001d007550,Zm00001d007561;Zm00001d007553,Zm00001d007567	Zm00008a010238,Zm00008a010240,Zm00008a010246,Zm00008a010252;Zm00008a010251,Zm00008a010255
Zm00001d040479,Zm00001d040483,Zm00001d040497;Zm00001d040481,Zm00001d040493,Zm00001d040501	Zm00008a011601,Zm00008a011602,Zm00008a011607;Zm00008a011603,Zm00008a011608
Zm00001d048702,Zm00001d048703,Zm00001d048705,Zm00001d048710;Zm00001d048707,Zm00001d048711	Zm00008a014937,Zm00008a014938,Zm00008a014940,Zm00008a014943;Zm00008a014941,Zm00008a014945
Zm00001d049282,Zm00001d049292;Zm00001d049286,Zm00001d049293	Zm00008a015375,Zm00008a015383;Zm00008a015377,Zm00008a015384
Zm00001d018181,Zm00001d018184;Zm00001d018182,Zm00001d018185;Zm00001d018183,Zm00001d018187	Zm00008a023098,Zm00008a023101;Zm00008a023099,Zm00008a023102;Zm00008a023100,Zm00008a023103
Zm00001d038452,Zm00001d038459;Zm00001d038453,Zm00001d038460	Zm00008a025995,Zm00008a026001;Zm00008a025996,Zm00008a026002
Zm00001d009732,Zm00001d009734;Zm00001d009733,Zm00001d009735	Zm00008a030895,Zm00008a030899;Zm00008a030896,Zm00008a030900;Zm00008a030898,Zm00008a030902
