Gene	UpstreamTE	DownstreamTE	SameFam	UpstreamBP	DownstreamBP
Zm00001d015574	IT00002B73v400010_colonist	IL00008B73v400001_dager	0	21988833	56319399
Zm00001d007253	IL00012B73v400001_piivi	IL00014B73v400001_naefe	0	12299270	18257118
Zm00001d007251	IL00012B73v400001_piivi	IL00014B73v400001_naefe	0	12246511	18314167
Zm00001d007256	IL00012B73v400001_piivi	IL00014B73v400001_naefe	0	12436874	18117460
Zm00001d007257	IL00012B73v400001_piivi	IL00014B73v400001_naefe	0	12467026	18094243
Zm00001d007254	IL00012B73v400001_piivi	IL00014B73v400001_naefe	0	12328625	18228271
Zm00001d007255	IL00012B73v400001_piivi	IL00014B73v400001_naefe	0	12427570	18125806
Zm00001d007258	IL00012B73v400001_piivi	IL00014B73v400001_naefe	0	12481343	18079905
Zm00001d007259	IL00012B73v400001_piivi	IL00014B73v400001_naefe	0	12541317	18013410
Zm00001d015578	IT00002B73v400010_colonist	IL00008B73v400001_dager	0	22108935	56198779
Zm00001d015579	IT00002B73v400010_colonist	IL00008B73v400001_dager	0	22144194	56163135
Zm00001d019400	IL00003B73v400002_oviev	IT00002B73v400008_colonist	0	28551360	41165886
Zm00001d019403	IL00003B73v400002_oviev	IT00002B73v400008_colonist	0	28706571	41009757
Zm00001d019404	IL00003B73v400002_oviev	IT00002B73v400008_colonist	0	28773848	40938706
Zm00001d019405	IL00003B73v400002_oviev	IT00002B73v400008_colonist	0	28779196	40937474
Zm00001d019406	IL00003B73v400002_oviev	IT00002B73v400008_colonist	0	28785772	40930898
Zm00001d019407	IL00003B73v400002_oviev	IT00002B73v400008_colonist	0	28950865	40765805
Zm00001d019409	IL00003B73v400002_oviev	IT00002B73v400008_colonist	0	28960101	40755635
Zm00001d017347	IT00002B73v400002_colonist	IL00002B73v400005_gugyve	0	1285340	4183882
Zm00001d053240	IT00002B73v400003_colonist	IL00001B73v400004_okor	0	19635747	4905835
Zm00001d053241	IT00002B73v400003_colonist	IL00001B73v400004_okor	0	19637482	4904528
Zm00001d053242	IT00002B73v400003_colonist	IL00001B73v400004_okor	0	19638645	4901600
Zm00001d053244	IT00002B73v400003_colonist	IL00001B73v400004_okor	0	19703672	4836053
Zm00001d053245	IT00002B73v400003_colonist	IL00001B73v400004_okor	0	19790408	4734525
Zm00001d053247	IT00002B73v400003_colonist	IL00001B73v400004_okor	0	20051998	4478100
Zm00001d053249	IT00002B73v400003_colonist	IL00001B73v400004_okor	0	20207952	4334025
Zm00001d015575	IT00002B73v400010_colonist	IL00008B73v400001_dager	0	21989921	56317624
Zm00001d041979	IL00002B73v400001_gugyve	IL00009B73v400001_yliij	0	10652384	20066293
Zm00001d041975	IL00002B73v400001_gugyve	IL00009B73v400001_yliij	0	10524677	20194123
Zm00001d015570	IT00002B73v400010_colonist	IL00008B73v400001_dager	0	21896341	56405170
Zm00001d041977	IL00002B73v400001_gugyve	IL00009B73v400001_yliij	0	10549391	20169957
Zm00001d041976	IL00002B73v400001_gugyve	IL00009B73v400001_yliij	0	10528243	20183528
Zm00001d041973	IL00002B73v400001_gugyve	IL00009B73v400001_yliij	0	10465434	20251819
Zm00001d041972	IL00002B73v400001_gugyve	IL00009B73v400001_yliij	0	10459795	20257208
Zm00001d021318	IL00015B73v400001_loneok	NA	NA	67707001	NA
Zm00001d015572	IT00002B73v400010_colonist	IL00008B73v400001_dager	0	21944533	56363689
Zm00001d021313	IL00015B73v400001_loneok	NA	NA	67517502	NA
Zm00001d021312	IL00015B73v400001_loneok	NA	NA	67415622	NA
Zm00001d021311	IL00015B73v400001_loneok	NA	NA	67413942	NA
Zm00001d015573	IT00002B73v400010_colonist	IL00008B73v400001_dager	0	21987308	56320049
Zm00001d021316	IL00015B73v400001_loneok	NA	NA	67646626	NA
Zm00001d021315	IL00015B73v400001_loneok	NA	NA	67643910	NA
Zm00001d021314	IL00015B73v400001_loneok	NA	NA	67578517	NA
Zm00001d012715	IL00001B73v400003_okor	NA	NA	7151410	NA
Zm00001d012714	IL00001B73v400003_okor	NA	NA	7149677	NA
Zm00001d012717	IL00001B73v400003_okor	NA	NA	7155627	NA
Zm00001d012716	IL00001B73v400003_okor	NA	NA	7153285	NA
Zm00001d012711	IL00001B73v400003_okor	NA	NA	7127708	NA
Zm00001d012710	IL00001B73v400003_okor	NA	NA	7122141	NA
Zm00001d012713	IL00001B73v400003_okor	NA	NA	7144221	NA
Zm00001d012712	IL00001B73v400003_okor	NA	NA	7135501	NA
Zm00001d024644	IT00002B73v400009_colonist	IL00003B73v400003_oviev	0	3304134	1354879
Zm00001d012719	IL00001B73v400003_okor	NA	NA	7213730	NA
Zm00001d012718	IL00001B73v400003_okor	NA	NA	7169238	NA
Zm00001d016007	IT00002B73v400010_colonist	IL00008B73v400001_dager	0	62078270	16229278
Zm00001d016006	IT00002B73v400010_colonist	IL00008B73v400001_dager	0	61980516	16319292
Zm00001d016001	IT00002B73v400010_colonist	IL00008B73v400001_dager	0	61812042	16493876
Zm00001d016000	IT00002B73v400010_colonist	IL00008B73v400001_dager	0	61630716	16649841
Zm00001d016002	IT00002B73v400010_colonist	IL00008B73v400001_dager	0	61949036	16354555
Zm00001d016009	IT00002B73v400010_colonist	IL00008B73v400001_dager	0	62257255	16049635
Zm00001d016008	IT00002B73v400010_colonist	IL00008B73v400001_dager	0	62215946	16084690
Zm00001d024645	IT00002B73v400009_colonist	IL00003B73v400003_oviev	0	3398262	1257756
Zm00001d023277	NA	IT00001B73v400017_jare	NA	NA	16843427
Zm00001d014719	IT00001B73v400006_jare	IT00002B73v400010_colonist	0	5278499	16554847
Zm00001d014718	IT00001B73v400006_jare	IT00002B73v400010_colonist	0	5277000	16566260
Zm00001d014717	IT00001B73v400006_jare	IT00002B73v400010_colonist	0	5274337	16568225
Zm00001d014716	IT00001B73v400006_jare	IT00002B73v400010_colonist	0	5215022	16624219
Zm00001d014715	IT00001B73v400006_jare	IT00002B73v400010_colonist	0	5210473	16630220
Zm00001d014714	IT00001B73v400006_jare	IT00002B73v400010_colonist	0	5132776	16711049
Zm00001d014712	IT00001B73v400006_jare	IT00002B73v400010_colonist	0	5059918	16783889
Zm00001d014711	IT00001B73v400006_jare	IT00002B73v400010_colonist	0	5035606	16808206
Zm00001d014710	IT00001B73v400006_jare	IT00002B73v400010_colonist	0	5019573	16823802
Zm00001d020441	IL00015B73v400001_loneok	NA	NA	33527661	NA
Zm00001d020442	IL00015B73v400001_loneok	NA	NA	33592883	NA
Zm00001d020443	IL00015B73v400001_loneok	NA	NA	33605149	NA
Zm00001d020444	IL00015B73v400001_loneok	NA	NA	33851454	NA
Zm00001d020445	IL00015B73v400001_loneok	NA	NA	33855600	NA
Zm00001d020446	IL00015B73v400001_loneok	NA	NA	33861082	NA
Zm00001d020447	IL00015B73v400001_loneok	NA	NA	33900448	NA
Zm00001d020448	IL00015B73v400001_loneok	NA	NA	33932433	NA
Zm00001d020449	IL00015B73v400001_loneok	NA	NA	34093186	NA
Zm00001d010874	IL00004B73v400001_nubo	IL00001B73v400003_okor	0	64166406	40228873
Zm00001d010875	IL00004B73v400001_nubo	IL00001B73v400003_okor	0	64172068	40225433
Zm00001d010872	IL00004B73v400001_nubo	IL00001B73v400003_okor	0	64111431	40284245
Zm00001d010873	IL00004B73v400001_nubo	IL00001B73v400003_okor	0	64114266	40283476
Zm00001d010870	IL00004B73v400001_nubo	IL00001B73v400003_okor	0	63990695	40405319
Zm00001d010871	IL00004B73v400001_nubo	IL00001B73v400003_okor	0	64061443	40335660
Zm00001d025548	IT00002B73v400001_colonist	IT00001B73v400015_jare	0	2692357	16214726
Zm00001d025549	IT00002B73v400001_colonist	IT00001B73v400015_jare	0	2708803	16202341
Zm00001d049548	IT00001B73v400001_jare	IT00001B73v400013_jare	1	22906854	34036012
Zm00001d017069	IL00008B73v400001_dager	IT00002B73v400002_colonist	0	29137112	7804424
Zm00001d049544	IT00001B73v400001_jare	IT00001B73v400013_jare	1	22749967	34199580
Zm00001d049545	IT00001B73v400001_jare	IT00001B73v400013_jare	1	22807134	34143482
Zm00001d049546	IT00001B73v400001_jare	IT00001B73v400013_jare	1	22883204	34067435
Zm00001d049547	IT00001B73v400001_jare	IT00001B73v400013_jare	1	22884806	34063924
Zm00001d049540	IT00001B73v400001_jare	IT00001B73v400013_jare	1	22353589	34593545
Zm00001d049541	IT00001B73v400001_jare	IT00001B73v400013_jare	1	22360825	34588034
Zm00001d025544	IT00002B73v400001_colonist	IT00001B73v400015_jare	0	2615330	16296195
Zm00001d049543	IT00001B73v400001_jare	IT00001B73v400013_jare	1	22613646	34303729
Zm00001d038269	IT00001B73v400014_jare	IL00011B73v400001_pyelum	0	33224363	4831942
Zm00001d027944	NA	IL00001B73v400008_okor	NA	NA	11467688
Zm00001d027945	NA	IL00001B73v400008_okor	NA	NA	11460515
Zm00001d027946	NA	IL00001B73v400008_okor	NA	NA	11430400
Zm00001d027947	NA	IL00001B73v400008_okor	NA	NA	11384111
Zm00001d027940	NA	IL00001B73v400008_okor	NA	NA	11504956
Zm00001d027941	NA	IL00001B73v400008_okor	NA	NA	11496644
Zm00001d027943	NA	IL00001B73v400008_okor	NA	NA	11471156
Zm00001d027948	NA	IL00001B73v400008_okor	NA	NA	11369444
Zm00001d027949	NA	IL00001B73v400008_okor	NA	NA	11356935
Zm00001d036414	IT00002B73v400004_colonist	IL00007B73v400001_edaej	0	2770213	4876252
Zm00001d036415	IT00002B73v400004_colonist	IL00007B73v400001_edaej	0	2772369	4874984
Zm00001d036416	IT00002B73v400004_colonist	IL00007B73v400001_edaej	0	2824701	4816519
Zm00001d036417	IT00002B73v400004_colonist	IL00007B73v400001_edaej	0	2983304	4659966
Zm00001d036410	IT00002B73v400004_colonist	IL00007B73v400001_edaej	0	2537299	5104372
Zm00001d038263	IT00001B73v400014_jare	IL00011B73v400001_pyelum	0	33030793	5022909
Zm00001d036412	IT00002B73v400004_colonist	IL00007B73v400001_edaej	0	2705424	4937383
Zm00001d036418	IT00002B73v400004_colonist	IL00007B73v400001_edaej	0	2988657	4657766
Zm00001d020998	IL00015B73v400001_loneok	NA	NA	58779905	NA
Zm00001d048639	NA	IT00001B73v400001_jare	NA	NA	8991340
Zm00001d048635	NA	IT00001B73v400001_jare	NA	NA	9587954
Zm00001d048634	NA	IT00001B73v400001_jare	NA	NA	9607200
Zm00001d048637	NA	IT00001B73v400001_jare	NA	NA	9020683
Zm00001d048636	NA	IT00001B73v400001_jare	NA	NA	9035463
Zm00001d048631	NA	IT00001B73v400001_jare	NA	NA	9685547
Zm00001d048630	NA	IT00001B73v400001_jare	NA	NA	9689697
