Orthogroup	BestModel	GrassOmegas	MaizeOmegas	TandemOmegas	PropOmega0	PropOmega1	PropOmega2
OG0000702	NA	NA,NA,NA	NA,NA,NA	NA,NA,NA	NA	NA	NA
OG0000713	NA	NA,NA,NA	NA,NA,NA	NA,NA,NA	NA	NA	NA
OG0000799	NA	NA,NA,NA	NA,NA,NA	NA,NA,NA	NA	NA	NA
OG0000878	NA	NA,NA,NA	NA,NA,NA	NA,NA,NA	NA	NA	NA
OG0000928	Null	NA,NA,NA	NA,NA,NA	NA,NA,NA	NA	NA	NA
OG0000944	NA	NA,NA,NA	NA,NA,NA	NA,NA,NA	NA	NA	NA
OG0000968	Null	NA,NA,NA	NA,NA,NA	NA,NA,NA	NA	NA	NA
OG0000977	Null	NA,NA,NA	NA,NA,NA	NA,NA,NA	NA	NA	NA
OG0000981	Null	NA,NA,NA	NA,NA,NA	NA,NA,NA	NA	NA	NA
OG0001027	Null	NA,NA,NA	NA,NA,NA	NA,NA,NA	NA	NA	NA
OG0001065	Null	NA,NA,NA	NA,NA,NA	NA,NA,NA	NA	NA	NA
OG0001085	Null	NA,NA,NA	NA,NA,NA	NA,NA,NA	NA	NA	NA
OG0001087	Ha1	NA,NA,NA	NA,NA,NA	NA,NA,NA	NA	NA	NA
OG0001225	Ha3	NA,NA,NA	NA,NA,NA	NA,NA,NA	NA	NA	NA
OG0001349	Ha3	NA,NA,NA	NA,NA,NA	NA,NA,NA	NA	NA	NA
OG0001382	Null	NA,NA,NA	NA,NA,NA	NA,NA,NA	NA	NA	NA
OG0001507	Null	0.10653,1.00000,0.41148	0.10653,1.00000,0.41148	0.10653,1.00000,0.41148	0.30409	0.27937	0.41654
OG0001514	Ha1	NA,NA,NA	NA,NA,NA	NA,NA,NA	NA	NA	NA
OG0001562	Null	NA,NA,NA	NA,NA,NA	NA,NA,NA	NA	NA	NA
OG0001601	Null	NA,NA,NA	NA,NA,NA	NA,NA,NA	NA	NA	NA
OG0001644	Ha1	NA,NA,NA	NA,NA,NA	NA,NA,NA	NA	NA	NA
OG0001653	Ha1	NA,NA,NA	NA,NA,NA	NA,NA,NA	NA	NA	NA
OG0001654	Ha3	NA,NA,NA	NA,NA,NA	NA,NA,NA	NA	NA	NA
OG0001738	Null	NA,NA,NA	NA,NA,NA	NA,NA,NA	NA	NA	NA
OG0001745	Ha1	NA,NA,NA	NA,NA,NA	NA,NA,NA	NA	NA	NA
OG0001972	Null	NA,NA,NA	NA,NA,NA	NA,NA,NA	NA	NA	NA
OG0001984	Null	0.07029,1.00000,0.34040	0.07029,1.00000,0.34040	0.07029,1.00000,0.34040	0.52294	0.13929	0.33777
OG0002014	Ha1	NA,NA,NA	NA,NA,NA	NA,NA,NA	NA	NA	NA
OG0002070	Ha1	NA,NA,NA	NA,NA,NA	NA,NA,NA	NA	NA	NA
OG0002183	Null	NA,NA,NA	NA,NA,NA	NA,NA,NA	NA	NA	NA
OG0002309	Ha3	NA,NA,NA	NA,NA,NA	NA,NA,NA	NA	NA	NA
OG0002416	Null	NA,NA,NA	NA,NA,NA	NA,NA,NA	NA	NA	NA
OG0002441	Null	NA,NA,NA	NA,NA,NA	NA,NA,NA	NA	NA	NA
OG0002574	Ha1	NA,NA,NA	NA,NA,NA	NA,NA,NA	NA	NA	NA
OG0002591	Null	NA,NA,NA	NA,NA,NA	NA,NA,NA	NA	NA	NA
OG0002614	Ha1	NA,NA,NA	NA,NA,NA	NA,NA,NA	NA	NA	NA
OG0002744	Null	NA,NA,NA	NA,NA,NA	NA,NA,NA	NA	NA	NA
OG0002844	Ha2	0.03875,1.0,0.24901	0.03875,1.0,0.24901	0.03875,1.0,0.99343	0.4741	0.1608	0.3651
OG0002930	Null	NA,NA,NA	NA,NA,NA	NA,NA,NA	NA	NA	NA
OG0003051	Ha1	NA,NA,NA	NA,NA,NA	NA,NA,NA	NA	NA	NA
OG0003162	Null	0.24435,1.00000,0.04683	0.24435,1.00000,0.04683	0.24435,1.00000,0.04683	0.45979	0.10998	0.43023
OG0003242	Ha2	NA,NA,NA	NA,NA,NA	NA,NA,NA	NA	NA	NA
OG0003260	Ha1	NA,NA,NA	NA,NA,NA	NA,NA,NA	NA	NA	NA
OG0003366	Ha1	NA,NA,NA	NA,NA,NA	NA,NA,NA	NA	NA	NA
OG0003412	Null	NA,NA,NA	NA,NA,NA	NA,NA,NA	NA	NA	NA
OG0003492	Null	0.07748,1.00000,0.37742	0.07748,1.00000,0.37742	0.07748,1.00000,0.37742	0.27077	0.26694	0.4623
OG0003608	Null	NA,NA,NA	NA,NA,NA	NA,NA,NA	NA	NA	NA
OG0003796	Null	NA,NA,NA	NA,NA,NA	NA,NA,NA	NA	NA	NA
OG0003894	Ha2	NA,NA,NA	NA,NA,NA	NA,NA,NA	NA	NA	NA
OG0003945	Null	NA,NA,NA	NA,NA,NA	NA,NA,NA	NA	NA	NA
OG0004076	Ha3	0.00074,1.0,0.13424	0.00074,1.0,1.12018	0.00074,1.0,0.0001	0.66004	0.04524	0.29472
OG0004246	Ha3	NA,NA,NA	NA,NA,NA	NA,NA,NA	NA	NA	NA
OG0004304	Ha3	0.20197,1.0,0.02549	0.20197,1.0,0.05189	0.20197,1.0,0.08947	0.4709	0.06253	0.46657
OG0004609	Ha3	NA,NA,NA	NA,NA,NA	NA,NA,NA	NA	NA	NA
OG0004618	Ha1	NA,NA,NA	NA,NA,NA	NA,NA,NA	NA	NA	NA
OG0004694	Ha1	NA,NA,NA	NA,NA,NA	NA,NA,NA	NA	NA	NA
OG0004751	Null	NA,NA,NA	NA,NA,NA	NA,NA,NA	NA	NA	NA
OG0004806	Null	NA,NA,NA	NA,NA,NA	NA,NA,NA	NA	NA	NA
OG0005306	Null	0.05422,1.00000,0.25995	0.05422,1.00000,0.25995	0.05422,1.00000,0.25995	0.41643	0.1962	0.38737
OG0005322	Null	0.02796,1.00000,0.22939	0.02796,1.00000,0.22939	0.02796,1.00000,0.22939	0.37998	0.15459	0.46543
OG0005337	Null	NA,NA,NA	NA,NA,NA	NA,NA,NA	NA	NA	NA
OG0005353	Null	NA,NA,NA	NA,NA,NA	NA,NA,NA	NA	NA	NA
OG0005584	Ha2	0.0,1.0,0.12641	0.0,1.0,0.12641	0.0,1.0,1.00977	0.25931	0.08141	0.65928
OG0005868	Ha3	NA,NA,NA	NA,NA,NA	NA,NA,NA	NA	NA	NA
OG0005890	Ha3	NA,NA,NA	NA,NA,NA	NA,NA,NA	NA	NA	NA
OG0006161	Ha3	NA,NA,NA	NA,NA,NA	NA,NA,NA	NA	NA	NA
OG0006219	Ha3	0.2353,1.0,0.43748	0.2353,1.0,999.0	0.2353,1.0,1.2529	0.50807	0.43373	0.0582
OG0006284	Ha3	NA,NA,NA	NA,NA,NA	NA,NA,NA	NA	NA	NA
OG0006305	Null	NA,NA,NA	NA,NA,NA	NA,NA,NA	NA	NA	NA
OG0006314	Ha1	0.18074,1.0,0.00291	0.18074,1.0,0.45039	0.18074,1.0,0.45039	0.40558	0.0408	0.55362
OG0006894	Ha1	0.07366,1.0,0.14114	0.07366,1.0,92.29276	0.07366,1.0,92.29276	0.64563	0.02642	0.32796
OG0006958	Null	NA,NA,NA	NA,NA,NA	NA,NA,NA	NA	NA	NA
OG0007130	Ha1	NA,NA,NA	NA,NA,NA	NA,NA,NA	NA	NA	NA
OG0007167	Ha2	NA,NA,NA	NA,NA,NA	NA,NA,NA	NA	NA	NA
OG0007382	Ha3	0.16403,1.0,0.02491	0.16403,1.0,999.0	0.16403,1.0,0.07369	0.61098	0.04668	0.34234
OG0007474	Null	NA,NA,NA	NA,NA,NA	NA,NA,NA	NA	NA	NA
OG0007493	Null	NA,NA,NA	NA,NA,NA	NA,NA,NA	NA	NA	NA
OG0007518	Ha3	0.02499,1.0,0.24183	0.02499,1.0,999.0	0.02499,1.0,0.03307	0.7588	0.10664	0.13456
OG0007735	Ha1	0.04544,1.0,0.20381	0.04544,1.0,0.75754	0.04544,1.0,0.75754	0.57371	0.08335	0.34294
OG0007740	Ha3	NA,NA,NA	NA,NA,NA	NA,NA,NA	NA	NA	NA
OG0007945	Ha3	0.18857,1.0,0.19733	0.18857,1.0,999.0	0.18857,1.0,0.22657	0.44006	0.3191	0.24084
OG0008090	Ha1	NA,NA,NA	NA,NA,NA	NA,NA,NA	NA	NA	NA
