Gene	UpstreamTE	DownstreamTE	SameFam	UpstreamBP	DownstreamBP
Zm00001d000006	TX10020B73v400005_TSDlen2_TIRlen12	TA,TSDlen8,TIRlen11	0	65699	1052521
Zm00001d000008	TX10020B73v400005_TSDlen2_TIRlen12	TA,TSDlen8,TIRlen11	0	160118	958187
Zm00001d000012	TX10020B73v400005_TSDlen2_TIRlen12	TA,TSDlen8,TIRlen11	0	322710	795580
Zm00001d000017	TX10020B73v400005_TSDlen2_TIRlen12	TA,TSDlen8,TIRlen11	0	758648	359678
Zm00001d000018	TX10020B73v400005_TSDlen2_TIRlen12	TA,TSDlen8,TIRlen11	0	886370	231896
Zm00001d000016	TX10020B73v400005_TSDlen2_TIRlen12	TA,TSDlen8,TIRlen11	0	728720	389899
Zm00001d000020	TX10020B73v400005_TSDlen2_TIRlen12	TA,TSDlen8,TIRlen11	0	957752	160705
Zm00001d000071	TA,TSDlen8,TIRlen11	NA	NA	11604	NA
Zm00001d000072	TA,TSDlen8,TIRlen11	NA	NA	72470	NA
Zm00001d000195	TH12217B73v400208_TSDlen3_TIRlen14	TH,TSDlen3,TIRlen14	0	88205	8636
Zm00001d000196	TH12217B73v400208_TSDlen3_TIRlen14	TH,TSDlen3,TIRlen14	0	90983	6090
Zm00001d000331	NA	NA	NA	NA	NA
Zm00001d000335	NA	NA	NA	NA	NA
Zm00001d000363	NA	NA	NA	NA	NA
Zm00001d000365	NA	NA	NA	NA	NA
Zm00001d000364	NA	NA	NA	NA	NA
Zm00001d000366	NA	NA	NA	NA	NA
Zm00001d000371	NA	NA	NA	NA	NA
Zm00001d000373	NA	NA	NA	NA	NA
Zm00001d000377	NA	NA	NA	NA	NA
Zm00001d000397	NA	NA	NA	NA	NA
Zm00001d000398	NA	NA	NA	NA	NA
Zm00001d001817	TA00322B73v400078_TSDlen8_TIRlen11	TH00175B73v400006_TSDlen3_TIRlen14	0	900	3877
Zm00001d001818	TH00175B73v400006_TSDlen3_TIRlen14	TH00389B73v400121_TSDlen3_TIRlen14	0	294	206263
Zm00001d001833	TH00175B73v400006_TSDlen3_TIRlen14	TH00389B73v400121_TSDlen3_TIRlen14	0	194090	8210
Zm00001d001835	TH00389B73v400121_TSDlen3_TIRlen14	TH13012B73v400003_TSDlen3_TIRlen14	0	5842	57649
Zm00001d001885	TA00217B73v400096_TSDlen8_TIRlen11	TA00156B73v400020_TSDlen8_TIRlen11	0	112690	1465
Zm00001d001887	TA00156B73v400020_TSDlen8_TIRlen11	TA00005B73v400002_TSDlen8_TIRlen11	0	4157	69100
Zm00001d001902	TA00098B73v400106_TSDlen8_TIRlen11	TH00418B73v400034_TSDlen3_TIRlen14	0	19906	60818
Zm00001d001903	TA00098B73v400106_TSDlen8_TIRlen11	TH00418B73v400034_TSDlen3_TIRlen14	0	23577	57734
Zm00001d001908	TA00098B73v400106_TSDlen8_TIRlen11	TH00418B73v400034_TSDlen3_TIRlen14	0	75731	336
Zm00001d001909	TH00418B73v400034_TSDlen3_TIRlen14	TH12217B73v400035_TSDlen3_TIRlen14	0	81560	29451
Zm00001d001924	TH10328B73v400004_TSDlen3_TIRlen14	TH00489B73v400030_TSDlen3_TIRlen14	0	109331	50300
Zm00001d001927	TH10328B73v400004_TSDlen3_TIRlen14	TH00489B73v400030_TSDlen3_TIRlen14	0	147742	13951
Zm00001d001941	TH00358B73v400080_TSDlen3_TIRlen14	TH00058B73v400135_TSDlen3_TIRlen14	0	4625	43055
