OG0000280	Zm00001d050169,Zm00001d050170
OG0000289	Zm00001d002158,Zm00001d002159,Zm00001d002160,Zm00001d002161
OG0000399	Zm00001d007426,Zm00001d007430,Zm00008a010150,Zm00008a010153
OG0000447	Zm00008a026920,Zm00008a026921
OG0000512	Zm00001d027899,Zm00001d027900,Zm00001d027901,Zm00001d033049,Zm00001d033050,Zm00001d048263,Zm00001d048268,Zm00008a000515,Zm00008a000516,Zm00008a000517
OG0000562	Zm00001d051335,Zm00001d051336
OG0000572	Zm00001d033623,Zm00001d033624,Zm00001d042540,Zm00001d042541
OG0000626	Zm00008a020197,Zm00008a020198
OG0000664	Zm00001d003188,Zm00001d003190,Zm00001d003191
OG0000702	Zm00001d028887,Zm00001d028888,Zm00001d047639,Zm00001d047651,Zm00001d047656,Zm00001d047658,Zm00008a001288,Zm00008a001290,Zm00008a035455,Zm00008a035457,Zm00008a035468,Zm00008a035470,Zm00008a035472
OG0000713	Zm00001d001961,Zm00001d001963,Zm00001d001964
OG0000799	Zm00001d031778,Zm00001d031779
OG0000878	Zm00001d038968,Zm00001d038969
OG0000928	Zm00001d028842,Zm00001d028845,Zm00001d028849,Zm00001d028850,Zm00001d028854,Zm00008a001268,Zm00008a001269
OG0000944	Zm00008a035977,Zm00008a035984
OG0000968	Zm00001d005933,Zm00001d005934,Zm00001d005935
OG0000977	Zm00001d034551,Zm00001d034552,Zm00008a005561,Zm00008a005562,Zm00008a005568
OG0000981	Zm00001d007604,Zm00001d007616,Zm00001d007618,Zm00001d007620,Zm00001d007623
OG0001027	Zm00008a010969,Zm00008a010970
OG0001065	Zm00001d038811,Zm00001d038812,Zm00001d038813
OG0001085	Zm00001d034184,Zm00001d034186
OG0001087	Zm00001d005012,Zm00001d005013
OG0001225	Zm00001d039345,Zm00001d039346
OG0001349	Zm00001d013662,Zm00001d013663
OG0001382	Zm00008a004045,Zm00008a004046
OG0001507	Zm00001d002473,Zm00001d002474,Zm00008a006406,Zm00008a006419
OG0001514	Zm00008a035342,Zm00008a035343
OG0001562	Zm00001d035638,Zm00001d035640,Zm00001d039087,Zm00001d039088,Zm00008a026502,Zm00008a026503
OG0001601	Zm00001d047404,Zm00001d047407
OG0001644	Zm00008a014070,Zm00008a014072
OG0001653	Zm00001d010768,Zm00001d010772,Zm00001d010780,Zm00001d012092,Zm00001d012095
OG0001654	Zm00001d041291,Zm00001d041293
OG0001738	Zm00001d034446,Zm00001d034454,Zm00001d034456
OG0001745	Zm00008a009558,Zm00008a009562
OG0001972	Zm00001d013114,Zm00001d013115
OG0001984	Zm00001d039057,Zm00001d039058
OG0002014	Zm00001d032830,Zm00001d032831
OG0002070	Zm00001d008769,Zm00001d008772,Zm00001d036853,Zm00001d036855,Zm00001d036856,Zm00001d036864,Zm00001d036865
OG0002183	Zm00001d006300,Zm00001d006301,Zm00001d006307
OG0002309	Zm00008a025811,Zm00008a025817
OG0002377	Zm00001d011348,Zm00001d011349
OG0002416	Zm00001d006142,Zm00001d006147
OG0002441	Zm00001d003173,Zm00001d003174
OG0002574	Zm00001d017336,Zm00001d017340,Zm00008a022413,Zm00008a022414,Zm00008a022416
OG0002591	Zm00001d038177,Zm00001d038178
OG0002614	Zm00008a037566,Zm00008a037567
OG0002744	Zm00001d034620,Zm00001d034621
OG0002844	Zm00001d035020,Zm00001d035021
OG0002930	Zm00001d006776,Zm00001d006777
OG0003051	Zm00001d053829,Zm00001d053830
OG0003162	Zm00001d018700,Zm00001d018701,Zm00008a026718,Zm00008a026719,Zm00008a026730,Zm00008a033371,Zm00008a033372
OG0003242	Zm00001d000371,Zm00001d000373,Zm00001d000377,Zm00001d001885,Zm00001d001887
