Cluster_0000	Zm00008a037663,Zm00008a037664
Cluster_0001	Zm00008a037668,Zm00008a037667
Cluster_0002	Zm00008a037677,Zm00008a037678
Cluster_0003	Zm00008a037687,Zm00008a037686
Cluster_0004	Zm00008a036557,Zm00008a036555,Zm00008a036558,Zm00008a036556
Cluster_0005	Zm00008a036565,Zm00008a036564
Cluster_0006	Zm00008a037731,Zm00008a037729
Cluster_0007	Zm00008a037732,Zm00008a037730
Cluster_0008	Zm00008a036569,Zm00008a036568
Cluster_0009	Zm00008a037755,Zm00008a037756
Cluster_0010	Zm00008a037760,Zm00008a037759
Cluster_0011	Zm00008a037799,Zm00008a037798
Cluster_0012	Zm00008a037804,Zm00008a037805
Cluster_0013	Zm00008a037807,Zm00008a037808
Cluster_0014	Zm00008a037811,Zm00008a037812
Cluster_0015	Zm00008a036575,Zm00008a036573,Zm00008a036578,Zm00008a036583,Zm00008a036576
Cluster_0016	Zm00008a037829,Zm00008a037828
Cluster_0017	Zm00008a037856,Zm00008a037855
Cluster_0018	Zm00008a037861,Zm00008a037862
Cluster_0019	Zm00008a037865,Zm00008a037866
Cluster_0020	Zm00008a037882,Zm00008a037883
Cluster_0021	Zm00008a037900,Zm00008a037887,Zm00008a037886,Zm00008a037881,Zm00008a037890,Zm00008a037888,Zm00008a037884
Cluster_0022	Zm00008a037917,Zm00008a037927
Cluster_0023	Zm00008a037923,Zm00008a037922
Cluster_0024	Zm00008a037943,Zm00008a037928,Zm00008a037945,Zm00008a037944
Cluster_0025	Zm00008a036587,Zm00008a036586,Zm00008a036571
Cluster_0026	Zm00008a037959,Zm00008a037960,Zm00008a037961
Cluster_0027	Zm00008a037977,Zm00008a037978
Cluster_0028	Zm00008a037980,Zm00008a037981
Cluster_0029	Zm00008a037991,Zm00008a037992
Cluster_0030	Zm00008a038000,Zm00008a038003,Zm00008a038007,Zm00008a038010,Zm00008a038004,Zm00008a038001,Zm00008a038009,Zm00008a038011,Zm00008a038012,Zm00008a038006,Zm00008a038005
Cluster_0031	Zm00008a038002,Zm00008a037999
Cluster_0032	Zm00008a038017,Zm00008a038018
Cluster_0033	Zm00008a038032,Zm00008a038031
Cluster_0034	Zm00008a038033,Zm00008a038044
Cluster_0035	Zm00008a038042,Zm00008a038039,Zm00008a038040,Zm00008a038037,Zm00008a038043,Zm00008a038046,Zm00008a038038,Zm00008a038041,Zm00008a038034,Zm00008a038045
Cluster_0036	Zm00008a036592,Zm00008a036591,Zm00008a036602
Cluster_0037	Zm00008a038088,Zm00008a038089
Cluster_0038	Zm00008a038100,Zm00008a038112,Zm00008a038111
Cluster_0039	Zm00008a038103,Zm00008a038102
Cluster_0040	Zm00008a038123,Zm00008a038124,Zm00008a038125
Cluster_0041	Zm00008a038127,Zm00008a038128
Cluster_0042	Zm00008a038135,Zm00008a038136
Cluster_0043	Zm00008a038144,Zm00008a038143
