Duplicate_ID	B_Genes	P_Genes	B_Ages	P_Ages
Nonsyntenic_Dup_0000	Zm00001d000016,Zm00001d000020	Zm00008a037040	11.7266732148	NA
Nonsyntenic_Dup_0001	Zm00001d000006,Zm00001d000008,Zm00001d000012,Zm00001d000017,Zm00001d000018	Zm00008a037037,Zm00008a037039,Zm00008a037041,Zm00008a037043	0.00538895975235,0.002600960707,0.000228897331003,11.8963739116	0.000325823966659,0.000130036990136,0.00278320386833
Nonsyntenic_Dup_0002	Zm00001d000064	Zm00008a002315,Zm00008a002324	NA	11.8312275536
Nonsyntenic_Dup_0003	Zm00001d000195,Zm00001d000196	Zm00008a025621,Zm00008a025622	0.00132888930919	0.000951880838582
Nonsyntenic_Dup_0004	Zm00001d001817,Zm00001d001818	Zm00008a005930	9.60021901877	NA
Nonsyntenic_Dup_0005	Zm00001d001885,Zm00001d001887	Zm00008a005981	11.7552704703	NA
Nonsyntenic_Dup_0006	Zm00001d001902,Zm00001d001903	Zm00008a005990,Zm00008a005991	11.7271328581	11.7271328581
Nonsyntenic_Dup_0007	Zm00001d001908,Zm00001d001909	Zm00008a005994	11.7448140142	NA
Nonsyntenic_Dup_0008	Zm00001d001924,Zm00001d001927	Zm00008a006005,Zm00008a006008	5.19807683815	4.15441065641
Nonsyntenic_Dup_0009	Zm00001d001941,Zm00001d001943,Zm00001d001944	Zm00008a006026	2.57544957751,11.7249866239	NA
Nonsyntenic_Dup_0010	Zm00001d001941,Zm00001d001943,Zm00001d001944	Zm00008a006027	10.614104782,11.7400664598	NA
Nonsyntenic_Dup_0011	Zm00001d001941,Zm00001d001943,Zm00001d001944	Zm00008a006028	0.0012457191206,0.00121317826252	NA
Nonsyntenic_Dup_0012	Zm00001d001961,Zm00001d001963,Zm00001d001964	Zm00008a006042	1.06792738371,11.7655870866	NA
Nonsyntenic_Dup_0013	Zm00001d002013,Zm00001d002019,Zm00001d002020	Zm00008a006084,Zm00008a006085,Zm00008a006086,Zm00008a006090	11.8981016655,11.8981016655	0.00163700632021,0.000475100095784,0.00331439742782
Nonsyntenic_Dup_0014	Zm00001d002014,Zm00001d002015,Zm00001d002016,Zm00001d002017,Zm00001d002018	Zm00008a006081,Zm00008a006082,Zm00008a006083	11.7864347978,11.7864347978,11.7864347978,11.7864347978	1.4240620745,11.7864347978
Nonsyntenic_Dup_0015	Zm00001d002055,Zm00001d002057	Zm00008a006108	11.8239350181	NA
Nonsyntenic_Dup_0016	Zm00001d002069,Zm00001d002071,Zm00001d002072,Zm00001d002074	Zm00008a006119	5.15172344186,11.7326796993,6.23470406765	NA
Nonsyntenic_Dup_0017	Zm00001d002069,Zm00001d002071,Zm00001d002072,Zm00001d002074	Zm00008a006121	4.92026185176,11.7396441389,6.24156143824	NA
Nonsyntenic_Dup_0018	Zm00001d002093,Zm00001d002094	Zm00008a006138,Zm00008a006139	11.7298441217	11.7298441217
Nonsyntenic_Dup_0019	Zm00001d002132,Zm00001d002133	Zm00008a006159	9.86731879908	NA
Nonsyntenic_Dup_0020	Zm00001d002158,Zm00001d002159,Zm00001d002160,Zm00001d002161	Zm00008a006177	11.716755617,11.716755617,11.716755617	NA
Nonsyntenic_Dup_0021	Zm00001d002168,Zm00001d002172,Zm00001d002173,Zm00001d002174,Zm00001d002178,Zm00001d002181	Zm00008a006192,Zm00008a006193,Zm00008a006196,Zm00008a006199,Zm00008a006209,Zm00008a006210	11.9117864762,0.00609667022147,0.00609667022147,0.00236425999722,0.00102131112343	0.00609667022147,0.00236425999722,0.00102131112343,0.00609667022147,8.92255743888e-05
Nonsyntenic_Dup_0022	Zm00001d002168,Zm00001d002172,Zm00001d002173,Zm00001d002174,Zm00001d002178,Zm00001d002181	Zm00008a006197,Zm00008a006200	11.3495967094,5.5658028881,5.5658028881,2.96468912993,1.7113270012	0.600490822266
Nonsyntenic_Dup_0023	Zm00001d002179,Zm00001d002182	Zm00008a006197,Zm00008a006200	11.7372741222	11.7372741222
Nonsyntenic_Dup_0025	Zm00001d002198,Zm00001d002199	Zm00008a006192,Zm00008a006193,Zm00008a006196,Zm00008a006199,Zm00008a006209,Zm00008a006210	8.22887890556	7.21646045711,3.17390327359,1.5114100767,11.7108197885,7.03912300083
Nonsyntenic_Dup_0026	Zm00001d002202,Zm00001d002208,Zm00001d002214,Zm00001d002221,Zm00001d002228	Zm00008a006212	0.427646866213,11.7390356495,10.5208389879,0.244325914134	NA
Nonsyntenic_Dup_0027	Zm00001d002203,Zm00001d002209,Zm00001d002215,Zm00001d002223,Zm00001d002229	Zm00008a006213,Zm00008a006220,Zm00008a006224	0.224794576169,0.466580781782,11.7556412341,11.7556412341	0.843193506663,0.843193506663
Nonsyntenic_Dup_0028	Zm00001d002203,Zm00001d002209,Zm00001d002215,Zm00001d002223,Zm00001d002229	Zm00008a006218,Zm00008a006225	0.000247217781644,0.000198284207618,0.00607031840965,0.00607031840965	0.000574934147204
