ClusterID	Genes	Width	
Cluster_0000	Zm00008a000026,Zm00008a000029	4
Cluster_0001	Zm00008a000036,Zm00008a000040	5
Cluster_0002	Zm00008a000147,Zm00008a000149	3
Cluster_0003	Zm00008a000228,Zm00008a000229	2
Cluster_0004	Zm00008a000249,Zm00008a000252	4
Cluster_0005	Zm00008a000256,Zm00008a000257	2
Cluster_0006	Zm00008a000262,Zm00008a000263,Zm00008a000264	3
Cluster_0007	Zm00008a000272,Zm00008a000287	16
Cluster_0008	Zm00008a000279,Zm00008a000280,Zm00008a000281	3
Cluster_0009	Zm00008a000308,Zm00008a000309	2
Cluster_0010	Zm00008a000311,Zm00008a000312	2
Cluster_0011	Zm00008a000318,Zm00008a000319	2
Cluster_0012	Zm00008a000334,Zm00008a000335,Zm00008a000336,Zm00008a000338	5
Cluster_0013	Zm00008a000352,Zm00008a000353	2
Cluster_0014	Zm00008a000363,Zm00008a000364	2
Cluster_0015	Zm00008a000368,Zm00008a000369	2
Cluster_0016	Zm00008a000476,Zm00008a000479	4
Cluster_0017	Zm00008a000498,Zm00008a000499	2
Cluster_0018	Zm00008a000515,Zm00008a000516,Zm00008a000517	3
Cluster_0019	Zm00008a000531,Zm00008a000532,Zm00008a000534	4
Cluster_0020	Zm00008a000554,Zm00008a000556	3
Cluster_0021	Zm00008a000555,Zm00008a000557	3
Cluster_0022	Zm00008a000579,Zm00008a000581	3
Cluster_0023	Zm00008a000590,Zm00008a000591	2
Cluster_0024	Zm00008a000603,Zm00008a000604	2
Cluster_0025	Zm00008a000641,Zm00008a000642,Zm00008a000643,Zm00008a000645,Zm00008a000646,Zm00008a000647,Zm00008a000648,Zm00008a000649	9
Cluster_0026	Zm00008a000705,Zm00008a000707	3
Cluster_0027	Zm00008a000714,Zm00008a000715	2
Cluster_0028	Zm00008a000795,Zm00008a000796	2
Cluster_0029	Zm00008a000845,Zm00008a000846	2
Cluster_0030	Zm00008a000867,Zm00008a000868	2
Cluster_0031	Zm00008a000869,Zm00008a000870	2
Cluster_0032	Zm00008a000872,Zm00008a000873	2
Cluster_0033	Zm00008a000874,Zm00008a000875	2
Cluster_0034	Zm00008a000887,Zm00008a000890	4
Cluster_0035	Zm00008a000976,Zm00008a000977,Zm00008a000980	5
Cluster_0036	Zm00008a000999,Zm00008a001000	2
Cluster_0037	Zm00008a001039,Zm00008a001042	4
Cluster_0038	Zm00008a001046,Zm00008a001047	2
Cluster_0039	Zm00008a001092,Zm00008a001099	8
Cluster_0040	Zm00008a001093,Zm00008a001098	6
Cluster_0041	Zm00008a001134,Zm00008a001135	2
Cluster_0042	Zm00008a001144,Zm00008a001145	2
Cluster_0043	Zm00008a001187,Zm00008a001202	16
Cluster_0044	Zm00008a001249,Zm00008a001250	2
Cluster_0045	Zm00008a001268,Zm00008a001269	2
Cluster_0046	Zm00008a001288,Zm00008a001290	3
Cluster_0047	Zm00008a001331,Zm00008a001332	2
Cluster_0048	Zm00008a001387,Zm00008a001398	12
Cluster_0049	Zm00008a001393,Zm00008a001394	2
Cluster_0050	Zm00008a001438,Zm00008a001440	3
Cluster_0051	Zm00008a001447,Zm00008a001449	3
Cluster_0052	Zm00008a001454,Zm00008a001455	2
Cluster_0053	Zm00008a001482,Zm00008a001496	15
Cluster_0054	Zm00008a001502,Zm00008a001503,Zm00008a001512	11
Cluster_0055	Zm00008a001514,Zm00008a001515	2
Cluster_0056	Zm00008a001532,Zm00008a001533	2
Cluster_0057	Zm00008a001538,Zm00008a001539	2
Cluster_0058	Zm00008a001574,Zm00008a001575,Zm00008a001578,Zm00008a001579	6
Cluster_0059	Zm00008a001590,Zm00008a001592,Zm00008a001593	4
Cluster_0060	Zm00008a001591,Zm00008a001594	4
Cluster_0061	Zm00008a001607,Zm00008a001611,Zm00008a001612	6
Cluster_0062	Zm00008a001609,Zm00008a001613	5
Cluster_0063	Zm00008a001636,Zm00008a001638,Zm00008a001639	4
Cluster_0064	Zm00008a001644,Zm00008a001646	3
Cluster_0065	Zm00008a001651,Zm00008a001652,Zm00008a001653	3
Cluster_0066	Zm00008a001664,Zm00008a001665	2
Cluster_0067	Zm00008a001702,Zm00008a001703	2
Cluster_0068	Zm00008a001717,Zm00008a001718,Zm00008a001720	4
Cluster_0069	Zm00008a001757,Zm00008a001758	2
Cluster_0070	Zm00008a001806,Zm00008a001807	2
Cluster_0071	Zm00008a001811,Zm00008a001812,Zm00008a001816,Zm00008a001817	7
