Cluster_0001	Zm00001d025085,Zm00001d025086
Cluster_0002	Zm00001d025104,Zm00001d025105
Cluster_0004	Zm00001d025174,Zm00001d025175
Cluster_0006	Zm00001d025190,Zm00001d025188
Cluster_0007	Zm00001d023587,Zm00001d023588
Cluster_0008	Zm00001d025253,Zm00001d025255
Cluster_0009	Zm00001d025265,Zm00001d025267
Cluster_0011	Zm00001d025310,Zm00001d025319
Cluster_0012	Zm00001d025349,Zm00001d025350
Cluster_0013	Zm00001d025354,Zm00001d025355
Cluster_0018	Zm00001d023608,Zm00001d023611
Cluster_0021	Zm00001d025528,Zm00001d025533
Cluster_0022	Zm00001d025545,Zm00001d025544
Cluster_0026	Zm00001d025557,Zm00001d025551
Cluster_0027	Zm00001d025572,Zm00001d025573
Cluster_0037	Zm00001d025741,Zm00001d025744
Cluster_0038	Zm00001d025774,Zm00001d025775
Cluster_0041	Zm00001d025839,Zm00001d025841
Cluster_0046	Zm00001d025900,Zm00001d025901
Cluster_0049	Zm00001d026127,Zm00001d026128
Cluster_0050	Zm00001d026133,Zm00001d026134
Cluster_0053	Zm00001d026177,Zm00001d026178
Cluster_0056	Zm00001d026221,Zm00001d026220
Cluster_0057	Zm00001d026226,Zm00001d026225
Cluster_0059	Zm00001d026251,Zm00001d026250
Cluster_0061	Zm00001d026339,Zm00001d026341
Cluster_0062	Zm00001d026354,Zm00001d026353
Cluster_0065	Zm00001d023247,Zm00001d023248
Cluster_0067	Zm00001d026413,Zm00001d026406
Cluster_0068	Zm00001d026445,Zm00001d026446
Cluster_0069	Zm00001d026454,Zm00001d026457
Cluster_0071	Zm00001d026483,Zm00001d026485
Cluster_0072	Zm00001d026485,Zm00001d026484
Cluster_0074	Zm00001d026493,Zm00001d026494
Cluster_0078	Zm00001d026551,Zm00001d026553
Cluster_0080	Zm00001d026569,Zm00001d026568
Cluster_0081	Zm00001d026568,Zm00001d026572
Cluster_0085	Zm00001d023264,Zm00001d023266
Cluster_0087	Zm00001d023701,Zm00001d023702
Cluster_0088	Zm00001d023705,Zm00001d023704
Cluster_0094	Zm00001d023841,Zm00001d023840
Cluster_0099	Zm00001d023313,Zm00001d023314
Cluster_0100	Zm00001d023932,Zm00001d023931
Cluster_0101	Zm00001d023941,Zm00001d023939
Cluster_0104	Zm00001d023332,Zm00001d023336
Cluster_0112	Zm00001d023382,Zm00001d023389
Cluster_0113	Zm00001d023384,Zm00001d023385
Cluster_0114	Zm00001d024092,Zm00001d024093
Cluster_0120	Zm00001d023427,Zm00001d023426
Cluster_0121	Zm00001d023439,Zm00001d023451
Cluster_0126	Zm00001d023455,Zm00001d023456
Cluster_0127	Zm00001d024306,Zm00001d024305
Cluster_0128	Zm00001d024323,Zm00001d024322
Cluster_0129	Zm00001d024349,Zm00001d024351
Cluster_0130	Zm00001d024356,Zm00001d024355
Cluster_0137	Zm00001d023499,Zm00001d023498
Cluster_0138	Zm00001d024493,Zm00001d024492
Cluster_0139	Zm00001d024494,Zm00001d024495
Cluster_0140	Zm00001d023503,Zm00001d023511
