Clusters	GeneNumber	Chromosome	SortedClusterIDs	Ages
Zm00008a000554,Zm00008a000556;Zm00008a000555,Zm00008a000557	553,555;554,556	chr01	Zm00008a000554,Zm00008a000555,Zm00008a000556,Zm00008a000557	3.81368123951,11.7214350889
Zm00008a001590,Zm00008a001592,Zm00008a001593;Zm00008a001591,Zm00008a001594	1589,1591,1592;1590,1593	chr01	Zm00008a001590,Zm00008a001591,Zm00008a001592,Zm00008a001593,Zm00008a001594	0.330413506635,5.95290079059,1.19138468988
Zm00008a001607,Zm00008a001611,Zm00008a001612;Zm00008a001609,Zm00008a001613	1606,1610,1611;1608,1612	chr01	Zm00008a001607,Zm00008a001609,Zm00008a001611,Zm00008a001612,Zm00008a001613	NA,NA,1.35722563625
Zm00008a001857,Zm00008a001860;Zm00008a001859,Zm00008a001861	1856,1859;1858,1860	chr01	Zm00008a001857,Zm00008a001859,Zm00008a001860,Zm00008a001861	NA,9.1622147241
Zm00008a001968,Zm00008a001970,Zm00008a001972,Zm00008a001978;Zm00008a001969,Zm00008a001971,Zm00008a001973,Zm00008a001979	1967,1969,1971,1977;1968,1970,1972,1978	chr01	Zm00008a001968,Zm00008a001969,Zm00008a001970,Zm00008a001971,Zm00008a001972,Zm00008a001973,Zm00008a001978,Zm00008a001979	11.7368397648,1.92723256171,11.7368397648,11.7211350222,11.7211350222,5.58019633636
Zm00008a002353,Zm00008a002361;Zm00008a002354,Zm00008a002362,Zm00008a002363	2352,2360;2353,2361,2362	chr01	Zm00008a002353,Zm00008a002354,Zm00008a002361,Zm00008a002362,Zm00008a002363	11.7277706544,11.7392550098,11.7392550098
Zm00008a003125,Zm00008a003127;Zm00008a003126,Zm00008a003128	3124,3126;3125,3127	chr01	Zm00008a003125,Zm00008a003126,Zm00008a003127,Zm00008a003128	NA,11.7492554875
Zm00008a003161,Zm00008a003167,Zm00008a003174,Zm00008a003181,Zm00008a003190,Zm00008a003195;Zm00008a003170,Zm00008a003176,Zm00008a003191,Zm00008a003197,Zm00008a003199,Zm00008a003200	3160,3166,3173,3180,3189,3194;3169,3175,3190,3196,3198,3199	chr01	Zm00008a003161,Zm00008a003167,Zm00008a003170,Zm00008a003174,Zm00008a003176,Zm00008a003181,Zm00008a003190,Zm00008a003191,Zm00008a003195,Zm00008a003197,Zm00008a003199,Zm00008a003200	2.93049684763,2.93049684763,1.8860489391,2.93049684763,2.93049684763,9.61922576437,9.61922576437,7.20288622368,7.20288622368,7.20288622368
Zm00008a003172,Zm00008a003179,Zm00008a003188;Zm00008a003173,Zm00008a003180,Zm00008a003194	3171,3178,3187;3172,3179,3193	chr01	Zm00008a003172,Zm00008a003173,Zm00008a003179,Zm00008a003180,Zm00008a003188,Zm00008a003194	8.00316803873,11.7170862828,11.7182886972,11.7182886972
Zm00008a004058,Zm00008a004063;Zm00008a004059,Zm00008a004064;Zm00008a004060,Zm00008a004065	4057,4062;4058,4063;4059,4064	chr01	Zm00008a004058,Zm00008a004059,Zm00008a004060,Zm00008a004063,Zm00008a004064,Zm00008a004065	11.7308480658,11.759619484,0.196097512658
Zm00008a005201,Zm00008a005210;Zm00008a005209,Zm00008a005211	5200,5209;5208,5210	chr01	Zm00008a005201,Zm00008a005209,Zm00008a005210,Zm00008a005211	11.7805766449,11.7194044498
Zm00008a005301,Zm00008a005303,Zm00008a005304;Zm00008a005302,Zm00008a005305	5300,5302,5303;5301,5304	chr01	Zm00008a005301,Zm00008a005302,Zm00008a005303,Zm00008a005304,Zm00008a005305	11.7430606317,11.7430606317,6.35918026388
Zm00008a006213,Zm00008a006220,Zm00008a006224;Zm00008a006214,Zm00008a006226;Zm00008a006215,Zm00008a006229	315,322,326;316,328;317,331	chr02	Zm00008a006213,Zm00008a006214,Zm00008a006215,Zm00008a006220,Zm00008a006224,Zm00008a006226,Zm00008a006229	1.27848015908,0.879385565908,NA,NA
Zm00008a006216,Zm00008a006221,Zm00008a006227,Zm00008a006228;Zm00008a006218,Zm00008a006225	318,323,329,330;320,327	chr02	Zm00008a006216,Zm00008a006218,Zm00008a006221,Zm00008a006225,Zm00008a006227,Zm00008a006228	2.26626219891,2.26626219891,0.625293864671,NA
Zm00008a006576,Zm00008a006581;Zm00008a006579,Zm00008a006583	678,683;681,685	chr02	Zm00008a006576,Zm00008a006579,Zm00008a006581,Zm00008a006583	11.7318494007,11.7336771388
Zm00008a006777,Zm00008a006782,Zm00008a006786;Zm00008a006778,Zm00008a006794	879,884,888;880,896	chr02	Zm00008a006777,Zm00008a006778,Zm00008a006782,Zm00008a006786,Zm00008a006794	NA,NA,NA
Zm00008a006780,Zm00008a006783,Zm00008a006787;Zm00008a006781,Zm00008a006784	882,885,889;883,886	chr02	Zm00008a006780,Zm00008a006781,Zm00008a006783,Zm00008a006784,Zm00008a006787	NA,NA,NA
