#compute -i *.fasta 
#Tue Jun 27 14:24:30 2017

locus	nsam	nsites	nsites_ug	S	Singletons	NMut	nhap	hapdiv	WallsB	WallsQ	ThetaW	ThetaPi	TajD	FuLiDStar	FuLiFStar	Rmin	rho87
Zm00001d000001-Zm00001d000002.fasta	2	5124	1752	1194	1194	1194	2	1	1	1	0.681507	0.681507	nan	nan	nan	0	10000	
Zm00001d000002-Zm00001d000003.fasta	2	5034	21	11	11	11	2	1	1	1	0.52381	0.52381	nan	nan	nan	0	10000	
Zm00001d000003-Zm00001d000004.fasta	2	291	21	9	9	9	2	1	1	1	0.428571	0.428571	nan	nan	nan	0	10000	
Zm00001d000004-Zm00001d000005.fasta	2	2070	291	186	186	186	2	1	1	1	0.639175	0.639175	nan	nan	nan	0	10000	
Zm00001d000005-Zm00001d000006.fasta	2	2070	678	451	451	451	2	1	1	1	0.665192	0.665192	nan	nan	nan	0	10000	
Zm00001d000006-Zm00001d000008.fasta	2	678	678	32	32	32	2	1	1	1	0.0471976	0.0471976	nan	nan	nan	0	10000	
Zm00001d000008-Zm00001d000009.fasta	2	1050	609	414	414	414	2	1	1	1	0.679803	0.679803	nan	nan	nan	0	10000	
Zm00001d000009-Zm00001d000011.fasta	2	1044	510	332	332	332	2	1	1	1	0.65098	0.65098	nan	nan	nan	0	10000	
Zm00001d000011-Zm00001d000012.fasta	2	738	519	335	335	335	2	1	1	1	0.645472	0.645472	nan	nan	nan	0	10000	
Zm00001d000012-Zm00001d000013.fasta	2	1500	618	388	388	388	2	1	1	1	0.627832	0.627832	nan	nan	nan	0	10000	
Zm00001d000013-Zm00001d000016.fasta	2	1491	690	457	457	457	2	1	1	1	0.662319	0.662319	nan	nan	nan	0	10000	
Zm00001d000016-Zm00001d000017.fasta	2	882	546	371	371	371	2	1	1	1	0.679487	0.679487	nan	nan	nan	0	10000	
Zm00001d000017-Zm00001d000018.fasta	2	681	681	40	40	40	2	1	1	1	0.0587372	0.0587372	nan	nan	nan	0	10000	
Zm00001d000018-Zm00001d000019.fasta	2	681	27	14	14	14	2	1	1	1	0.518519	0.518519	nan	nan	nan	0	10000	
Zm00001d000019-Zm00001d000020.fasta	2	909	27	18	18	18	2	1	1	1	0.666667	0.666667	nan	nan	nan	0	10000	
Zm00001d000020-Zm00001d000021.fasta	2	1374	720	465	465	465	2	1	1	1	0.645833	0.645833	nan	nan	nan	0	10000	
Zm00001d000021-Zm00001d000023.fasta	2	2946	1134	760	760	760	2	1	1	1	0.670194	0.670194	nan	nan	nan	0	10000	
Zm00001d000025-Zm00001d000026.fasta	2	939	162	103	103	103	2	1	1	1	0.635802	0.635802	nan	nan	nan	0	10000	
Zm00001d000026-Zm00001d000027.fasta	2	3186	759	505	505	505	2	1	1	1	0.665349	0.665349	nan	nan	nan	0	10000	
Zm00001d000027-Zm00001d000028.fasta	2	3327	1395	917	917	917	2	1	1	1	0.657348	0.657348	nan	nan	nan	0	10000	
Zm00001d000028-Zm00001d000029.fasta	2	1785	807	516	516	516	2	1	1	1	0.639405	0.639405	nan	nan	nan	0	10000	
Zm00001d000029-Zm00001d000030.fasta	2	1509	861	541	541	541	2	1	1	1	0.628339	0.628339	nan	nan	nan	0	10000	
Zm00001d000030-Zm00001d000032.fasta	2	1335	348	230	230	230	2	1	1	1	0.66092	0.66092	nan	nan	nan	0	10000	
Zm00001d000032-Zm00001d000034.fasta	2	2994	357	241	241	241	2	1	1	1	0.67507	0.67507	nan	nan	nan	0	10000	
Zm00001d000034-Zm00001d000035.fasta	2	3024	804	525	525	525	2	1	1	1	0.652985	0.652985	nan	nan	nan	0	10000	
Zm00001d000035-Zm00001d000036.fasta	2	2493	657	447	447	447	2	1	1	1	0.680365	0.680365	nan	nan	nan	0	10000	
Zm00001d000036-Zm00001d000037.fasta	2	2529	1356	835	835	835	2	1	1	1	0.615782	0.615782	nan	nan	nan	0	10000	
Zm00001d000037-Zm00001d000038.fasta	2	2202	1332	754	754	754	2	1	1	1	0.566066	0.566066	nan	nan	nan	0	10000	
Zm00001d000038-Zm00001d000039.fasta	2	2613	1698	1060	1060	1060	2	1	1	1	0.624264	0.624264	nan	nan	nan	0	10000	
Zm00001d000039-Zm00001d000040.fasta	2	2346	342	223	223	223	2	1	1	1	0.652047	0.652047	nan	nan	nan	0	10000	
Zm00001d000040-Zm00001d000041.fasta	2	693	273	181	181	181	2	1	1	1	0.663004	0.663004	nan	nan	nan	0	10000	
Zm00001d000041-Zm00001d000042.fasta	2	2658	576	377	377	377	2	1	1	1	0.654514	0.654514	nan	nan	nan	0	10000	
