Cluster_0000	Zm00008a037663,Zm00008a037664
Cluster_0001	Zm00008a037668,Zm00008a037667
Cluster_0002	Zm00008a037677,Zm00008a037678
Cluster_0003	Zm00008a037687,Zm00008a037686
Cluster_0005	Zm00008a036565,Zm00008a036564
Cluster_0006	Zm00008a037731,Zm00008a037729
Cluster_0007	Zm00008a037732,Zm00008a037730
Cluster_0010	Zm00008a037760,Zm00008a037759
Cluster_0011	Zm00008a037799,Zm00008a037798
Cluster_0012	Zm00008a037804,Zm00008a037805
Cluster_0013	Zm00008a037807,Zm00008a037808
Cluster_0014	Zm00008a037811,Zm00008a037812
Cluster_0016	Zm00008a037829,Zm00008a037828
Cluster_0017	Zm00008a037856,Zm00008a037855
Cluster_0018	Zm00008a037861,Zm00008a037862
Cluster_0019	Zm00008a037865,Zm00008a037866
Cluster_0020	Zm00008a037882,Zm00008a037883
Cluster_0022	Zm00008a037917,Zm00008a037927
Cluster_0027	Zm00008a037977,Zm00008a037978
Cluster_0028	Zm00008a037980,Zm00008a037981
Cluster_0029	Zm00008a037991,Zm00008a037992
Cluster_0031	Zm00008a038002,Zm00008a037999
Cluster_0032	Zm00008a038017,Zm00008a038018
Cluster_0037	Zm00008a038088,Zm00008a038089
Cluster_0039	Zm00008a038103,Zm00008a038102
Cluster_0041	Zm00008a038127,Zm00008a038128
Cluster_0042	Zm00008a038135,Zm00008a038136
Cluster_0043	Zm00008a038144,Zm00008a038143
Cluster_0044	Zm00008a036598,Zm00008a036599
Cluster_0046	Zm00008a038194,Zm00008a038193
Cluster_0049	Zm00008a038210,Zm00008a038208
Cluster_0050	Zm00008a038211,Zm00008a038212
Cluster_0051	Zm00008a038214,Zm00008a038213
Cluster_0053	Zm00008a038238,Zm00008a038239
Cluster_0054	Zm00008a038249,Zm00008a038250
Cluster_0057	Zm00008a038264,Zm00008a038265
Cluster_0059	Zm00008a036608,Zm00008a036609
Cluster_0060	Zm00008a038289,Zm00008a038288
Cluster_0063	Zm00008a038305,Zm00008a038306
Cluster_0065	Zm00008a038357,Zm00008a038358
Cluster_0066	Zm00008a038374,Zm00008a038373
Cluster_0067	Zm00008a038397,Zm00008a038396
Cluster_0068	Zm00008a038418,Zm00008a038417
Cluster_0069	Zm00008a038426,Zm00008a038424
Cluster_0071	Zm00008a038448,Zm00008a038449
Cluster_0072	Zm00008a038454,Zm00008a038455
Cluster_0073	Zm00008a038461,Zm00008a038460
Cluster_0074	Zm00008a038466,Zm00008a038465
Cluster_0075	Zm00008a038471,Zm00008a038472
Cluster_0078	Zm00008a038488,Zm00008a038489
Cluster_0081	Zm00008a038507,Zm00008a038506
Cluster_0082	Zm00008a038510,Zm00008a038509
Cluster_0083	Zm00008a038511,Zm00008a038517
Cluster_0086	Zm00008a038562,Zm00008a038561
Cluster_0087	Zm00008a036291,Zm00008a036289
Cluster_0088	Zm00008a038593,Zm00008a038592
