ClusterID	Genes	Intervals	
Cluster_0000	Zm00008a037663,Zm00008a037664	0
Cluster_0001	Zm00008a037668,Zm00008a037667	0
Cluster_0002	Zm00008a037677,Zm00008a037678	0
Cluster_0003	Zm00008a037687,Zm00008a037686	0
Cluster_0004	Zm00008a036557,Zm00008a036555,Zm00008a036558,Zm00008a036556	0,0,0
Cluster_0005	Zm00008a036565,Zm00008a036564	0
Cluster_0006	Zm00008a037731,Zm00008a037729	1
Cluster_0007	Zm00008a037732,Zm00008a037730	1
Cluster_0008	Zm00008a036569,Zm00008a036568	0
Cluster_0009	Zm00008a037755,Zm00008a037756	0
Cluster_0010	Zm00008a037760,Zm00008a037759	0
Cluster_0011	Zm00008a037799,Zm00008a037798	0
Cluster_0012	Zm00008a037804,Zm00008a037805	0
Cluster_0013	Zm00008a037807,Zm00008a037808	0
Cluster_0014	Zm00008a037811,Zm00008a037812	0
Cluster_0015	Zm00008a036575,Zm00008a036573,Zm00008a036578,Zm00008a036583,Zm00008a036576	1,0,1,4
Cluster_0016	Zm00008a037829,Zm00008a037828	0
Cluster_0017	Zm00008a037856,Zm00008a037855	0
Cluster_0018	Zm00008a037861,Zm00008a037862	0
Cluster_0019	Zm00008a037865,Zm00008a037866	0
Cluster_0020	Zm00008a037882,Zm00008a037883	0
Cluster_0021	Zm00008a037900,Zm00008a037887,Zm00008a037886,Zm00008a037881,Zm00008a037890,Zm00008a037888,Zm00008a037884	2,1,0,0,1,9
Cluster_0022	Zm00008a037917,Zm00008a037927	9
Cluster_0023	Zm00008a037923,Zm00008a037922	0
Cluster_0024	Zm00008a037943,Zm00008a037928,Zm00008a037945,Zm00008a037944	14,0,0
Cluster_0025	Zm00008a036587,Zm00008a036586,Zm00008a036571	14,0
Cluster_0026	Zm00008a037959,Zm00008a037960,Zm00008a037961	0,0
Cluster_0027	Zm00008a037977,Zm00008a037978	0
Cluster_0028	Zm00008a037980,Zm00008a037981	0
Cluster_0029	Zm00008a037991,Zm00008a037992	0
Cluster_0030	Zm00008a038000,Zm00008a038003,Zm00008a038007,Zm00008a038010,Zm00008a038004,Zm00008a038001,Zm00008a038009,Zm00008a038011,Zm00008a038012,Zm00008a038006,Zm00008a038005	0,1,0,0,0,0,1,0,0,0
Cluster_0031	Zm00008a038002,Zm00008a037999	2
Cluster_0032	Zm00008a038017,Zm00008a038018	0
Cluster_0033	Zm00008a038032,Zm00008a038031	0
Cluster_0034	Zm00008a038033,Zm00008a038044	10
Cluster_0035	Zm00008a038042,Zm00008a038039,Zm00008a038040,Zm00008a038037,Zm00008a038043,Zm00008a038046,Zm00008a038038,Zm00008a038041,Zm00008a038034,Zm00008a038045	2,0,0,0,0,0,0,1,0
Cluster_0036	Zm00008a036592,Zm00008a036591,Zm00008a036602	0,9
Cluster_0037	Zm00008a038088,Zm00008a038089	0
Cluster_0038	Zm00008a038100,Zm00008a038112,Zm00008a038111	10,0
Cluster_0039	Zm00008a038103,Zm00008a038102	0
Cluster_0040	Zm00008a038123,Zm00008a038124,Zm00008a038125	0,0
Cluster_0041	Zm00008a038127,Zm00008a038128	0
Cluster_0042	Zm00008a038135,Zm00008a038136	0
Cluster_0043	Zm00008a038144,Zm00008a038143	0
Cluster_0044	Zm00008a036598,Zm00008a036599	0
Cluster_0045	Zm00008a036277,Zm00008a036278	0
Cluster_0046	Zm00008a038194,Zm00008a038193	0
Cluster_0047	Zm00008a038197,Zm00008a038198	0
Cluster_0048	Zm00008a036279,Zm00008a036287	7
Cluster_0049	Zm00008a038210,Zm00008a038208	1
Cluster_0050	Zm00008a038211,Zm00008a038212	0
Cluster_0051	Zm00008a038214,Zm00008a038213	0
Cluster_0052	Zm00008a038236,Zm00008a038235	0
Cluster_0053	Zm00008a038238,Zm00008a038239	0
Cluster_0054	Zm00008a038249,Zm00008a038250	0
Cluster_0055	Zm00008a038254,Zm00008a038255	0
Cluster_0056	Zm00008a038258,Zm00008a038262,Zm00008a038260,Zm00008a038261	1,0,0
Cluster_0057	Zm00008a038264,Zm00008a038265	0
Cluster_0058	Zm00008a038285,Zm00008a038286	0
Cluster_0059	Zm00008a036608,Zm00008a036609	0
Cluster_0060	Zm00008a038289,Zm00008a038288	0
Cluster_0061	Zm00008a038294,Zm00008a038296,Zm00008a038295	0,0
Cluster_0062	Zm00008a038299,Zm00008a038297,Zm00008a038298	0,0
Cluster_0063	Zm00008a038305,Zm00008a038306	0
Cluster_0064	Zm00008a038353,Zm00008a038352,Zm00008a038354	0,0
Cluster_0065	Zm00008a038357,Zm00008a038358	0
Cluster_0066	Zm00008a038374,Zm00008a038373	0
Cluster_0067	Zm00008a038397,Zm00008a038396	0
Cluster_0068	Zm00008a038418,Zm00008a038417	0
Cluster_0069	Zm00008a038426,Zm00008a038424	1
Cluster_0070	Zm00008a038439,Zm00008a038440	0
Cluster_0071	Zm00008a038448,Zm00008a038449	0
Cluster_0072	Zm00008a038454,Zm00008a038455	0
Cluster_0073	Zm00008a038461,Zm00008a038460	0
Cluster_0074	Zm00008a038466,Zm00008a038465	0
Cluster_0075	Zm00008a038471,Zm00008a038472	0
Cluster_0076	Zm00008a038485,Zm00008a038484,Zm00008a038480,Zm00008a038481	0,2,0
Cluster_0077	Zm00008a038486,Zm00008a038487	0
Cluster_0078	Zm00008a038488,Zm00008a038489	0
Cluster_0079	Zm00008a038493,Zm00008a038492	0
Cluster_0080	Zm00008a038500,Zm00008a038501	0
Cluster_0081	Zm00008a038507,Zm00008a038506	0
Cluster_0082	Zm00008a038510,Zm00008a038509	0
Cluster_0083	Zm00008a038511,Zm00008a038517	5
Cluster_0084	Zm00008a038514,Zm00008a038513	0
Cluster_0085	Zm00008a038549,Zm00008a038551,Zm00008a038550,Zm00008a038552	0,0,0
Cluster_0086	Zm00008a038562,Zm00008a038561	0
Cluster_0087	Zm00008a036291,Zm00008a036289	1
Cluster_0088	Zm00008a038593,Zm00008a038592	0
Cluster_0089	Zm00008a038599,Zm00008a038598	0
Cluster_0090	Zm00008a038603,Zm00008a038604	0
Cluster_0091	Zm00008a038610,Zm00008a038607,Zm00008a038622	2,11
Cluster_0092	Zm00008a038634,Zm00008a038635	0
Cluster_0093	Zm00008a038641,Zm00008a038643,Zm00008a038642	0,0
Cluster_0094	Zm00008a038656,Zm00008a038657,Zm00008a038659	0,1
Cluster_0095	Zm00008a038665,Zm00008a038668,Zm00008a038669	2,0
Cluster_0096	Zm00008a038672,Zm00008a038673	0
Cluster_0097	Zm00008a038725,Zm00008a038726	0
Cluster_0098	Zm00008a038747,Zm00008a038746	0
Cluster_0099	Zm00008a038761,Zm00008a038760	0
Cluster_0100	Zm00008a038776,Zm00008a038777,Zm00008a038775	0,0
Cluster_0101	Zm00008a038781,Zm00008a038782	0
Cluster_0102	Zm00008a038806,Zm00008a038805	0
Cluster_0103	Zm00008a038807,Zm00008a038808,Zm00008a038809	0,0
Cluster_0104	Zm00008a038812,Zm00008a038810,Zm00008a038811	0,0
Cluster_0105	Zm00008a038830,Zm00008a038831	0
Cluster_0106	Zm00008a038869,Zm00008a038868	0
Cluster_0107	Zm00008a038881,Zm00008a038880	0
Cluster_0108	Zm00008a038890,Zm00008a038888	1
Cluster_0109	Zm00008a038893,Zm00008a038896	2
Cluster_0110	Zm00008a038894,Zm00008a038895	0
Cluster_0111	Zm00008a038897,Zm00008a038898	0
Cluster_0112	Zm00008a038907,Zm00008a038906	0
Cluster_0113	Zm00008a038922,Zm00008a038921	0
Cluster_0114	Zm00008a036633,Zm00008a036631	1
Cluster_0115	Zm00008a036295,Zm00008a036294	0
Cluster_0116	Zm00008a036643,Zm00008a036644	0
Cluster_0117	Zm00008a036652,Zm00008a036650	1
Cluster_0118	Zm00008a036672,Zm00008a036669,Zm00008a036667,Zm00008a036670,Zm00008a036673	1,0,1,0
Cluster_0119	Zm00008a036678,Zm00008a036679	0
Cluster_0120	Zm00008a036680,Zm00008a036681	0
Cluster_0121	Zm00008a036689,Zm00008a036690	0
Cluster_0122	Zm00008a036702,Zm00008a036703	0
Cluster_0123	Zm00008a036706,Zm00008a036705	0
Cluster_0124	Zm00008a036311,Zm00008a036309	1
Cluster_0125	Zm00008a036712,Zm00008a036713	0
Cluster_0126	Zm00008a036313,Zm00008a036314	0
Cluster_0127	Zm00008a036315,Zm00008a036303	11
Cluster_0128	Zm00008a036318,Zm00008a036316	1
Cluster_0129	Zm00008a036716,Zm00008a036717	0
Cluster_0130	Zm00008a036731,Zm00008a036715	15
Cluster_0131	Zm00008a036745,Zm00008a036744	0
Cluster_0132	Zm00008a036753,Zm00008a036752	0
Cluster_0133	Zm00008a036763,Zm00008a036761	1
Cluster_0134	Zm00008a036330,Zm00008a036327	2
Cluster_0135	Zm00008a036333,Zm00008a036335,Zm00008a036336,Zm00008a036323	9,1,0
Cluster_0136	Zm00008a036773,Zm00008a036757	15
Cluster_0137	Zm00008a036780,Zm00008a036782,Zm00008a036781,Zm00008a036778,Zm00008a036779	0,0,0,0
Cluster_0138	Zm00008a036805,Zm00008a036804,Zm00008a036803	0,0
Cluster_0139	Zm00008a036806,Zm00008a036807	0
Cluster_0140	Zm00008a036342,Zm00008a036343	0
Cluster_0141	Zm00008a036818,Zm00008a036817	0
Cluster_0142	Zm00008a036347,Zm00008a036349	1
Cluster_0143	Zm00008a036353,Zm00008a036352	0
Cluster_0144	Zm00008a036829,Zm00008a036826	2
Cluster_0145	Zm00008a036361,Zm00008a036360,Zm00008a036362	0,0
Cluster_0146	Zm00008a036370,Zm00008a036371,Zm00008a036369,Zm00008a036368	0,0,0
Cluster_0147	Zm00008a036863,Zm00008a036866,Zm00008a036864	0,1
Cluster_0148	Zm00008a036868,Zm00008a036869	0
Cluster_0149	Zm00008a036375,Zm00008a036377	1
Cluster_0150	Zm00008a036882,Zm00008a036884	1
Cluster_0151	Zm00008a036886,Zm00008a036883	2
Cluster_0152	Zm00008a036379,Zm00008a036376,Zm00008a036378,Zm00008a036380,Zm00008a036383	1,0,0,2
Cluster_0153	Zm00008a036892,Zm00008a036893	0
Cluster_0154	Zm00008a036897,Zm00008a036898	0
Cluster_0155	Zm00008a036902,Zm00008a036900	1
Cluster_0156	Zm00008a036389,Zm00008a036385	3
Cluster_0157	Zm00008a036910,Zm00008a036911,Zm00008a036909	0,0
Cluster_0158	Zm00008a036391,Zm00008a036390,Zm00008a036387,Zm00008a036392	2,0,0
Cluster_0159	Zm00008a036394,Zm00008a036384	9
Cluster_0160	Zm00008a036399,Zm00008a036406,Zm00008a036400,Zm00008a036404,Zm00008a036405,Zm00008a036401,Zm00008a036402	0,0,0,1,0,0
Cluster_0161	Zm00008a036939,Zm00008a036940	0
Cluster_0162	Zm00008a036948,Zm00008a036949	0
Cluster_0163	Zm00008a036421,Zm00008a036420	0
Cluster_0164	Zm00008a036968,Zm00008a036973	4
Cluster_0165	Zm00008a036427,Zm00008a036440,Zm00008a036426	0,12
Cluster_0166	Zm00008a036433,Zm00008a036438	4
Cluster_0167	Zm00008a036435,Zm00008a036436	0
Cluster_0168	Zm00008a036985,Zm00008a036987,Zm00008a036988	1,0
Cluster_0169	Zm00008a036437,Zm00008a036434	2
Cluster_0170	Zm00008a036439,Zm00008a036432	6
