Cluster_ID	Genes	Gene1	Gene2	Total_Divergence	Ti_Tv	dNdS	dN	dN_SE	dS	dS_Se
Anc_Cluster_0000	Sb06g002180.1,Zm00001d025036,Zm00001d025037	Zm00001d025036	Sb06g002180.1	0.2877	2.1743	0.1849	0.0457	0.0070	0.2469	0.0321
Anc_Cluster_0000	Sb06g002180.1,Zm00001d025036,Zm00001d025037	Zm00001d025037	Sb06g002180.1	0.4307	2.1743	0.2426	0.0811	0.0094	0.3344	0.0404
Anc_Cluster_0000	Sb06g002180.1,Zm00001d025036,Zm00001d025037	Zm00001d025037	Zm00001d025036	0.3553	2.1743	0.2039	0.0592	0.0080	0.2904	0.0361
Anc_Cluster_0001	Sb06g003360.1,Zm00001d025085,Zm00001d025086	Zm00001d025085	Sb06g003360.1	0.6303	1.7599	0.4551	0.1678	0.0417	0.3688	0.1484
Anc_Cluster_0001	Sb06g003360.1,Zm00001d025085,Zm00001d025086	Zm00001d025086	Sb06g003360.1	2.4765	1.7599	0.5686	0.6914	0.1211	1.2160	0.4985
Anc_Cluster_0001	Sb06g003360.1,Zm00001d025085,Zm00001d025086	Zm00001d025086	Zm00001d025085	4.6453	1.7599	0.4374	1.1767	0.2262	2.6899	2.6702
Anc_Cluster_0003	Sb08g004680.1,Zm00001d023575,Zm00001d023570	Zm00001d023575	Sb08g004680.1	1.2325	2.1873	0.0408	0.1214	0.0172	2.9765	3.2071
Anc_Cluster_0003	Sb08g004680.1,Zm00001d023575,Zm00001d023570	Zm00001d023570	Sb08g004680.1	1.0274	2.1873	0.0521	0.1228	0.0173	2.3568	1.4552
Anc_Cluster_0003	Sb08g004680.1,Zm00001d023575,Zm00001d023570	Zm00001d023570	Zm00001d023575	0.3331	2.1873	0.0861	0.0569	0.0113	0.6607	0.2370
Anc_Cluster_0004	Sb06g013020.1,Zm00001d025174,Zm00001d025175	Zm00001d025174	Sb06g013020.1	0.9038	2.1096	0.3556	0.1995	0.0812	0.5611	0.2987
Anc_Cluster_0004	Sb06g013020.1,Zm00001d025174,Zm00001d025175	Zm00001d025175	Sb06g013020.1	2.8010	2.1096	1.8915	1.0815	0.5344	0.5718	0.2681
