Gene	UpstreamTE	DownstreamTE	SameFam	UpstreamBP	DownstreamBP
Zm00001d000006	NA	NA	NA	NA	NA
Zm00001d000008	NA	NA	NA	NA	NA
Zm00001d000012	NA	NA	NA	NA	NA
Zm00001d000017	NA	NA	NA	NA	NA
Zm00001d000018	NA	NA	NA	NA	NA
Zm00001d000016	NA	NA	NA	NA	NA
Zm00001d000020	NA	NA	NA	NA	NA
Zm00001d000071	NA	NA	NA	NA	NA
Zm00001d000072	NA	NA	NA	NA	NA
Zm00001d000195	NA	NA	NA	NA	NA
Zm00001d000196	NA	NA	NA	NA	NA
Zm00001d000331	NA	NA	NA	NA	NA
Zm00001d000335	NA	NA	NA	NA	NA
Zm00001d000363	NA	NA	NA	NA	NA
Zm00001d000365	NA	NA	NA	NA	NA
Zm00001d000364	NA	NA	NA	NA	NA
Zm00001d000366	NA	NA	NA	NA	NA
Zm00001d000371	NA	NA	NA	NA	NA
Zm00001d000373	NA	NA	NA	NA	NA
Zm00001d000377	NA	NA	NA	NA	NA
Zm00001d000397	NA	NA	NA	NA	NA
Zm00001d000398	NA	NA	NA	NA	NA
Zm00001d001817	IT00001B73v400009_jare	IL00008B73v400002_dager	0	1386618	16986450
Zm00001d001818	IT00001B73v400009_jare	IL00008B73v400002_dager	0	1393243	16979978
Zm00001d001833	IT00001B73v400009_jare	IL00008B73v400002_dager	0	1587039	16781925
Zm00001d001835	IT00001B73v400009_jare	IL00008B73v400002_dager	0	1607405	16766351
Zm00001d001885	IT00001B73v400009_jare	IL00008B73v400002_dager	0	2426053	15947759
Zm00001d001887	IT00001B73v400009_jare	IL00008B73v400002_dager	0	2433565	15932198
Zm00001d001902	IT00001B73v400009_jare	IL00008B73v400002_dager	0	2594277	15777574
Zm00001d001903	IT00001B73v400009_jare	IL00008B73v400002_dager	0	2597948	15774490
Zm00001d001908	IT00001B73v400009_jare	IL00008B73v400002_dager	0	2650102	15717092
Zm00001d001909	IT00001B73v400009_jare	IL00008B73v400002_dager	0	2740142	15631596
Zm00001d001924	IT00001B73v400009_jare	IL00008B73v400002_dager	0	2983721	15387824
Zm00001d001927	IT00001B73v400009_jare	IL00008B73v400002_dager	0	3022132	15351475
Zm00001d001941	IT00001B73v400009_jare	IL00008B73v400002_dager	0	3162148	15209647
Zm00001d001943	IT00001B73v400009_jare	IL00008B73v400002_dager	0	3201496	15171543
Zm00001d001944	IT00001B73v400009_jare	IL00008B73v400002_dager	0	3205658	15167240
Zm00001d001961	IT00001B73v400009_jare	IL00008B73v400002_dager	0	3527841	14846599
Zm00001d001963	IT00001B73v400009_jare	IL00008B73v400002_dager	0	3550879	14823840
Zm00001d001964	IT00001B73v400009_jare	IL00008B73v400002_dager	0	3561172	14813550
Zm00001d002013	IT00001B73v400009_jare	IL00008B73v400002_dager	0	4300454	14073339
Zm00001d002019	IT00001B73v400009_jare	IL00008B73v400002_dager	0	4392294	13980840
Zm00001d002020	IT00001B73v400009_jare	IL00008B73v400002_dager	0	4440240	13932741
Zm00001d002014	IT00001B73v400009_jare	IL00008B73v400002_dager	0	4343500	14031216
Zm00001d002015	IT00001B73v400009_jare	IL00008B73v400002_dager	0	4346833	14027886
Zm00001d002016	IT00001B73v400009_jare	IL00008B73v400002_dager	0	4352505	14022211
Zm00001d002017	IT00001B73v400009_jare	IL00008B73v400002_dager	0	4355838	14018881
Zm00001d002018	IT00001B73v400009_jare	IL00008B73v400002_dager	0	4361509	14008594
Zm00001d002055	IT00001B73v400009_jare	IL00008B73v400002_dager	0	5001129	13373473
Zm00001d002057	IT00001B73v400009_jare	IL00008B73v400002_dager	0	5003347	13371228
Zm00001d002066	IT00001B73v400009_jare	IL00008B73v400002_dager	0	5228359	13145784
Zm00001d002067	IT00001B73v400009_jare	IL00008B73v400002_dager	0	5249420	13124608
Zm00001d002069	IT00001B73v400009_jare	IL00008B73v400002_dager	0	5325458	13049435
Zm00001d002071	IT00001B73v400009_jare	IL00008B73v400002_dager	0	5366899	13007997
Zm00001d002072	IT00001B73v400009_jare	IL00008B73v400002_dager	0	5374318	13000270
Zm00001d002074	IT00001B73v400009_jare	IL00008B73v400002_dager	0	5409288	12965551
Zm00001d002093	IT00001B73v400009_jare	IL00008B73v400002_dager	0	5831240	12543485
Zm00001d002094	IT00001B73v400009_jare	IL00008B73v400002_dager	0	5833345	12541194
Zm00001d002132	IT00001B73v400009_jare	IL00008B73v400002_dager	0	6397560	11976921
Zm00001d002133	IT00001B73v400009_jare	IL00008B73v400002_dager	0	6403516	11970902
Zm00001d002137	IT00001B73v400009_jare	IL00008B73v400002_dager	0	6469255	11904880
Zm00001d002138	IT00001B73v400009_jare	IL00008B73v400002_dager	0	6480682	11893941
Zm00001d002158	IT00001B73v400009_jare	IL00008B73v400002_dager	0	6847670	11527214
Zm00001d002159	IT00001B73v400009_jare	IL00008B73v400002_dager	0	6849993	11524876
Zm00001d002160	IT00001B73v400009_jare	IL00008B73v400002_dager	0	6854611	11520297
Zm00001d002161	IT00001B73v400009_jare	IL00008B73v400002_dager	0	6857001	11517829
Zm00001d002168	IT00001B73v400009_jare	IL00008B73v400002_dager	0	7049312	11322175
Zm00001d002172	IT00001B73v400009_jare	IL00008B73v400002_dager	0	7071443	11294798
Zm00001d002173	IT00001B73v400009_jare	IL00008B73v400002_dager	0	7153556	11219468
Zm00001d002174	IT00001B73v400009_jare	IL00008B73v400002_dager	0	7200890	11165286
Zm00001d002178	IT00001B73v400009_jare	IL00008B73v400002_dager	0	7261371	11109668
Zm00001d002181	IT00001B73v400009_jare	IL00008B73v400002_dager	0	7360478	11012682
Zm00001d002179	IT00001B73v400009_jare	IL00008B73v400002_dager	0	7339585	11034198
Zm00001d002182	IT00001B73v400009_jare	IL00008B73v400002_dager	0	7365583	11008440
Zm00001d002192	IT00001B73v400009_jare	IL00008B73v400002_dager	0	7694137	10678840
Zm00001d002193	IT00001B73v400009_jare	IL00008B73v400002_dager	0	7694175	10679022
Zm00001d002198	IT00001B73v400009_jare	IL00008B73v400002_dager	0	7794265	10576101
Zm00001d002199	IT00001B73v400009_jare	IL00008B73v400002_dager	0	8088454	10282516
Zm00001d002202	IT00001B73v400009_jare	IL00008B73v400002_dager	0	8193959	10179829
Zm00001d002208	IT00001B73v400009_jare	IL00008B73v400002_dager	0	8216784	10156761
Zm00001d002214	IT00001B73v400009_jare	IL00008B73v400002_dager	0	8273280	10100266
Zm00001d002221	IT00001B73v400009_jare	IL00008B73v400002_dager	0	8335174	10038371
Zm00001d002228	IT00001B73v400009_jare	IL00008B73v400002_dager	0	8366876	10006670
Zm00001d002203	IT00001B73v400009_jare	IL00008B73v400002_dager	0	8198615	10175740
Zm00001d002209	IT00001B73v400009_jare	IL00008B73v400002_dager	0	8242954	10131401
Zm00001d002215	IT00001B73v400009_jare	IL00008B73v400002_dager	0	8277470	10096885
Zm00001d002223	IT00001B73v400009_jare	IL00008B73v400002_dager	0	8348756	10025599
Zm00001d002229	IT00001B73v400009_jare	IL00008B73v400002_dager	0	8371023	10003332
Zm00001d002204	IT00001B73v400009_jare	IL00008B73v400002_dager	0	8202553	10171935
Zm00001d002205	IT00001B73v400009_jare	IL00008B73v400002_dager	0	8206309	10167471
Zm00001d002211	IT00001B73v400009_jare	IL00008B73v400002_dager	0	8260143	10113640
Zm00001d002216	IT00001B73v400009_jare	IL00008B73v400002_dager	0	8281364	10087034
Zm00001d002217	IT00001B73v400009_jare	IL00008B73v400002_dager	0	8291776	10080611
Zm00001d002224	IT00001B73v400009_jare	IL00008B73v400002_dager	0	8352676	10021812
Zm00001d002225	IT00001B73v400009_jare	IL00008B73v400002_dager	0	8356431	10017349
Zm00001d002230	IT00001B73v400009_jare	IL00008B73v400002_dager	0	8392239	9982477
Zm00001d002231	IT00001B73v400009_jare	IL00008B73v400002_dager	0	8405410	9968376
Zm00001d002232	IT00001B73v400009_jare	IL00008B73v400002_dager	0	8410743	9963040
Zm00001d002207	IT00001B73v400009_jare	IL00008B73v400002_dager	0	8216088	10158502
Zm00001d002220	IT00001B73v400009_jare	IL00008B73v400002_dager	0	8334514	10040112
Zm00001d002227	IT00001B73v400009_jare	IL00008B73v400002_dager	0	8366216	10008410
Zm00001d002254	IT00001B73v400009_jare	IL00008B73v400002_dager	0	9007740	9367009
Zm00001d002255	IT00001B73v400009_jare	IL00008B73v400002_dager	0	9007768	9366990
Zm00001d002260	IT00001B73v400009_jare	IL00008B73v400002_dager	0	9050804	9320899
Zm00001d002261	IT00001B73v400009_jare	IL00008B73v400002_dager	0	9055234	9315718
Zm00001d002349	IT00001B73v400009_jare	IL00008B73v400002_dager	0	10635115	7734892
Zm00001d002350	IT00001B73v400009_jare	IL00008B73v400002_dager	0	10647210	7724352
Zm00001d002351	IT00001B73v400009_jare	IL00008B73v400002_dager	0	10676601	7689541
Zm00001d002393	IT00001B73v400009_jare	IL00008B73v400002_dager	0	11789691	6585232
Zm00001d002394	IT00001B73v400009_jare	IL00008B73v400002_dager	0	11817048	6557881
Zm00001d002397	IT00001B73v400009_jare	IL00008B73v400002_dager	0	11918005	6453657
Zm00001d002400	IT00001B73v400009_jare	IL00008B73v400002_dager	0	11944715	6426946
Zm00001d002398	IT00001B73v400009_jare	IL00008B73v400002_dager	0	11919262	6455250
Zm00001d002401	IT00001B73v400009_jare	IL00008B73v400002_dager	0	11945972	6428540
Zm00001d002399	IT00001B73v400009_jare	IL00008B73v400002_dager	0	11928625	6442390
Zm00001d002402	IT00001B73v400009_jare	IL00008B73v400002_dager	0	11955384	6415931
Zm00001d002410	IT00001B73v400009_jare	IL00008B73v400002_dager	0	12082458	6291282
Zm00001d002412	IT00001B73v400009_jare	IL00008B73v400002_dager	0	12137567	6236377
Zm00001d002434	IT00001B73v400009_jare	IL00008B73v400002_dager	0	12525494	5847037
Zm00001d002435	IT00001B73v400009_jare	IL00008B73v400002_dager	0	12557804	5815897
Zm00001d002436	IT00001B73v400009_jare	IL00008B73v400002_dager	0	12598794	5773649
Zm00001d002446	IT00001B73v400009_jare	IL00008B73v400002_dager	0	12835240	5536992
Zm00001d002447	IT00001B73v400009_jare	IL00008B73v400002_dager	0	12861469	5509132
Zm00001d002473	IT00001B73v400009_jare	IL00008B73v400002_dager	0	13488175	4885152
Zm00001d002474	IT00001B73v400009_jare	IL00008B73v400002_dager	0	13531219	4842020
Zm00001d002514	IT00001B73v400009_jare	IL00008B73v400002_dager	0	14405668	3966948
Zm00001d002515	IT00001B73v400009_jare	IL00008B73v400002_dager	0	14479167	3892186
Zm00001d002520	IT00001B73v400009_jare	IL00008B73v400002_dager	0	14638752	3736096
Zm00001d002521	IT00001B73v400009_jare	IL00008B73v400002_dager	0	14646231	3728659
Zm00001d002522	IT00001B73v400009_jare	IL00008B73v400002_dager	0	14649994	3724851
Zm00001d002523	IT00001B73v400009_jare	IL00008B73v400002_dager	0	14685778	3688342
Zm00001d002530	IT00001B73v400009_jare	IL00008B73v400002_dager	0	14750691	3622445
Zm00001d002543	IT00001B73v400009_jare	IL00008B73v400002_dager	0	15029238	3345601
Zm00001d002546	IT00001B73v400009_jare	IL00008B73v400002_dager	0	15095502	3279173
Zm00001d002556	IT00001B73v400009_jare	IL00008B73v400002_dager	0	15275893	3098928
Zm00001d002557	IT00001B73v400009_jare	IL00008B73v400002_dager	0	15277400	3097403
Zm00001d002568	IT00001B73v400009_jare	IL00008B73v400002_dager	0	15550014	2824672
Zm00001d002576	IT00001B73v400009_jare	IL00008B73v400002_dager	0	15842576	2531933
Zm00001d002570	IT00001B73v400009_jare	IL00008B73v400002_dager	0	15602607	2771082
