Clusters	GeneNumber	Chromosome	SortedClusterIDs
Zm00001d027946,Zm00001d027948;Zm00001d027947,Zm00001d027949	574,576;575,577	1	Zm00001d027946,Zm00001d027947,Zm00001d027948,Zm00001d027949
Zm00001d027954,Zm00001d027956;Zm00001d027955,Zm00001d027957	580,582;581,583	1	Zm00001d027954,Zm00001d027955,Zm00001d027956,Zm00001d027957
Zm00001d029084,Zm00001d029088;Zm00001d029085,Zm00001d029089;Zm00001d029086,Zm00001d029090	1476,1480;1477,1481;1478,1482	1	Zm00001d029084,Zm00001d029085,Zm00001d029086,Zm00001d029088,Zm00001d029089,Zm00001d029090
Zm00001d029108,Zm00001d029111,Zm00001d029115,Zm00001d029117;Zm00001d029109,Zm00001d029112	1499,1501,1504,1505;1500,1502	1	Zm00001d029108,Zm00001d029109,Zm00001d029111,Zm00001d029112,Zm00001d029115,Zm00001d029117
Zm00001d029146,Zm00001d029157,Zm00001d029159;Zm00001d029154,Zm00001d029164	1532,1542,1543;1540,1548	1	Zm00001d029146,Zm00001d029154,Zm00001d029157,Zm00001d029159,Zm00001d029164
Zm00001d029792,Zm00001d029798,Zm00001d029800;Zm00001d029793,Zm00001d029799,Zm00001d029801	2021,2025,2027;2022,2026,2028	1	Zm00001d029792,Zm00001d029793,Zm00001d029798,Zm00001d029799,Zm00001d029800,Zm00001d029801
Zm00001d032548,Zm00001d032556;Zm00001d032550,Zm00001d032557	4003,4009;4004,4010	1	Zm00001d032548,Zm00001d032550,Zm00001d032556,Zm00001d032557
Zm00001d034327,Zm00001d034331;Zm00001d034330,Zm00001d034333	5388,5390;5389,5391	1	Zm00001d034327,Zm00001d034330,Zm00001d034331,Zm00001d034333
Zm00001d023401,Zm00001d023406,Zm00001d023412;Zm00001d023402,Zm00001d023411	162,166,170;163,169	10	Zm00001d023401,Zm00001d023402,Zm00001d023406,Zm00001d023411,Zm00001d023412
Zm00001d023903,Zm00001d023905,Zm00001d023906;Zm00001d023904,Zm00001d023908	535,537,538;536,540	10	Zm00001d023903,Zm00001d023904,Zm00001d023905,Zm00001d023906,Zm00001d023908
Zm00001d025629,Zm00001d025633;Zm00001d025632,Zm00001d025636	1810,1812;1811,1813	10	Zm00001d025629,Zm00001d025632,Zm00001d025633,Zm00001d025636
Zm00001d002202,Zm00001d002208,Zm00001d002214,Zm00001d002221,Zm00001d002228;Zm00001d002203,Zm00001d002209,Zm00001d002215,Zm00001d002223,Zm00001d002229	367,373,378,384,390;368,374,379,385,391	2	Zm00001d002202,Zm00001d002203,Zm00001d002208,Zm00001d002209,Zm00001d002214,Zm00001d002215,Zm00001d002221,Zm00001d002223,Zm00001d002228,Zm00001d002229
Zm00001d002397,Zm00001d002400;Zm00001d002398,Zm00001d002401;Zm00001d002399,Zm00001d002402	530,533;531,534;532,535	2	Zm00001d002397,Zm00001d002398,Zm00001d002399,Zm00001d002400,Zm00001d002401,Zm00001d002402
Zm00001d002907,Zm00001d002915;Zm00001d002912,Zm00001d002916	956,958;957,959	2	Zm00001d002907,Zm00001d002912,Zm00001d002915,Zm00001d002916
Zm00001d003019,Zm00001d003021,Zm00001d003023;Zm00001d003020,Zm00001d003022,Zm00001d003024	1041,1043,1045;1042,1044,1046	2	Zm00001d003019,Zm00001d003020,Zm00001d003021,Zm00001d003022,Zm00001d003023,Zm00001d003024
Zm00001d003482,Zm00001d003485;Zm00001d003483,Zm00001d003488	1405,1407;1406,1408	2	Zm00001d003482,Zm00001d003483,Zm00001d003485,Zm00001d003488
Zm00001d004414,Zm00001d004417;Zm00001d004415,Zm00001d004418	2034,2037;2035,2038	2	Zm00001d004414,Zm00001d004415,Zm00001d004417,Zm00001d004418
Zm00001d005374,Zm00001d005379,Zm00001d005380,Zm00001d005389;Zm00001d005375,Zm00001d005381,Zm00001d005391	2722,2727,2728,2733;2723,2729,2734	2	Zm00001d005374,Zm00001d005375,Zm00001d005379,Zm00001d005380,Zm00001d005381,Zm00001d005389,Zm00001d005391
Zm00001d006137,Zm00001d006140,Zm00001d006145;Zm00001d006142,Zm00001d006147;Zm00001d006143,Zm00001d006148	3302,3303,3307;3304,3308;3305,3309	2	Zm00001d006137,Zm00001d006140,Zm00001d006142,Zm00001d006143,Zm00001d006145,Zm00001d006147,Zm00001d006148
Zm00001d006143,Zm00001d006148;Zm00001d006144,Zm00001d006149	3305,3309;3306,3310	2	Zm00001d006143,Zm00001d006144,Zm00001d006148,Zm00001d006149
Zm00001d007531,Zm00001d007534,Zm00001d007548,Zm00001d007555,Zm00001d007559;Zm00001d007549,Zm00001d007560;Zm00001d007550,Zm00001d007561	4387,4390,4400,4406,4408;4401,4409;4402,4410	2	Zm00001d007531,Zm00001d007534,Zm00001d007548,Zm00001d007549,Zm00001d007550,Zm00001d007555,Zm00001d007559,Zm00001d007560,Zm00001d007561
Zm00001d007550,Zm00001d007561;Zm00001d007553,Zm00001d007567	4402,4410;4404,4415	2	Zm00001d007550,Zm00001d007553,Zm00001d007561,Zm00001d007567
Zm00001d040479,Zm00001d040483,Zm00001d040497;Zm00001d040481,Zm00001d040493,Zm00001d040501	975,977,983;976,981,986	3	Zm00001d040479,Zm00001d040481,Zm00001d040483,Zm00001d040493,Zm00001d040497,Zm00001d040501
Zm00001d042169,Zm00001d042173;Zm00001d042172,Zm00001d042175,Zm00001d042178	2106,2109;2108,2111,2113	3	Zm00001d042169,Zm00001d042172,Zm00001d042173,Zm00001d042175,Zm00001d042178
Zm00001d043000,Zm00001d043003;Zm00001d043001,Zm00001d043004	2751,2753;2752,2754	3	Zm00001d043000,Zm00001d043001,Zm00001d043003,Zm00001d043004
Zm00001d044396,Zm00001d044399,Zm00001d044401,Zm00001d044402;Zm00001d044398,Zm00001d044400	3880,3883,3885,3886;3882,3884	3	Zm00001d044396,Zm00001d044398,Zm00001d044399,Zm00001d044400,Zm00001d044401,Zm00001d044402
Zm00001d044623,Zm00001d044626,Zm00001d044627;Zm00001d044624,Zm00001d044628	4072,4075,4076;4073,4077	3	Zm00001d044623,Zm00001d044624,Zm00001d044626,Zm00001d044627,Zm00001d044628
