Orthogroup	BestModel	GrassOmegas	MaizeOmegas	TandemOmegas	PropOmega0	PropOmega1	PropOmega2
OG0000280	Ha1	0.10219,1.0,0.34585	0.10219,1.0,0.7192	0.10219,1.0,0.7192	0.36786	0.12501	0.50713
OG0000399	Ha3	0.04656,1.0,0.24362	0.04656,1.0,0.68497	0.04656,1.0,0.24516	0.53204	0.03079	0.43717
OG0000447	Ha3	0.08192,1.0,0.37044	0.08192,1.0,8.45534	0.08192,1.0,0.38404	0.72855	0.05189	0.21956
OG0000512	Ha1	0.09416,1.0,0.40851	0.09416,1.0,0.40272	0.09416,1.0,0.40272	0.61378	0.15468	0.23155
OG0000562	Ha1	0.1804,1.0,0.0127	0.1804,1.0,0.16055	0.1804,1.0,0.16055	0.51316	0.03044	0.4564
OG0000626	Ha1	0.05759,1.0,0.25776	0.05759,1.0,0.58261	0.05759,1.0,0.58261	0.35408	0.08819	0.55773
OG0000664	Null	0.04371,1.00000,0.25363	0.04371,1.00000,0.25363	0.04371,1.00000,0.25363	0.53673	0.07805	0.38521
OG0000702	Null	0.02663,1.00000,0.19281	0.02663,1.00000,0.19281	0.02663,1.00000,0.19281	0.55037	0.07612	0.37351
OG0000713	Null	0.04422,1.00000,0.26929	0.04422,1.00000,0.26929	0.04422,1.00000,0.26929	0.43372	0.05062	0.51566
OG0000799	Null	0.03758,1.00000,0.26999	0.03758,1.00000,0.26999	0.03758,1.00000,0.26999	0.3879	0.07768	0.53442
OG0000878	Null	0.04972,1.00000,0.25219	0.04972,1.00000,0.25219	0.04972,1.00000,0.25219	0.56222	0.02726	0.41052
OG0000928	Null	0.02574,1.00000,0.18296	0.02574,1.00000,0.18296	0.02574,1.00000,0.18296	0.68552	0.0	0.31448
OG0000944	Ha1	0.04368,1.0,0.32754	0.04368,1.0,0.62501	0.04368,1.0,0.62501	0.46363	0.05332	0.48305
OG0000968	Null	0.03027,1.00000,0.19729	0.03027,1.00000,0.19729	0.03027,1.00000,0.19729	0.41513	0.0731	0.51177
OG0000977	Null	0.04552,1.00000,0.29052	0.04552,1.00000,0.29052	0.04552,1.00000,0.29052	0.44474	0.09715	0.45811
OG0000981	Null	0.03806,1.00000,0.23330	0.03806,1.00000,0.23330	0.03806,1.00000,0.23330	0.61755	0.03023	0.35223
OG0001027	Null	0.05088,1.00000,0.31341	0.05088,1.00000,0.31341	0.05088,1.00000,0.31341	0.57435	0.02965	0.396
OG0001065	Null	0.07254,1.00000,0.38722	0.07254,1.00000,0.38722	0.07254,1.00000,0.38722	0.31914	0.25081	0.43005
OG0001085	Null	0.03077,1.00000,0.15311	0.03077,1.00000,0.15311	0.03077,1.00000,0.15311	0.6142	0.00841	0.37739
OG0001087	Ha1	0.08872,1.0,0.49255	0.08872,1.0,0.21395	0.08872,1.0,0.21395	0.22759	0.13485	0.63756
OG0001225	Ha3	0.04118,1.0,0.288	0.04118,1.0,0.40163	0.04118,1.0,0.12941	0.51163	0.03889	0.44948
OG0001349	Ha3	0.21234,1.0,0.30315	0.21234,1.0,1.84381	0.21234,1.0,356.40121	0.63034	0.21486	0.1548
OG0001382	Null	0.06658,1.00000,0.33008	0.06658,1.00000,0.33008	0.06658,1.00000,0.33008	0.48545	0.09502	0.41953
OG0001507	Null	0.10653,1.00000,0.41148	0.10653,1.00000,0.41148	0.10653,1.00000,0.41148	0.3041	0.27936	0.41654
OG0001514	Ha1	0.06897,1.0,0.31513	0.06897,1.0,0.67603	0.06897,1.0,0.67603	0.39829	0.12411	0.4776
OG0001562	Null	0.05088,1.00000,0.26795	0.05088,1.00000,0.26795	0.05088,1.00000,0.26795	0.561	0.04641	0.39259
OG0001601	Null	0.30556,1.00000,0.06654	0.30556,1.00000,0.06654	0.30556,1.00000,0.06654	0.33024	0.25854	0.41121
OG0001644	Ha1	0.0265,1.0,0.2776	0.0265,1.0,0.06807	0.0265,1.0,0.06807	0.51315	0.07842	0.40843
OG0001653	Ha1	0.0,1.0,0.24899	0.0,1.0,0.45325	0.0,1.0,0.45325	0.022	0.24563	0.73237
OG0001654	Null	0.08427,1.00000,0.30066	0.08427,1.00000,0.30066	0.08427,1.00000,0.30066	0.45212	0.15066	0.39722
OG0001738	Null	0.38564,1.00000,0.04519	0.38564,1.00000,0.04519	0.38564,1.00000,0.04519	0.29334	0.06129	0.64537
OG0001745	Ha1	0.03472,1.0,0.26525	0.03472,1.0,0.47949	0.03472,1.0,0.47949	0.47028	0.0496	0.48012
OG0001972	Ha1	0.11415,1.0,0.01443	0.11415,1.0,0.04102	0.11415,1.0,0.04102	0.5309	0.0	0.4691
OG0001984	Null	0.34040,1.00000,0.07029	0.34040,1.00000,0.07029	0.34040,1.00000,0.07029	0.33777	0.13929	0.52294
OG0002014	Ha1	0.0313,1.0,0.46564	0.0313,1.0,8.32011	0.0313,1.0,8.32011	0.75961	1e-05	0.24037
OG0002070	Ha1	0.0493,1.0,0.27913	0.0493,1.0,0.58318	0.0493,1.0,0.58318	0.26791	0.10562	0.62647
OG0002183	Null	0.13463,1.00000,0.41352	0.13463,1.00000,0.41352	0.13463,1.00000,0.41352	0.06528	0.52478	0.40994
