Clusters	GeneNumber	Chromosome	SortedClusterIDs
Zm00008a000554,Zm00008a000556;Zm00008a000555,Zm00008a000557	553,555;554,556	chr01	Zm00008a000554,Zm00008a000555,Zm00008a000556,Zm00008a000557
Zm00008a001590,Zm00008a001592,Zm00008a001593;Zm00008a001591,Zm00008a001594	1589,1591,1592;1590,1593	chr01	Zm00008a001590,Zm00008a001591,Zm00008a001592,Zm00008a001593,Zm00008a001594
Zm00008a001607,Zm00008a001611,Zm00008a001612;Zm00008a001609,Zm00008a001613	1606,1610,1611;1608,1612	chr01	Zm00008a001607,Zm00008a001609,Zm00008a001611,Zm00008a001612,Zm00008a001613
Zm00008a001857,Zm00008a001860;Zm00008a001859,Zm00008a001861	1856,1859;1858,1860	chr01	Zm00008a001857,Zm00008a001859,Zm00008a001860,Zm00008a001861
Zm00008a001968,Zm00008a001970,Zm00008a001972,Zm00008a001978;Zm00008a001969,Zm00008a001971,Zm00008a001973,Zm00008a001979	1967,1969,1971,1977;1968,1970,1972,1978	chr01	Zm00008a001968,Zm00008a001969,Zm00008a001970,Zm00008a001971,Zm00008a001972,Zm00008a001973,Zm00008a001978,Zm00008a001979
Zm00008a002353,Zm00008a002361;Zm00008a002354,Zm00008a002362,Zm00008a002363	2352,2360;2353,2361,2362	chr01	Zm00008a002353,Zm00008a002354,Zm00008a002361,Zm00008a002362,Zm00008a002363
Zm00008a003125,Zm00008a003127;Zm00008a003126,Zm00008a003128	3124,3126;3125,3127	chr01	Zm00008a003125,Zm00008a003126,Zm00008a003127,Zm00008a003128
Zm00008a003161,Zm00008a003167,Zm00008a003174,Zm00008a003181,Zm00008a003190,Zm00008a003195;Zm00008a003170,Zm00008a003176,Zm00008a003191,Zm00008a003197,Zm00008a003199,Zm00008a003200	3160,3166,3173,3180,3189,3194;3169,3175,3190,3196,3198,3199	chr01	Zm00008a003161,Zm00008a003167,Zm00008a003170,Zm00008a003174,Zm00008a003176,Zm00008a003181,Zm00008a003190,Zm00008a003191,Zm00008a003195,Zm00008a003197,Zm00008a003199,Zm00008a003200
Zm00008a003172,Zm00008a003179,Zm00008a003188;Zm00008a003173,Zm00008a003180,Zm00008a003194	3171,3178,3187;3172,3179,3193	chr01	Zm00008a003172,Zm00008a003173,Zm00008a003179,Zm00008a003180,Zm00008a003188,Zm00008a003194
Zm00008a004058,Zm00008a004063;Zm00008a004059,Zm00008a004064;Zm00008a004060,Zm00008a004065	4057,4062;4058,4063;4059,4064	chr01	Zm00008a004058,Zm00008a004059,Zm00008a004060,Zm00008a004063,Zm00008a004064,Zm00008a004065
Zm00008a005201,Zm00008a005210;Zm00008a005209,Zm00008a005211	5200,5209;5208,5210	chr01	Zm00008a005201,Zm00008a005209,Zm00008a005210,Zm00008a005211
Zm00008a005301,Zm00008a005303,Zm00008a005304;Zm00008a005302,Zm00008a005305	5300,5302,5303;5301,5304	chr01	Zm00008a005301,Zm00008a005302,Zm00008a005303,Zm00008a005304,Zm00008a005305
Zm00008a006213,Zm00008a006220,Zm00008a006224;Zm00008a006214,Zm00008a006226;Zm00008a006215,Zm00008a006229	315,322,326;316,328;317,331	chr02	Zm00008a006213,Zm00008a006214,Zm00008a006215,Zm00008a006220,Zm00008a006224,Zm00008a006226,Zm00008a006229
Zm00008a006216,Zm00008a006221,Zm00008a006227,Zm00008a006228;Zm00008a006218,Zm00008a006225	318,323,329,330;320,327	chr02	Zm00008a006216,Zm00008a006218,Zm00008a006221,Zm00008a006225,Zm00008a006227,Zm00008a006228
Zm00008a006576,Zm00008a006581;Zm00008a006579,Zm00008a006583	678,683;681,685	chr02	Zm00008a006576,Zm00008a006579,Zm00008a006581,Zm00008a006583
Zm00008a006777,Zm00008a006782,Zm00008a006786;Zm00008a006778,Zm00008a006794	879,884,888;880,896	chr02	Zm00008a006777,Zm00008a006778,Zm00008a006782,Zm00008a006786,Zm00008a006794
Zm00008a006780,Zm00008a006783,Zm00008a006787;Zm00008a006781,Zm00008a006784	882,885,889;883,886	chr02	Zm00008a006780,Zm00008a006781,Zm00008a006783,Zm00008a006784,Zm00008a006787
Zm00008a008620,Zm00008a008626,Zm00008a008629,Zm00008a008635;Zm00008a008621,Zm00008a008630	2722,2728,2731,2737;2723,2732	chr02	Zm00008a008620,Zm00008a008621,Zm00008a008626,Zm00008a008629,Zm00008a008630,Zm00008a008635
Zm00008a009557,Zm00008a009561;Zm00008a009558,Zm00008a009562	3659,3663;3660,3664	chr02	Zm00008a009557,Zm00008a009558,Zm00008a009561,Zm00008a009562
Zm00008a009919,Zm00008a009921;Zm00008a009920,Zm00008a009922	4021,4023;4022,4024	chr02	Zm00008a009919,Zm00008a009920,Zm00008a009921,Zm00008a009922
Zm00008a010238,Zm00008a010240,Zm00008a010246,Zm00008a010252;Zm00008a010251,Zm00008a010255	4340,4342,4348,4354;4353,4357	chr02	Zm00008a010238,Zm00008a010240,Zm00008a010246,Zm00008a010251,Zm00008a010252,Zm00008a010255
Zm00008a010380,Zm00008a010383;Zm00008a010381,Zm00008a010386,Zm00008a010395	4482,4485;4483,4488,4497	chr02	Zm00008a010380,Zm00008a010381,Zm00008a010383,Zm00008a010386,Zm00008a010395
Zm00008a011601,Zm00008a011602,Zm00008a011607;Zm00008a011603,Zm00008a011608	1015,1016,1021;1017,1022	chr03	Zm00008a011601,Zm00008a011602,Zm00008a011603,Zm00008a011607,Zm00008a011608
Zm00008a012231,Zm00008a012234;Zm00008a012232,Zm00008a012235;Zm00008a012233,Zm00008a012236	1645,1648;1646,1649;1647,1650	chr03	Zm00008a012231,Zm00008a012232,Zm00008a012233,Zm00008a012234,Zm00008a012235,Zm00008a012236
Zm00008a012783,Zm00008a012786;Zm00008a012784,Zm00008a012787,Zm00008a012790	2197,2200;2198,2201,2204	chr03	Zm00008a012783,Zm00008a012784,Zm00008a012786,Zm00008a012787,Zm00008a012790
Zm00008a013085,Zm00008a013087,Zm00008a013089,Zm00008a013090;Zm00008a013088,Zm00008a013091	2499,2501,2503,2504;2502,2505	chr03	Zm00008a013085,Zm00008a013087,Zm00008a013088,Zm00008a013089,Zm00008a013090,Zm00008a013091
Zm00008a014031,Zm00008a014033,Zm00008a014035;Zm00008a014032,Zm00008a014034	3445,3447,3449;3446,3448	chr03	Zm00008a014031,Zm00008a014032,Zm00008a014033,Zm00008a014034,Zm00008a014035
Zm00008a014897,Zm00008a014898,Zm00008a014900,Zm00008a014903;Zm00008a014899,Zm00008a014901	57,58,60,63;59,61	chr04	Zm00008a014897,Zm00008a014898,Zm00008a014899,Zm00008a014900,Zm00008a014901,Zm00008a014903
Zm00008a014937,Zm00008a014938,Zm00008a014940,Zm00008a014943;Zm00008a014941,Zm00008a014945	97,98,100,103;101,105	chr04	Zm00008a014937,Zm00008a014938,Zm00008a014940,Zm00008a014941,Zm00008a014943,Zm00008a014945
Zm00008a015375,Zm00008a015383;Zm00008a015377,Zm00008a015384	535,543;537,544	chr04	Zm00008a015375,Zm00008a015377,Zm00008a015383,Zm00008a015384
Zm00008a017731,Zm00008a017744;Zm00008a017733,Zm00008a017745	2891,2904;2893,2905	chr04	Zm00008a017731,Zm00008a017733,Zm00008a017744,Zm00008a017745
Zm00008a019600,Zm00008a019606;Zm00008a019605,Zm00008a019607	642,648;647,649	chr05	Zm00008a019600,Zm00008a019605,Zm00008a019606,Zm00008a019607
Zm00008a020500,Zm00008a020507,Zm00008a020508,Zm00008a020515,Zm00008a020518;Zm00008a020516,Zm00008a020519;Zm00008a020517,Zm00008a020520	1542,1549,1550,1557,1560;1558,1561;1559,1562	chr05	Zm00008a020500,Zm00008a020507,Zm00008a020508,Zm00008a020515,Zm00008a020516,Zm00008a020517,Zm00008a020518,Zm00008a020519,Zm00008a020520
Zm00008a020732,Zm00008a020737;Zm00008a020735,Zm00008a020738	1774,1779;1777,1780	chr05	Zm00008a020732,Zm00008a020735,Zm00008a020737,Zm00008a020738
Zm00008a021109,Zm00008a021111;Zm00008a021110,Zm00008a021113	2151,2153;2152,2155	chr05	Zm00008a021109,Zm00008a021110,Zm00008a021111,Zm00008a021113
Zm00008a021702,Zm00008a021704,Zm00008a021706;Zm00008a021705,Zm00008a021707	2744,2746,2748;2747,2749	chr05	Zm00008a021702,Zm00008a021704,Zm00008a021705,Zm00008a021706,Zm00008a021707
Zm00008a023098,Zm00008a023101;Zm00008a023099,Zm00008a023102;Zm00008a023100,Zm00008a023103	4140,4143;4141,4144;4142,4145	chr05	Zm00008a023098,Zm00008a023099,Zm00008a023100,Zm00008a023101,Zm00008a023102,Zm00008a023103
Zm00008a023862,Zm00008a023864;Zm00008a023863,Zm00008a023866,Zm00008a023871	444,446;445,448,453	chr06	Zm00008a023862,Zm00008a023863,Zm00008a023864,Zm00008a023866,Zm00008a023871
Zm00008a023976,Zm00008a023984;Zm00008a023977,Zm00008a023985,Zm00008a023986	558,566;559,567,568	chr06	Zm00008a023976,Zm00008a023977,Zm00008a023984,Zm00008a023985,Zm00008a023986
Zm00008a024287,Zm00008a024293;Zm00008a024288,Zm00008a024294,Zm00008a024300;Zm00008a024289,Zm00008a024296	869,875;870,876,882;871,878	chr06	Zm00008a024287,Zm00008a024288,Zm00008a024289,Zm00008a024293,Zm00008a024294,Zm00008a024296,Zm00008a024300
Zm00008a024330,Zm00008a024331,Zm00008a024333;Zm00008a024332,Zm00008a024334,Zm00008a024335	912,913,915;914,916,917	chr06	Zm00008a024330,Zm00008a024331,Zm00008a024332,Zm00008a024333,Zm00008a024334,Zm00008a024335
Zm00008a024816,Zm00008a024818;Zm00008a024817,Zm00008a024819,Zm00008a024820	1398,1400;1399,1401,1402	chr06	Zm00008a024816,Zm00008a024817,Zm00008a024818,Zm00008a024819,Zm00008a024820
Zm00008a025369,Zm00008a025371;Zm00008a025370,Zm00008a025372	1951,1953;1952,1954	chr06	Zm00008a025369,Zm00008a025370,Zm00008a025371,Zm00008a025372
Zm00008a025402,Zm00008a025417;Zm00008a025410,Zm00008a025423	1984,1999;1992,2005	chr06	Zm00008a025402,Zm00008a025410,Zm00008a025417,Zm00008a025423
Zm00008a025995,Zm00008a026001;Zm00008a025996,Zm00008a026002	2577,2583;2578,2584	chr06	Zm00008a025995,Zm00008a025996,Zm00008a026001,Zm00008a026002
Zm00008a027780,Zm00008a027791,Zm00008a027800,Zm00008a027802;Zm00008a027801,Zm00008a027803	1167,1178,1187,1189;1188,1190	chr07	Zm00008a027780,Zm00008a027791,Zm00008a027800,Zm00008a027801,Zm00008a027802,Zm00008a027803
Zm00008a027862,Zm00008a027863,Zm00008a027870;Zm00008a027866,Zm00008a027872;Zm00008a027867,Zm00008a027873	1249,1250,1257;1253,1259;1254,1260	chr07	Zm00008a027862,Zm00008a027863,Zm00008a027866,Zm00008a027867,Zm00008a027870,Zm00008a027872,Zm00008a027873
Zm00008a028807,Zm00008a028809;Zm00008a028808,Zm00008a028811	2194,2196;2195,2198	chr07	Zm00008a028807,Zm00008a028808,Zm00008a028809,Zm00008a028811
Zm00008a029311,Zm00008a029314;Zm00008a029312,Zm00008a029315	2698,2701;2699,2702	chr07	Zm00008a029311,Zm00008a029312,Zm00008a029314,Zm00008a029315
Zm00008a030895,Zm00008a030899;Zm00008a030896,Zm00008a030900;Zm00008a030898,Zm00008a030902	1123,1127;1124,1128;1126,1130	chr08	Zm00008a030895,Zm00008a030896,Zm00008a030898,Zm00008a030899,Zm00008a030900,Zm00008a030902
Zm00008a030945,Zm00008a030959;Zm00008a030946,Zm00008a030960;Zm00008a030947,Zm00008a030961	1173,1187;1174,1188;1175,1189	chr08	Zm00008a030945,Zm00008a030946,Zm00008a030947,Zm00008a030959,Zm00008a030960,Zm00008a030961
Zm00008a031222,Zm00008a031226;Zm00008a031223,Zm00008a031227	1450,1454;1451,1455	chr08	Zm00008a031222,Zm00008a031223,Zm00008a031226,Zm00008a031227
Zm00008a031786,Zm00008a031799,Zm00008a031809;Zm00008a031805,Zm00008a031819	2014,2027,2037;2033,2047	chr08	Zm00008a031786,Zm00008a031799,Zm00008a031805,Zm00008a031809,Zm00008a031819
Zm00008a035549,Zm00008a035551;Zm00008a035550,Zm00008a035552	2296,2298;2297,2299	chr09	Zm00008a035549,Zm00008a035550,Zm00008a035551,Zm00008a035552
Zm00008a035977,Zm00008a035984;Zm00008a035981,Zm00008a035985	2724,2731;2728,2732	chr09	Zm00008a035977,Zm00008a035981,Zm00008a035984,Zm00008a035985
Zm00008a036368,Zm00008a036370;Zm00008a036369,Zm00008a036371	100,102;101,103	chr10	Zm00008a036368,Zm00008a036369,Zm00008a036370,Zm00008a036371
Zm00008a036506,Zm00008a036513;Zm00008a036507,Zm00008a036514	238,245;239,246	chr10	Zm00008a036506,Zm00008a036507,Zm00008a036513,Zm00008a036514
