Gene	UpstreamTE	DownstreamTE	SameFam	UpstreamBP	DownstreamBP
Zm00001d015574	HH00005B73v403035_NA_LCV5p6_LCV3p5	HH00006B73v400557_NA_LCV5p8_LCV3p5	0	44435	39057
Zm00001d007253	HH00001B73v407599_NA_LCV5p7_LCV3p7	HH00003B73v403356_NA_LCV5p12_LCV3p5	0	67607	14767
Zm00001d007251	HH00001B73v407599_NA_LCV5p7_LCV3p7	HH00002B73v401823_Hip1_LCV5p11_LCV3p42	0	14848	48097
Zm00001d007256	HH00009B73v400696_NA_LCV5p7_LCV3p5	HH00002B73v401824_Hip1_LCV5p5_LCV3p12	0	7224	7213
Zm00001d007257	HH00002B73v401824_Hip1_LCV5p5_LCV3p12	HH00011B73v400352_NA_LCV5p5_LCV3p5	0	1833	10758
Zm00001d007254	HH00002B73v401823_Hip1_LCV5p11_LCV3p42	HH00010B73v400096_NA_LCV5p8_LCV3p5	0	22540	12247
Zm00001d007255	HH00003B73v403357_NA_LCV5p12_LCV3p5	HH00002B73v401824_Hip1_LCV5p5_LCV3p12	0	62463	15559
Zm00001d007258	HH00011B73v400352_NA_LCV5p5_LCV3p5	HH00008B73v400236_NA_LCV5p8_LCV3p6	0	542	143167
Zm00001d007259	HH00011B73v400352_NA_LCV5p5_LCV3p5	HH00008B73v400236_NA_LCV5p8_LCV3p6	0	60516	76672
Zm00001d015578	HH00006B73v400558_NA_LCV5p8_LCV3p5	HH00002B73v403430_Hip1_LCV5p14_LCV3p14	0	51844	55676
Zm00001d015579	HH00006B73v400558_NA_LCV5p8_LCV3p5	HH00002B73v403430_Hip1_LCV5p14_LCV3p14	0	87103	20032
Zm00001d019400	HH00001B73v404751_NA_LCV5p5_LCV3p7	HH00008B73v401177_NA_LCV5p6_LCV3p6	0	29768	34693
Zm00001d019403	HH00194B73v400003_NA_LCV5p5_LCV3p10	HH00004B73v401551_NA_LCV5p5_LCV3p10	0	50261	31643
Zm00001d019404	HH00004B73v401551_NA_LCV5p5_LCV3p10	HH00002B73v404353_Hip1_LCV5p16_LCV3p5	0	32949	2198
Zm00001d019405	HH00004B73v401551_NA_LCV5p5_LCV3p10	HH00002B73v404353_Hip1_LCV5p16_LCV3p5	0	38297	966
Zm00001d019406	HH00004B73v401551_NA_LCV5p5_LCV3p10	HH00015B73v400089_NA_LCV5p15_LCV3p22	0	44873	10919
Zm00001d019407	HH00003B73v401987_NA_LCV5p5_LCV3p7	HH00016B73v400256_NA_LCV5p19_LCV3p6	0	4192	23369
Zm00001d019409	HH00003B73v401987_NA_LCV5p5_LCV3p7	HH00016B73v400256_NA_LCV5p19_LCV3p6	0	13428	13199
Zm00001d017347	HH00004B73v401325_NA_LCV5p5_LCV3p10	HH00008B73v400489_NA_LCV5p5_LCV3p6	0	195196	1357
Zm00001d053240	HH00034B73v400043_NA_LCV5p25_LCV3p5	HH00007B73v401092_NA_LCV5p6_LCV3p5	0	86001	12468
Zm00001d053241	HH00034B73v400043_NA_LCV5p25_LCV3p5	HH00007B73v401092_NA_LCV5p6_LCV3p5	0	87736	11161
Zm00001d053242	HH00034B73v400043_NA_LCV5p25_LCV3p5	HH00007B73v401092_NA_LCV5p6_LCV3p5	0	88899	8233
Zm00001d053244	HH00002B73v408404_Hip1_LCV5p10_LCV3p20	HH00004B73v402987_NA_LCV5p12_LCV3p10	0	4180	65546
Zm00001d053245	HH00004B73v402987_NA_LCV5p12_LCV3p10	HH00004B73v401113_NA_LCV5p9_LCV3p10	1	4528	7752
Zm00001d053247	HH00072B73v400005_NA_LCV5p7_LCV3p5	HH00002B73v408405_Hip1_LCV5p16_LCV3p5	0	22205	502
Zm00001d053249	HH00005B73v401042_NA_LCV5p7_LCV3p5	HH00002B73v403080_Hip1_LCV5p9_LCV3p50	0	54225	3366
Zm00001d015575	HH00005B73v403035_NA_LCV5p6_LCV3p5	HH00006B73v400557_NA_LCV5p8_LCV3p5	0	45523	37282
Zm00001d041979	HH00016B73v400208_NA_LCV5p10_LCV3p6	HH00009B73v400748_NA_LCV5p7_LCV3p5	0	80941	19078
Zm00001d041975	HH00003B73v403524_NA_LCV5p10_LCV3p6	HH00003B73v403525_NA_LCV5p6_LCV3p5	1	22665	14146
Zm00001d015570	HH00007B73v401120_NA_LCV5p11_LCV3p5	HH00005B73v403035_NA_LCV5p6_LCV3p5	0	38965	23364
