GenesInCluster	Lengths	NumExons	WithTE	NumExonTE	NumExonWOTE	LengthsWithTE	LengthsWOTE	TEsRepresented
Zm00001d000006,Zm00001d000008,Zm00001d000012,Zm00001d000017,Zm00001d000018	1145,1060,1075,1039,1099	2,2,2,2,3	NA	NA	2,2,2,2,3	NA	1145,1060,1075,1039,1099	NA
Zm00001d000016,Zm00001d000020	746,908	1,1	NA	NA	1,1	NA	746,908	NA
Zm00001d000071,Zm00001d000072	14764,7820	5,6	NA	NA	5,6	NA	14764,7820	NA
Zm00001d000195,Zm00001d000196	2559,2327	8,7	NA	NA	8,7	NA	2559,2327	NA
Zm00001d000331,Zm00001d000335	1439,1439	1,1	NA	NA	1,1	NA	1439,1439	NA
Zm00001d000363,Zm00001d000365	2036,2022	4,4	NA	NA	4,4	NA	2036,2022	NA
Zm00001d000364,Zm00001d000366	2196,2196	4,4	NA	NA	4,4	NA	2196,2196	NA
Zm00001d000371,Zm00001d000373,Zm00001d000377	290,2473,2798	1,4,4	NA	NA	1,4,4	NA	290,2473,2798	NA
Zm00001d000397,Zm00001d000398	611,1031	1,1	NA	NA	1,1	NA	611,1031	NA
Zm00001d001817,Zm00001d001818	2324,2437	2,2	NA	NA	2,2	NA	2324,2437	NA
Zm00001d001833,Zm00001d001835	6186,1394	2,1	NA	NA	2,1	NA	6186,1394	NA
