ClusterID	Genes	Width	
Cluster_0000	Zm00001d000006,Zm00001d000008,Zm00001d000012,Zm00001d000017,Zm00001d000018	9
Cluster_0001	Zm00001d000016,Zm00001d000020	5
Cluster_0002	Zm00001d000071,Zm00001d000072	2
Cluster_0003	Zm00001d000195,Zm00001d000196	2
Cluster_0004	Zm00001d000331,Zm00001d000335	4
Cluster_0005	Zm00001d000363,Zm00001d000365	3
Cluster_0006	Zm00001d000364,Zm00001d000366	3
Cluster_0007	Zm00001d000371,Zm00001d000373,Zm00001d000377	3
Cluster_0008	Zm00001d000397,Zm00001d000398	2
Cluster_0009	Zm00001d001817,Zm00001d001818	2
Cluster_0010	Zm00001d001833,Zm00001d001835	3
Cluster_0011	Zm00001d001885,Zm00001d001887	2
Cluster_0012	Zm00001d001902,Zm00001d001903	2
Cluster_0013	Zm00001d001908,Zm00001d001909	2
Cluster_0014	Zm00001d001924,Zm00001d001927	3
Cluster_0015	Zm00001d001941,Zm00001d001943,Zm00001d001944	4
Cluster_0016	Zm00001d001961,Zm00001d001963,Zm00001d001964	4
Cluster_0017	Zm00001d002013,Zm00001d002019,Zm00001d002020	8
Cluster_0018	Zm00001d002014,Zm00001d002015,Zm00001d002016,Zm00001d002017,Zm00001d002018	5
Cluster_0019	Zm00001d002055,Zm00001d002057	3
Cluster_0020	Zm00001d002066,Zm00001d002067	2
Cluster_0021	Zm00001d002069,Zm00001d002071,Zm00001d002072,Zm00001d002074	4
Cluster_0022	Zm00001d002093,Zm00001d002094	2
Cluster_0023	Zm00001d002132,Zm00001d002133	2
Cluster_0024	Zm00001d002137,Zm00001d002138	2
Cluster_0025	Zm00001d002158,Zm00001d002159,Zm00001d002160,Zm00001d002161	4
Cluster_0026	Zm00001d002168,Zm00001d002172,Zm00001d002173,Zm00001d002174,Zm00001d002178,Zm00001d002181	10
Cluster_0027	Zm00001d002179,Zm00001d002182	3
Cluster_0028	Zm00001d002192,Zm00001d002193	2
Cluster_0029	Zm00001d002198,Zm00001d002199	2
Cluster_0030	Zm00001d002202,Zm00001d002208,Zm00001d002214,Zm00001d002221,Zm00001d002228	24
Cluster_0031	Zm00001d002203,Zm00001d002209,Zm00001d002215,Zm00001d002223,Zm00001d002229	24
Cluster_0032	Zm00001d002204,Zm00001d002205,Zm00001d002211,Zm00001d002216,Zm00001d002217,Zm00001d002224,Zm00001d002225,Zm00001d002230,Zm00001d002231,Zm00001d002232	26
Cluster_0033	Zm00001d002207,Zm00001d002220,Zm00001d002227	18
Cluster_0034	Zm00001d002254,Zm00001d002255	2
Cluster_0035	Zm00001d002260,Zm00001d002261	2
Cluster_0036	Zm00001d002349,Zm00001d002350,Zm00001d002351	3
Cluster_0037	Zm00001d002393,Zm00001d002394	2
Cluster_0038	Zm00001d002397,Zm00001d002400	4
Cluster_0039	Zm00001d002398,Zm00001d002401	4
Cluster_0040	Zm00001d002399,Zm00001d002402	4
Cluster_0041	Zm00001d002410,Zm00001d002412	3
Cluster_0042	Zm00001d002434,Zm00001d002435,Zm00001d002436	3
Cluster_0043	Zm00001d002446,Zm00001d002447	2
Cluster_0044	Zm00001d002473,Zm00001d002474	2
Cluster_0045	Zm00001d002514,Zm00001d002515	2
Cluster_0046	Zm00001d002520,Zm00001d002521,Zm00001d002522,Zm00001d002523,Zm00001d002530	6
Cluster_0047	Zm00001d002543,Zm00001d002546	4
Cluster_0048	Zm00001d002556,Zm00001d002557	2
Cluster_0049	Zm00001d002568,Zm00001d002576	7
Cluster_0050	Zm00001d002570,Zm00001d002572	3
Cluster_0051	Zm00001d002618,Zm00001d002620	2
Cluster_0052	Zm00001d002625,Zm00001d002631	6
Cluster_0053	Zm00001d002626,Zm00001d002629	3
Cluster_0054	Zm00001d002698,Zm00001d002699	2
Cluster_0055	Zm00001d002705,Zm00001d002708	4
Cluster_0056	Zm00001d002727,Zm00001d002728,Zm00001d002729	3
Cluster_0057	Zm00001d002744,Zm00001d002747,Zm00001d002748	5
Cluster_0058	Zm00001d002760,Zm00001d002761,Zm00001d002762	3
Cluster_0059	Zm00001d002772,Zm00001d002773	2
Cluster_0060	Zm00001d002812,Zm00001d002814	3
Cluster_0061	Zm00001d002847,Zm00001d002848	2
Cluster_0062	Zm00001d002886,Zm00001d002887	2
Cluster_0063	Zm00001d002888,Zm00001d002893	5
Cluster_0064	Zm00001d002897,Zm00001d002898,Zm00001d002899,Zm00001d002901,Zm00001d002902	6
Cluster_0065	Zm00001d002907,Zm00001d002915	3
Cluster_0066	Zm00001d002912,Zm00001d002916	3
Cluster_0067	Zm00001d002958,Zm00001d002959	2
Cluster_0068	Zm00001d002972,Zm00001d002974	3
Cluster_0069	Zm00001d003015,Zm00001d003016	2
Cluster_0070	Zm00001d003019,Zm00001d003021,Zm00001d003023	5
Cluster_0071	Zm00001d003020,Zm00001d003022,Zm00001d003024	5
Cluster_0072	Zm00001d003044,Zm00001d003045,Zm00001d003046	3
Cluster_0073	Zm00001d003058,Zm00001d003059	2
Cluster_0074	Zm00001d003066,Zm00001d003067	2
Cluster_0075	Zm00001d003069,Zm00001d003070	2
Cluster_0076	Zm00001d003140,Zm00001d003142,Zm00001d003144	5
Cluster_0077	Zm00001d003151,Zm00001d003155	5
Cluster_0078	Zm00001d003173,Zm00001d003174	2
Cluster_0079	Zm00001d003183,Zm00001d003184,Zm00001d003185,Zm00001d003186,Zm00001d003187	5
Cluster_0080	Zm00001d003188,Zm00001d003190,Zm00001d003191	4
Cluster_0081	Zm00001d003217,Zm00001d003219	3
