Gene	UpstreamTE	DownstreamTE	SameFam	UpstreamBP	DownstreamBP
Zm00001d000006	LG00001B73v416156_cinful-zeon_LTRsimilarity99.32	LG00003B73v413045_huck_LTRsimilarity90.09	0	24892	1816
Zm00001d000008	LG00001B73v416159_cinful-zeon_LTRsimilarity97.88	LG00003B73v413046_huck_LTRsimilarity88.02	0	9789	5601
Zm00001d000012	LC00002B73v415452_ji_LTRsimilarity93.98	LC00033B73v400327_NA_LTRsimilarity87.33	0	7549	11782
Zm00001d000017	LC00004B73v412068_opie_LTRsimilarity87.26	LG04308B73v400002_NA_LTRsimilarity89.46	0	10157	5377
Zm00001d000018	LG00001B73v416171_cinful-zeon_LTRsimilarity96.76	LG00001B73v416172_cinful-zeon_LTRsimilarity98.81	1	10247	4683
Zm00001d000016	LG04962B73v400001_NA_LTRsimilarity89.33	LX03708B73v400002_NA_LTRsimilarity86.47	0	6430	3713
Zm00001d000020	LG04960B73v400001_NA_LTRsimilarity94.15	LC00004B73v412070_opie_LTRsimilarity96.06	0	10053	2883
Zm00001d000071	LG00021B73v400543_NA_LTRsimilarity92.65	LG00003B73v413126_huck_LTRsimilarity87.72	0	38483	3825
Zm00001d000072	LC00004B73v412130_opie_LTRsimilarity98.51	LG00001B73v416324_cinful-zeon_LTRsimilarity96.83	0	5802	86
Zm00001d000195	LG00007B73v403287_grande_LTRsimilarity99.84	LC00004B73v412079_opie_LTRsimilarity99.52	0	1687	16027
Zm00001d000196	LG00007B73v403287_grande_LTRsimilarity99.84	LC00004B73v412079_opie_LTRsimilarity99.52	0	4465	13481
Zm00001d000331	NA	LG00003B73v413033_huck_LTRsimilarity91.71	NA	NA	7215
Zm00001d000335	LG00003B73v413033_huck_LTRsimilarity91.71	NA	NA	20531	NA
Zm00001d000363	NA	LC00002B73v415476_ji_LTRsimilarity93.14	NA	NA	22636
Zm00001d000365	LC00002B73v415476_ji_LTRsimilarity93.14	NA	NA	4879	NA
Zm00001d000364	NA	LC00002B73v415476_ji_LTRsimilarity93.14	NA	NA	19255
Zm00001d000366	LC00002B73v415476_ji_LTRsimilarity93.14	NA	NA	8135	NA
Zm00001d000371	NA	LX04972B73v400001_NA_LTRsimilarity87.97	NA	NA	1296
Zm00001d000373	LC00004B73v412061_opie_LTRsimilarity99.44	LC00019B73v400567_giepum_LTRsimilarity94.77	0	3464	22699
Zm00001d000377	LC00004B73v412061_opie_LTRsimilarity99.44	LC00019B73v400567_giepum_LTRsimilarity94.77	0	18332	7506
Zm00001d000397	NA	LX01812B73v400002_NA_LTRsimilarity90.8	NA	NA	511
Zm00001d000398	LC00002B73v415490_ji_LTRsimilarity94.49	LX01812B73v400003_NA_LTRsimilarity90.97	0	18312	148
Zm00001d001817	LG00003B73v401822_huck_LTRsimilarity98.5	LG00003B73v401823_huck_LTRsimilarity94.7	1	16247	16370
Zm00001d001818	LG00003B73v401822_huck_LTRsimilarity98.5	LG00003B73v401823_huck_LTRsimilarity94.7	1	22872	9898
Zm00001d001833	LG00007B73v400478_grande_LTRsimilarity99.21	LC00041B73v400035_ji_LTRsimilarity95.23	0	20452	16579
Zm00001d001835	LG00007B73v400478_grande_LTRsimilarity99.21	LC00041B73v400035_ji_LTRsimilarity95.23	0	40818	1005
Zm00001d001885	LC00016B73v400119_NA_LTRsimilarity98.93	LX13943B73v400001_NA_LTRsimilarity85.59	0	158499	17262
Zm00001d001887	LC00016B73v400119_NA_LTRsimilarity98.93	LX13943B73v400001_NA_LTRsimilarity85.59	0	166011	1701
Zm00001d001902	LC00004B73v402037_opie_LTRsimilarity94.71	LG00003B73v411799_huck_LTRsimilarity94.01	0	4899	15430
Zm00001d001903	LC00004B73v402037_opie_LTRsimilarity94.71	LG00003B73v411799_huck_LTRsimilarity94.01	0	8570	12346
Zm00001d001908	LC00004B73v402038_opie_LTRsimilarity99.14	LC00048B73v400016_NA_LTRsimilarity95.25	0	24974	7387
Zm00001d001909	LC00004B73v411221_opie_LTRsimilarity96.54	LX01708B73v400001_NA_LTRsimilarity85.68	0	11499	41129
Zm00001d001924	LX13940B73v400001_NA_LTRsimilarity98.6	LC00004B73v409577_opie_LTRsimilarity97.96	0	24853	1685
Zm00001d001927	LC00002B73v402339_ji_LTRsimilarity99.25	LG00003B73v401825_huck_LTRsimilarity93.27	0	1626	65612
Zm00001d001941	LC00016B73v4S0039_NA_SoloLTR	LC00002B73v413806_ji_LTRsimilarity90.87	0	10874	4159
Zm00001d001943	LG00001B73v413521_cinful-zeon_LTRsimilarity97.4	LC00002B73v402341_ji_LTRsimilarity98.87	0	9284	9635
Zm00001d001944	LG00001B73v413521_cinful-zeon_LTRsimilarity97.4	LC00002B73v402341_ji_LTRsimilarity98.87	0	13446	5332
Zm00001d001961	LX13939B73v400001_NA_LTRsimilarity89.97	LC01432B73v400004_NA_LTRsimilarity93.4	0	26963	52676
Zm00001d001963	LX13939B73v400001_NA_LTRsimilarity89.97	LC01432B73v400004_NA_LTRsimilarity93.4	0	50001	29917
Zm00001d001964	LX13939B73v400001_NA_LTRsimilarity89.97	LC01432B73v400004_NA_LTRsimilarity93.4	0	60294	19627
Zm00001d002013	LX13936B73v400001_NA_LTRsimilarity96.63	LG00007B73v402379_grande_LTRsimilarity91.08	0	6443	3581
Zm00001d002019	LC00002B73v402350_ji_LTRsimilarity99.4	LC13934B73v400001_NA_LTRsimilarity90.69	0	6365	3385
Zm00001d002020	LG00003B73v401831_huck_LTRsimilarity89.83	LC00029B73v400321_NA_LTRsimilarity93.17	0	925	8355
Zm00001d002014	LG00003B73v401830_huck_LTRsimilarity93.29	LG23783B73v400001_NA_LTRsimilarity97.72	0	10995	23354
Zm00001d002015	LG00003B73v401830_huck_LTRsimilarity93.29	LG23783B73v400001_NA_LTRsimilarity97.72	0	14328	20024
Zm00001d002016	LG00003B73v401830_huck_LTRsimilarity93.29	LG23783B73v400001_NA_LTRsimilarity97.72	0	20000	14349
Zm00001d002017	LG00003B73v401830_huck_LTRsimilarity93.29	LG23783B73v400001_NA_LTRsimilarity97.72	0	23333	11019
Zm00001d002018	LG00003B73v401830_huck_LTRsimilarity93.29	LG23783B73v400001_NA_LTRsimilarity97.72	0	29004	732
Zm00001d002055	LC00004B73v402048_opie_LTRsimilarity99.61	LG00003B73v401833_huck_LTRsimilarity99.39	0	33279	27576
Zm00001d002057	LC00004B73v402048_opie_LTRsimilarity99.61	LG00003B73v401833_huck_LTRsimilarity99.39	0	35497	25331
Zm00001d002066	LX03233B73v400001_NA_LTRsimilarity98.82	LC00002B73v402357_ji_LTRsimilarity99.47	0	2157	6163
Zm00001d002067	LC00002B73v402357_ji_LTRsimilarity99.47	LC00004B73v409580_opie_LTRsimilarity99.45	0	4364	3223
Zm00001d002069	LC00002B73v402359_ji_LTRsimilarity99.84	LC00016B73v400120_NA_LTRsimilarity98.67	0	4566	3343
Zm00001d002071	LX00824B73v4S0008_NA_SoloLTR	LC00030B73v400053_name_LTRsimilarity93.26	0	2721	766
Zm00001d002072	LC00030B73v400053_name_LTRsimilarity93.26	LX23780B73v400001_NA_LTRsimilarity89.65	0	195	9502
Zm00001d002074	LX13927B73v400001_NA_LTRsimilarity98.77	LG00001B73v402787_cinful-zeon_LTRsimilarity96.59	0	11435	14116
Zm00001d002093	LG00003B73v401836_huck_LTRsimilarity89.82	LC00002B73v414968_ji_LTRsimilarity96.88	0	3190	15052
Zm00001d002094	LG00003B73v401836_huck_LTRsimilarity89.82	LC00002B73v414968_ji_LTRsimilarity96.88	0	5295	12761
Zm00001d002132	LG04033B73v400001_NA_LTRsimilarity100	LX23778B73v400001_NA_LTRsimilarity99.31	0	1474	18760
Zm00001d002133	LG04033B73v400001_NA_LTRsimilarity100	LX23778B73v400001_NA_LTRsimilarity99.31	0	7430	12741
Zm00001d002137	LC00189B73v400007_NA_LTRsimilarity95.34	LC00149B73v400003_fourf_LTRsimilarity92.69	0	1895	338
Zm00001d002138	LC00149B73v400003_fourf_LTRsimilarity92.69	LG00003B73v409293_huck_LTRsimilarity98.4	0	3774	1799
Zm00001d002158	LC00004B73v402056_opie_LTRsimilarity98.98	LG20370B73v400001_NA_LTRsimilarity89.78	0	37599	10428
Zm00001d002159	LC00004B73v402056_opie_LTRsimilarity98.98	LG20370B73v400001_NA_LTRsimilarity89.78	0	39922	8090
Zm00001d002160	LX13920B73v400001_NA_LTRsimilarity86.81	LG20370B73v400001_NA_LTRsimilarity89.78	0	4465	3511
Zm00001d002161	LX13920B73v400001_NA_LTRsimilarity86.81	LG20370B73v400001_NA_LTRsimilarity89.78	0	6855	1043
Zm00001d002168	LC00002B73v402370_ji_LTRsimilarity97.57	LG02073B73v400002_lowy_LTRsimilarity95.92	0	9093	13101
Zm00001d002172	LG02073B73v400002_lowy_LTRsimilarity95.92	LG00626B73v400005_NA_LTRsimilarity85.5	0	172	441
Zm00001d002173	LG00003B73v401838_huck_LTRsimilarity91.47	LC00002B73v411361_ji_LTRsimilarity91.61	0	9292	2508
Zm00001d002174	LG00003B73v401839_huck_LTRsimilarity87.55	LC00002B73v402372_ji_LTRsimilarity99.69	0	10610	1528
Zm00001d002178	LC00030B73v400054_name_LTRsimilarity98.88	LC00046B73v400026_machiavelli_LTRsimilarity89.21	0	19540	578
Zm00001d002181	LG00001B73v402792_cinful-zeon_LTRsimilarity99.26	LX13918B73v400001_NA_LTRsimilarity89.66	0	2058	416
Zm00001d002179	LC00002B73v402373_ji_LTRsimilarity98.28	LG00001B73v402792_cinful-zeon_LTRsimilarity99.26	0	6693	10558
Zm00001d002182	LX13918B73v400001_NA_LTRsimilarity89.66	LC00032B73v400062_ebel_LTRsimilarity93.29	0	1196	353
Zm00001d002192	LG00001B73v402793_cinful-zeon_LTRsimilarity99.08	LC00564B73v4S0029_NA_SoloLTR	0	1726	7316
Zm00001d002193	LG00001B73v402793_cinful-zeon_LTRsimilarity99.08	LC00564B73v4S0029_NA_SoloLTR	0	1764	7498
Zm00001d002198	LC00016B73v400121_NA_LTRsimilarity96.95	LX13917B73v400001_NA_LTRsimilarity91.36	0	6003	6896
Zm00001d002199	LG00010B73v400173_NA_LTRsimilarity95.24	LG00001B73v415335_cinful-zeon_LTRsimilarity92.62	0	10761	18357
Zm00001d002202	LC00004B73v402064_opie_LTRsimilarity98.78	LG00003B73v401844_huck_LTRsimilarity99.66	0	11721	25220
Zm00001d002208	LC00004B73v402064_opie_LTRsimilarity98.78	LG00003B73v401844_huck_LTRsimilarity99.66	0	34546	2152
Zm00001d002214	LC00002B73v402378_ji_LTRsimilarity96.22	LX13915B73v400001_NA_LTRsimilarity92.36	0	16975	10481
Zm00001d002221	LC00004B73v402065_opie_LTRsimilarity98.27	LX18865B73v400001_NA_LTRsimilarity98.01	0	9969	8847
Zm00001d002228	LC00004B73v402065_opie_LTRsimilarity98.27	LC00002B73v402380_ji_LTRsimilarity96.29	0	41671	14169
Zm00001d002203	LC00004B73v402064_opie_LTRsimilarity98.78	LG00003B73v401844_huck_LTRsimilarity99.66	0	16377	21131
Zm00001d002209	LG00003B73v401844_huck_LTRsimilarity99.66	LC00002B73v402378_ji_LTRsimilarity96.22	0	1361	3519
Zm00001d002215	LC00002B73v402378_ji_LTRsimilarity96.22	LX13915B73v400001_NA_LTRsimilarity92.36	0	21165	7100
Zm00001d002223	LC00004B73v402065_opie_LTRsimilarity98.27	LC00002B73v402380_ji_LTRsimilarity96.29	0	23551	33098
Zm00001d002229	LX18865B73v400001_NA_LTRsimilarity98.01	LC00002B73v402380_ji_LTRsimilarity96.29	0	663	10831
Zm00001d002204	LC00004B73v402064_opie_LTRsimilarity98.78	LG00003B73v401844_huck_LTRsimilarity99.66	0	20315	17326
Zm00001d002205	LC00004B73v402064_opie_LTRsimilarity98.78	LG00003B73v401844_huck_LTRsimilarity99.66	0	24071	12862
