Duplicate_ID	Anc_Gene	B1_Cluster	B2_Cluster	P1_Cluster	P2_Cluster	B1_Genes	B2_Genes	P1_Genes	P2_Genes
Syntenic_Dup_0000	LOC_Os01g12760	NA	NA	NA	Cluster_1125	Zm00001d039310	NA	Zm00008a010673	Zm00008a030363,Zm00008a030364,Zm00008a030366,Zm00008a030367
Syntenic_Dup_0001	LOC_Os01g42540	NA	Cluster_0320	NA	Cluster_1170	NA	Zm00001d011326,Zm00001d011327	NA	Zm00008a032076,Zm00008a032077
Syntenic_Dup_0002	LOC_Os01g66570	NA	Cluster_0343	NA	Cluster_1195	NA	Zm00001d012184,Zm00001d012185,Zm00001d012186,Zm00001d012187,Zm00001d012188	NA	Zm00008a032748,Zm00008a032749,Zm00008a032750,Zm00008a032751,Zm00008a032752
Syntenic_Dup_0003	LOC_Os01g71262	Cluster_1373	NA	NA	NA	Zm00001d042157,Zm00001d042158	NA	NA	NA
Syntenic_Dup_0004	LOC_Os02g07628	NA	Cluster_1742	NA	NA	NA	Zm00001d053784,Zm00001d053785	NA	Zm00008a018702
Syntenic_Dup_0005	LOC_Os02g36730	Cluster_0480	NA	NA	NA	Zm00001d016939,Zm00001d016940	NA	Zm00008a022124	NA
Syntenic_Dup_0006	LOC_Os02g47090	Cluster_0509	NA	NA	NA	Zm00001d017713,Zm00001d017714	Zm00001d051548	Zm00008a022716	NA
Syntenic_Dup_0007	LOC_Os02g49326	NA	Cluster_1687	NA	NA	NA	Zm00001d051668,Zm00001d051669	NA	Zm00008a017145
Syntenic_Dup_0008	LOC_Os03g08720	Cluster_0856	NA	Cluster_0020	NA	Zm00001d027946,Zm00001d027948	NA	Zm00008a000554,Zm00008a000556	NA
Syntenic_Dup_0009	LOC_Os03g50550	Cluster_1066	Cluster_0374	Cluster_0202	Cluster_0720	Zm00001d033754,Zm00001d033765	Zm00001d013418,Zm00001d013423	Zm00008a004996,Zm00008a004998	Zm00008a019521,Zm00008a019527
Syntenic_Dup_0010	LOC_Os03g52020	NA	NA	Cluster_0205	NA	Zm00001d033883	NA	Zm00008a005080,Zm00008a005081	NA
Syntenic_Dup_0011	LOC_Os04g11390	Cluster_0117	NA	NA	NA	Zm00001d004328,Zm00001d004331	NA	NA	NA
Syntenic_Dup_0012	LOC_Os04g53550	Cluster_0032	NA	Cluster_0250	NA	Zm00001d002204,Zm00001d002205,Zm00001d002211,Zm00001d002216,Zm00001d002217,Zm00001d002224,Zm00001d002225,Zm00001d002230,Zm00001d002231,Zm00001d002232	Zm00001d026352	Zm00008a006216,Zm00008a006221,Zm00008a006227,Zm00008a006228	Zm00008a038645
Syntenic_Dup_0013	LOC_Os04g53580	Cluster_0030	NA	NA	NA	Zm00001d002202,Zm00001d002208,Zm00001d002214,Zm00001d002221,Zm00001d002228	NA	NA	NA
Syntenic_Dup_0014	LOC_Os04g53920	NA	Cluster_0821	NA	Cluster_1424	NA	Zm00001d026369,Zm00001d026370,Zm00001d026371	NA	Zm00008a038656,Zm00008a038657,Zm00008a038659
Syntenic_Dup_0015	LOC_Os05g01680	Cluster_1161	NA	Cluster_0877	NA	Zm00001d035725,Zm00001d035726	NA	Zm00008a023956,Zm00008a023958	NA
Syntenic_Dup_0016	LOC_Os05g02070	Cluster_1156	NA	NA	NA	Zm00001d035659,Zm00001d035662,Zm00001d035663	Zm00001d011063	NA	Zm00008a031868
Syntenic_Dup_0017	LOC_Os06g27560	Cluster_1514	NA	Cluster_1250	NA	Zm00001d046004,Zm00001d046005	NA	Zm00008a034216,Zm00008a034228,Zm00008a034229	NA
Syntenic_Dup_0018	LOC_Os06g45330	NA	Cluster_1191	NA	NA	NA	Zm00001d036655,Zm00001d036660,Zm00001d036663,Zm00001d036667	NA	Zm00008a024608
Syntenic_Dup_0019	LOC_Os07g02890	Cluster_0543	NA	Cluster_0981	NA	Zm00001d018703,Zm00001d018705	NA	Zm00008a026688,Zm00008a026707,Zm00008a026721,Zm00008a026728	NA
Syntenic_Dup_0020	LOC_Os07g18610	Cluster_0579	NA	Cluster_1016	NA	Zm00001d019380,Zm00001d019385,Zm00001d019394	NA	Zm00008a027231,Zm00008a027232,Zm00008a027235,Zm00008a027243	NA
Syntenic_Dup_0021	LOC_Os07g26690	NA	Cluster_0156	NA	Cluster_0343	NA	Zm00001d005410,Zm00001d005421	NA	Zm00008a008651,Zm00008a008655
Syntenic_Dup_0022	LOC_Os08g04500	Cluster_0757	NA	NA	NA	Zm00001d024667,Zm00001d024669	NA	Zm00008a037354	NA
Syntenic_Dup_0023	LOC_Os08g08140	Cluster_0822	NA	NA	NA	Zm00001d026382,Zm00001d026383	NA	Zm00008a038665	NA
Syntenic_Dup_0024	LOC_Os08g09450	Cluster_0743	NA	Cluster_1368	NA	Zm00001d024252,Zm00001d024265	NA	Zm00008a037062,Zm00008a037070	NA
Syntenic_Dup_0025	LOC_Os08g14109	NA	Cluster_1662	NA	Cluster_0626	NA	Zm00001d050196,Zm00001d050198	NA	Zm00008a016062,Zm00008a016063
Syntenic_Dup_0026	LOC_Os08g37010	Cluster_0988	NA	Cluster_0138	NA	Zm00001d031801,Zm00001d031804,Zm00001d031805	NA	Zm00008a003480,Zm00008a003482	NA
Syntenic_Dup_0027	LOC_Os08g39290	Cluster_0978	NA	NA	NA	Zm00001d031367,Zm00001d031375,Zm00001d031380,Zm00001d031396,Zm00001d031404,Zm00001d031409,Zm00001d031410	NA	NA	NA
Syntenic_Dup_0028	LOC_Os08g43550	Cluster_0997	NA	Cluster_0144	NA	Zm00001d032024,Zm00001d032032	NA	Zm00008a003618,Zm00008a003630	NA
Syntenic_Dup_0029	LOC_Os09g17152	NA	NA	NA	Cluster_0345	NA	Zm00001d005593	NA	Zm00008a008772,Zm00008a008773
Syntenic_Dup_0030	LOC_Os10g21258	NA	NA	Cluster_0105	NA	NA	NA	Zm00008a002479,Zm00008a002490	NA
Syntenic_Dup_0031	LOC_Os10g23310	Cluster_0947	NA	NA	NA	Zm00001d030540,Zm00001d030542	NA	Zm00008a002545	NA
Syntenic_Dup_0032	LOC_Os10g30410	NA	Cluster_0393	NA	Cluster_0734	NA	Zm00001d014134,Zm00001d014136	NA	Zm00008a020093,Zm00008a020104,Zm00008a020105
Syntenic_Dup_0033	LOC_Os11g02280	Cluster_1698	NA	Cluster_0660	NA	Zm00001d052341,Zm00001d052342	NA	Zm00008a017671,Zm00008a017672	NA
Syntenic_Dup_0034	LOC_Os11g10470	Cluster_1630	NA	NA	NA	Zm00001d049060,Zm00001d049061	NA	NA	NA
Syntenic_Dup_0035	LOC_Os11g42950	Cluster_1613	NA	NA	NA	Zm00001d048727,Zm00001d048728,Zm00001d048729	NA	Zm00008a014957	NA
Syntenic_Dup_0036	LOC_Os11g45930	Cluster_1605	NA	NA	NA	Zm00001d048639,Zm00001d048640	NA	Zm00008a014888	NA
Syntenic_Dup_0037	LOC_Os12g05380	Cluster_0713	NA	Cluster_1336	NA	Zm00001d023398,Zm00001d023399,Zm00001d023417,Zm00001d023418	NA	Zm00008a036426,Zm00008a036427,Zm00008a036440	NA
