GenesInCluster	Lengths	NumExons	WithTE	NumExonTE	NumExonWOTE	LengthsWithTE	LengthsWOTE	TEsRepresented
Zm00001d000006,Zm00001d000008,Zm00001d000012,Zm00001d000017,Zm00001d000018	1145,1060,1075,1039,1099	2,2,2,2,3	NA	NA	2,2,2,2,3	NA	1145,1060,1075,1039,1099	NA
Zm00001d000016,Zm00001d000020	746,908	1,1	NA	NA	1,1	NA	746,908	NA
Zm00001d000071,Zm00001d000072	14764,7820	5,6	NA	NA	5,6	NA	14764,7820	NA
Zm00001d000195,Zm00001d000196	2559,2327	8,7	NA	NA	8,7	NA	2559,2327	NA
Zm00001d000331,Zm00001d000335	1439,1439	1,1	NA	NA	1,1	NA	1439,1439	NA
Zm00001d000363,Zm00001d000365	2036,2022	4,4	NA	NA	4,4	NA	2036,2022	NA
Zm00001d000364,Zm00001d000366	2196,2196	4,4	NA	NA	4,4	NA	2196,2196	NA
Zm00001d000371,Zm00001d000373,Zm00001d000377	290,2473,2798	1,4,4	NA	NA	1,4,4	NA	290,2473,2798	NA
Zm00001d000397,Zm00001d000398	611,1031	1,1	NA	NA	1,1	NA	611,1031	NA
Zm00001d001817,Zm00001d001818	2324,2437	2,2	NA	NA	2,2	NA	2324,2437	NA
Zm00001d001833,Zm00001d001835	6186,1394	2,1	NA	NA	2,1	NA	6186,1394	NA
Zm00001d001885,Zm00001d001887	1338,9683	3,3	NA	NA	3,3	NA	1338,9683	NA
Zm00001d001902,Zm00001d001903	3299,2712	7,5	NA	NA	7,5	NA	3299,2712	NA
Zm00001d001908,Zm00001d001909	7956,3412	13,9	NA	NA	13,9	NA	7956,3412	NA
Zm00001d001924,Zm00001d001927	3605,1543	3,3	NA	NA	3,3	NA	3605,1543	NA
Zm00001d001941,Zm00001d001943,Zm00001d001944	3619,2353,2690	5,4,4	NA	NA	5,4,4	NA	3619,2353,2690	NA
Zm00001d001961,Zm00001d001963,Zm00001d001964	710,431,428	1,1,1	NA	NA	1,1,1	NA	710,431,428	NA
Zm00001d002013,Zm00001d002019,Zm00001d002020	1470,2016,2169	2,3,4	NA	NA	2,3,4	NA	1470,2016,2169	NA
Zm00001d002014,Zm00001d002015,Zm00001d002016,Zm00001d002017,Zm00001d002018	434,431,434,431,5047	1,1,1,1,2	NA	NA	1,1,1,1,2	NA	434,431,434,431,5047	NA
Zm00001d002055,Zm00001d002057	548,575	1,1	NA	NA	1,1	NA	548,575	NA
Zm00001d002066,Zm00001d002067	1007,1122	1,1	NA	NA	1,1	NA	1007,1122	NA
Zm00001d002069,Zm00001d002071,Zm00001d002072,Zm00001d002074	257,254,562,311	1,1,1,1	NA	NA	1,1,1,1	NA	257,254,562,311	NA
Zm00001d002093,Zm00001d002094	425,611	1,1	NA	NA	1,1	NA	425,611	NA
Zm00001d002132,Zm00001d002133	669,732	2,2	NA	NA	2,2	NA	669,732	NA
Zm00001d002137,Zm00001d002138	1015,527	2,2	NA	NA	2,2	NA	1015,527	NA
