Cluster_ID	Genes	Gene1	Gene2	Total_Divergence	Ti_Tv	dNdS	dN	dN_SE	dS	dS_Se
Cluster_0000	Zm00001d025036,Zm00001d025037	Zm00001d025037	Zm00001d025036	0.3576	2.0617	0.2162	0.0621	0.0082	0.2871	0.0358
Cluster_0001	Zm00001d025085,Zm00001d025086	Zm00001d025086	Zm00001d025085	4.4827	0.8888	0.3371	1.0477	0.1397	3.1081	3.4915
Cluster_0002	Zm00001d025104,Zm00001d025105	Zm00001d025105	Zm00001d025104	4.3842	1.1568	0.4482	1.1154	0.0905	2.4887	0.8716
Cluster_0003	Zm00001d023575,Zm00001d023570	Zm00001d023570	Zm00001d023575	0.3110	2.1828	0.0918	0.0544	0.0110	0.5920	0.2233
Cluster_0004	Zm00001d025174,Zm00001d025175	Zm00001d025175	Zm00001d025174	5.4641	0.7573	0.3382	1.2316	0.1504	3.6418	4.9456
Cluster_0005	Zm00001d025185,Zm00001d025193	Zm00001d025193	Zm00001d025185	0.0802	2.8865	0.0801	0.0066	0.0030	0.0828	0.0186
Cluster_0006	Zm00001d025190,Zm00001d025188	Zm00001d025188	Zm00001d025190	4.9894	1.4527	0.2302	0.9786	0.0562	4.2507	7.3908
Cluster_0007	Zm00001d023587,Zm00001d023588	Zm00001d023588	Zm00001d023587	3.8673	0.8795	0.2947	0.9490	0.0916	3.2202	3.7546
Cluster_0008	Zm00001d025253,Zm00001d025255	Zm00001d025255	Zm00001d025253	0.4358	1.5541	0.5977	0.1233	0.0119	0.2063	0.0270
Cluster_0009	Zm00001d025265,Zm00001d025267	Zm00001d025267	Zm00001d025265	2.5416	1.6120	0.8924	0.8198	0.0758	0.9186	0.1488
Cluster_0010	Zm00001d023593,Zm00001d023592,Zm00001d023596,Zm00001d023603	Zm00001d023592	Zm00001d023593	0.6450	2.7885	0.0183	0.0360	0.0061	1.9632	0.6285
Cluster_0010	Zm00001d023593,Zm00001d023592,Zm00001d023596,Zm00001d023603	Zm00001d023596	Zm00001d023593	0.4797	2.7885	0.0324	0.0404	0.0065	1.2459	0.2506
Cluster_0010	Zm00001d023593,Zm00001d023592,Zm00001d023596,Zm00001d023603	Zm00001d023596	Zm00001d023592	0.3753	2.7885	0.0252	0.0241	0.0050	0.9578	0.2470
