Gene	UpstreamTE	DownstreamTE	SameFam	UpstreamBP	DownstreamBP
Zm00001d015574	TA00217B73v400041_TSDlen8_TIRlen11	TH00418B73v400014_TSDlen3_TIRlen14	0	46549	242685
Zm00001d007253	TH00098B73v400166_TSDlen3_TIRlen14	TH11636B73v400023_TSDlen3_TIRlen14	0	22739	234670
Zm00001d007251	TC00119B73v400125_TSDlen3_TIRlen13	TH00098B73v400166_TSDlen3_TIRlen14	0	30775	28077
Zm00001d007256	TH00098B73v400166_TSDlen3_TIRlen14	TH11636B73v400023_TSDlen3_TIRlen14	0	160343	95012
Zm00001d007257	TH00098B73v400166_TSDlen3_TIRlen14	TH11636B73v400023_TSDlen3_TIRlen14	0	190495	71795
Zm00001d007254	TH00098B73v400166_TSDlen3_TIRlen14	TH11636B73v400023_TSDlen3_TIRlen14	0	52094	205823
Zm00001d007255	TH00098B73v400166_TSDlen3_TIRlen14	TH11636B73v400023_TSDlen3_TIRlen14	0	151039	103358
Zm00001d007258	TH00098B73v400166_TSDlen3_TIRlen14	TH11636B73v400023_TSDlen3_TIRlen14	0	204812	57457
Zm00001d007259	TH11636B73v400023_TSDlen3_TIRlen14	TA00299B73v400011_TSDlen8_TIRlen11	0	1225	158672
Zm00001d015578	TA00217B73v400041_TSDlen8_TIRlen11	TH00418B73v400014_TSDlen3_TIRlen14	0	166651	122065
Zm00001d015579	TA00217B73v400041_TSDlen8_TIRlen11	TH00418B73v400014_TSDlen3_TIRlen14	0	201910	86421
Zm00001d019400	TT10009B73v400015_TSDlen3_TIRlen13	TX11533B73v400065_TSDlen3_TIRlen13	0	122212	192456
Zm00001d019403	TT10009B73v400015_TSDlen3_TIRlen13	TX11533B73v400065_TSDlen3_TIRlen13	0	277423	36327
Zm00001d019404	TX11533B73v400065_TSDlen3_TIRlen13	TA00368B73v400035_TSDlen8_TIRlen11	0	29406	13359
Zm00001d019405	TX11533B73v400065_TSDlen3_TIRlen13	TA00368B73v400035_TSDlen8_TIRlen11	0	34754	12127
Zm00001d019406	TX11533B73v400065_TSDlen3_TIRlen13	TA00368B73v400035_TSDlen8_TIRlen11	0	41330	5551
Zm00001d019407	TA00368B73v400035_TSDlen8_TIRlen11	TM20218B73v400001_TSDlen9_TIRlen40	0	158250	12186
Zm00001d019409	TA00368B73v400035_TSDlen8_TIRlen11	TM20218B73v400001_TSDlen9_TIRlen40	0	167486	2016
Zm00001d017347	TA00155B73v400015_TSDlen8_TIRlen11	TM00473B73v400127_TSDlen9_TIRlen40	0	142965	11846
Zm00001d053240	TH11637B73v400052_TSDlen3_TIRlen14	TA00291B73v400035_TSDlen8_TIRlen11	0	1578	71985
Zm00001d053241	TH11637B73v400052_TSDlen3_TIRlen14	TA00291B73v400035_TSDlen8_TIRlen11	0	3313	70678
