Cluster_ID	B_Cluster	P_Cluster	B_Genes	P_Genes
Nonsyntenic_Dup_0000	Cluster_0001	NA	Zm00001d000016,Zm00001d000020	Zm00008a037040
Nonsyntenic_Dup_0001	Cluster_0000	Cluster_1367	Zm00001d000006,Zm00001d000008,Zm00001d000012,Zm00001d000017,Zm00001d000018	Zm00008a037039,Zm00008a037037,Zm00008a037043,Zm00008a037041
Nonsyntenic_Dup_0002	NA	Cluster_0093	Zm00001d000064	Zm00008a002315,Zm00008a002324
Nonsyntenic_Dup_0003	Cluster_0003	Cluster_0940	Zm00001d000195,Zm00001d000196	Zm00008a025622,Zm00008a025621
Nonsyntenic_Dup_0004	Cluster_0009	NA	Zm00001d001817,Zm00001d001818	Zm00008a005930
Nonsyntenic_Dup_0005	Cluster_0011	NA	Zm00001d001885,Zm00001d001887	Zm00008a005981
Nonsyntenic_Dup_0006	Cluster_0012	Cluster_0239	Zm00001d001902,Zm00001d001903	Zm00008a005991,Zm00008a005990
Nonsyntenic_Dup_0007	Cluster_0013	NA	Zm00001d001908,Zm00001d001909	Zm00008a005994
Nonsyntenic_Dup_0008	Cluster_0014	Cluster_0241	Zm00001d001927,Zm00001d001924	Zm00008a006008,Zm00008a006005
Nonsyntenic_Dup_0009	Cluster_0015	NA	Zm00001d001944,Zm00001d001941,Zm00001d001943	Zm00008a006026
Nonsyntenic_Dup_0010	Cluster_0015	NA	Zm00001d001944,Zm00001d001941,Zm00001d001943	Zm00008a006027
Nonsyntenic_Dup_0011	Cluster_0015	NA	Zm00001d001944,Zm00001d001941,Zm00001d001943	Zm00008a006028
Nonsyntenic_Dup_0012	Cluster_0016	NA	Zm00001d001963,Zm00001d001961,Zm00001d001964	Zm00008a006042
Nonsyntenic_Dup_0013	Cluster_0017	Cluster_0243	Zm00001d002020,Zm00001d002019,Zm00001d002013	Zm00008a006086,Zm00008a006084,Zm00008a006085,Zm00008a006090
Nonsyntenic_Dup_0014	Cluster_0018	Cluster_0242	Zm00001d002018,Zm00001d002017,Zm00001d002016,Zm00001d002015,Zm00001d002014	Zm00008a006082,Zm00008a006083,Zm00008a006081
Nonsyntenic_Dup_0015	Cluster_0019	NA	Zm00001d002057,Zm00001d002055	Zm00008a006108
Nonsyntenic_Dup_0016	Cluster_0021	NA	Zm00001d002069,Zm00001d002074,Zm00001d002071,Zm00001d002072	Zm00008a006119
Nonsyntenic_Dup_0017	Cluster_0021	NA	Zm00001d002069,Zm00001d002074,Zm00001d002071,Zm00001d002072	Zm00008a006121
Nonsyntenic_Dup_0018	Cluster_0022	Cluster_0244	Zm00001d002093,Zm00001d002094	Zm00008a006138,Zm00008a006139
Nonsyntenic_Dup_0019	Cluster_0023	NA	Zm00001d002132,Zm00001d002133	Zm00008a006159
Nonsyntenic_Dup_0020	Cluster_0025	NA	Zm00001d002158,Zm00001d002159,Zm00001d002161,Zm00001d002160	Zm00008a006177
Nonsyntenic_Dup_0021	Cluster_0026	Cluster_0245	Zm00001d002174,Zm00001d002172,Zm00001d002173,Zm00001d002168,Zm00001d002181,Zm00001d002178	Zm00008a006209,Zm00008a006210,Zm00008a006193,Zm00008a006192,Zm00008a006196,Zm00008a006199
Nonsyntenic_Dup_0022	Cluster_0026	Cluster_0246	Zm00001d002174,Zm00001d002172,Zm00001d002173,Zm00001d002168,Zm00001d002181,Zm00001d002178	Zm00008a006200,Zm00008a006197
Nonsyntenic_Dup_0023	Cluster_0027	Cluster_0246	Zm00001d002179,Zm00001d002182	Zm00008a006200,Zm00008a006197
Nonsyntenic_Dup_0024	Cluster_0028	NA	Zm00001d002192,Zm00001d002193	Zm00008a006208
Nonsyntenic_Dup_0025	Cluster_0029	Cluster_0245	Zm00001d002198,Zm00001d002199	Zm00008a006209,Zm00008a006210,Zm00008a006193,Zm00008a006192,Zm00008a006196,Zm00008a006199
Nonsyntenic_Dup_0026	Cluster_0030	NA	Zm00001d002208,Zm00001d002202,Zm00001d002214,Zm00001d002228,Zm00001d002221	Zm00008a006212
Nonsyntenic_Dup_0027	Cluster_0031	Cluster_0247	Zm00001d002209,Zm00001d002203,Zm00001d002229,Zm00001d002223,Zm00001d002215	Zm00008a006224,Zm00008a006213,Zm00008a006220
Nonsyntenic_Dup_0028	Cluster_0031	Cluster_0251	Zm00001d002209,Zm00001d002203,Zm00001d002229,Zm00001d002223,Zm00001d002215	Zm00008a006225,Zm00008a006218
Nonsyntenic_Dup_0029	Cluster_0032	Cluster_0248	Zm00001d002204,Zm00001d002205,Zm00001d002217,Zm00001d002216,Zm00001d002211,Zm00001d002224,Zm00001d002225,Zm00001d002231,Zm00001d002230,Zm00001d002232	Zm00008a006226,Zm00008a006214
Nonsyntenic_Dup_0030	Cluster_0032	Cluster_0246	Zm00001d002204,Zm00001d002205,Zm00001d002217,Zm00001d002216,Zm00001d002211,Zm00001d002224,Zm00001d002225,Zm00001d002231,Zm00001d002230,Zm00001d002232	Zm00008a006200,Zm00008a006197
Nonsyntenic_Dup_0031	Cluster_0032	Cluster_0250	Zm00001d002204,Zm00001d002205,Zm00001d002217,Zm00001d002216,Zm00001d002211,Zm00001d002224,Zm00001d002225,Zm00001d002231,Zm00001d002230,Zm00001d002232	Zm00008a006221,Zm00008a006227,Zm00008a006216,Zm00008a006228
Nonsyntenic_Dup_0032	Cluster_0033	NA	Zm00001d002207,Zm00001d002220,Zm00001d002227	Zm00008a006219
Nonsyntenic_Dup_0033	Cluster_0035	NA	Zm00001d002260,Zm00001d002261	Zm00008a006249
Nonsyntenic_Dup_0034	NA	Cluster_0252	Zm00001d002302	Zm00008a006280,Zm00008a006282
Nonsyntenic_Dup_0035	NA	Cluster_0252	Zm00001d002304	Zm00008a006280,Zm00008a006282
Nonsyntenic_Dup_0036	Cluster_0036	Cluster_0253	Zm00001d002350,Zm00001d002351,Zm00001d002349	Zm00008a006315,Zm00008a006313,Zm00008a006308
