Gene	UpstreamTE	DownstreamTE	SameFam	UpstreamBP	DownstreamBP
Zm00001d000006	HH00030B73v400044_NA_LCV5p13_LCV3p6	HH00002B73v410679_Hip1_LCV5p11_LCV3p12	0	98229	129477
Zm00001d000008	HH00005B73v401905_NA_LCV5p6_LCV3p5	HH00002B73v410679_Hip1_LCV5p11_LCV3p12	0	86543	35143
Zm00001d000012	HH00007B73v401383_NA_LCV5p11_LCV3p5	HH00003B73v402571_NA_LCV5p8_LCV3p5	0	6242	6278
Zm00001d000017	HH00001B73v410874_NA_LCV5p5_LCV3p10	HH00001B73v406162_NA_LCV5p7_LCV3p5	1	32329	55534
Zm00001d000018	HH00005B73v401908_NA_LCV5p6_LCV3p5	HH00002B73v405720_Hip1_LCV5p10_LCV3p12	0	32974	7131
Zm00001d000016	HH00001B73v410874_NA_LCV5p5_LCV3p10	HH00001B73v406162_NA_LCV5p7_LCV3p5	1	2401	85755
Zm00001d000020	HH00002B73v410681_Hip1_LCV5p11_LCV3p5	HH00043B73v400017_NA_LCV5p8_LCV3p7	0	7785	28853
Zm00001d000071	HH00002B73v405688_Hip1_LCV5p12_LCV3p6	HH00004B73v403794_NA_LCV5p7_LCV3p10	0	36859	21109
Zm00001d000072	HH00004B73v403794_NA_LCV5p7_LCV3p10	NA	NA	21415	NA
Zm00001d000195	HH00003B73v404893_NA_LCV5p7_LCV3p6	HH00004B73v403802_NA_LCV5p5_LCV3p10	0	99392	36222
Zm00001d000196	HH00003B73v404893_NA_LCV5p7_LCV3p6	HH00004B73v403802_NA_LCV5p5_LCV3p10	0	102170	33676
Zm00001d000331	NA	NA	NA	NA	NA
Zm00001d000335	NA	NA	NA	NA	NA
Zm00001d000363	NA	HH00002B73v410698_Hip1_LCV5p11_LCV3p11	NA	NA	2325
Zm00001d000365	HH00002B73v410698_Hip1_LCV5p11_LCV3p11	NA	NA	42780	NA
Zm00001d000364	NA	HH00001B73v410884_NA_LCV5p11_LCV3p6	NA	NA	30121
Zm00001d000366	HH00002B73v410698_Hip1_LCV5p11_LCV3p11	NA	NA	46036	NA
Zm00001d000371	NA	HH00002B73v410678_Hip1_LCV5p7_LCV3p49	NA	NA	30235
Zm00001d000373	NA	HH00002B73v410678_Hip1_LCV5p7_LCV3p49	NA	NA	3924
Zm00001d000377	HH00002B73v410678_Hip1_LCV5p7_LCV3p49	NA	NA	7107	NA
Zm00001d000397	NA	HH00007B73v401380_NA_LCV5p13_LCV3p5	NA	NA	23219
Zm00001d000398	HH00007B73v401380_NA_LCV5p13_LCV3p5	NA	NA	20601	NA
Zm00001d001817	HH00006B73v401117_NA_LCV5p8_LCV3p5	HH00003B73v403132_NA_LCV5p7_LCV3p6	0	98736	49686
Zm00001d001818	HH00006B73v401117_NA_LCV5p8_LCV3p5	HH00003B73v403132_NA_LCV5p7_LCV3p6	0	105361	43214
Zm00001d001833	HH00005B73v402321_NA_LCV5p10_LCV3p5	HH00002B73v406849_Hip1_LCV5p6_LCV3p7	0	2117	4152
