OrthogroupID	Null_lnL	Ha1_lnL	Ha2_lnL	Ha3_lnL	Ha1_v_Null	Ha2_v_Null	Ha3_v_Null	Ha3_v_Ha1	Ha3_v_Ha2	Null_Kappa	Null_Omega0	Null_PropOmega0	Null_Omega1	Null_PropOmega1	Null_Omega2	Null_PropOmega2	Ha1_Kappa	Ha1_Omega0_Grass	Ha1_Omega0_Maize	Ha1_PropOmega0	Ha1_Omega1_Grass	Ha1_Omega1_Maize	Ha1_PropOmega1	Ha1_Omega2_Grass	Ha1_Omega2_Maize	Ha1_PropOmega2	Ha2_Kappa	Ha2_Omega0_Grass	Ha2_Omega0_Tandem	Ha2_PropOmega0	Ha2_Omega1_Grass	Ha2_Omega1_Tandem	Ha2_PropOmega1	Ha2_Omega2_Grass	Ha2_Omega2_Tandem	Ha2_PropOmega2	Ha3_Kappa	Ha3_Omega0_Grass	Ha3_Omega0_Tandem	Ha3_Omega0_Maize	Ha3_PropOmega0	Ha3_Omega1_Grass	Ha3_Omega1_Tandem	Ha3_Omega1_Maize	Ha3_PropOmega1	Ha3_Omega2_Grass	Ha3_Omega2_Tandem	Ha3_Omega2_Maize	Ha3_PropOmega2
OG0000280	-62871.320228	-62865.198417	-62863.531345	-62862.464846	0.000466851181166	7.91802238257e-05	0.000142612128644	0.0193772884325	0.144158560423	2.25684	0.10555	0.38372	1.00000	0.1189	0.35540	0.49739	2.26016	0.10219	0.10219	0.36786	1.0	1.0	0.12501	0.34585	0.7192	0.50713	2.25957	0.10305	0.10305	0.37141	1.0	1.0	0.12424	0.34825	1.67976	0.50435	2.26048	0.10236	0.10236	0.10236	0.36808	1.0	1.0	1.0	0.12567	0.34588	1.58497	0.5047	0.50624
OG0000399	-50959.704415	-50940.860139	-50923.658627	-50923.657438	8.29901813937e-10	0.0	2.22044604925e-16	4.47479575616e-09	0.961106781127	1.74385	0.04867	0.5492	1.00000	0.03105	0.26282	0.41976	1.74547	0.04726	0.04726	0.53857	1.0	1.0	0.03172	0.24634	0.43444	0.42971	1.74335	0.04655	0.04655	0.53184	1.0	1.0	0.03081	0.24365	0.68478	0.43735	1.74407	0.04656	0.04656	0.04656	0.53204	1.0	1.0	1.0	0.03079	0.24362	0.68497	0.24516	0.43717
OG0000447	-12606.253193	-12598.133513	-12590.847444	-12590.845677	5.58222090774e-05	2.84348068424e-08	2.03517060537e-07	0.000134641637174	0.952595715591	2.52069	0.08162	0.74555	1.00000	0.03085	0.41460	0.2236	2.48268	0.08141	0.08141	0.72914	1.0	1.0	0.04621	0.37179	1.96788	0.22465	2.48124	0.08191	0.08191	0.72841	1.0	1.0	0.05197	0.37041	8.45733	0.21962	2.4814	0.08192	0.08192	0.08192	0.72855	1.0	1.0	1.0	0.05189	0.37044	8.45534	0.38404	0.21956
OG0000512	-14055.024543	-13989.622097	-13988.806039	-13988.577596	0.0	0.0	0.0	0.148362962725	0.499082912498	2.03952	0.00000	0.00785	1.00000	0.29311	0.13586	0.69904	2.09424	0.09416	0.09416	0.61378	1.0	1.0	0.15468	0.40851	0.40272	0.23155	2.09718	0.09457	0.09457	0.612	1.0	1.0	0.1622	0.40806	0.20772	0.2258	2.09898	0.09439	0.09439	0.09439	0.61031	1.0	1.0	1.0	0.16343	0.40145	0.19464	0.46491	0.22625
OG0000562	-11155.559955	-11127.210836	-11152.100539	-11141.73857	5.08482145278e-14	0.00852926671835	9.94142778765e-07	1.0	5.30486679129e-06	1.48423	0.01592	0.39785	1.00000	0.03059	0.17012	0.57156	1.48509	0.1804	0.1804	0.51316	1.0	1.0	0.03044	0.0127	0.16055	0.4564	1.48401	0.0157	0.0157	0.39599	1.0	1.0	0.03054	0.17115	0.0	0.57347	1.48543	0.0119	0.0119	0.0119	0.3627	1.0	1.0	1.0	0.03104	0.14971	0.0	0.33954	0.60625
OG0000626	-28905.89634	-28888.288258	-28903.570783	-28887.022364	2.95064306322e-09	0.0310334015347	6.3553046159e-09	0.111573724017	8.76811967476e-09	1.93597	0.07704	0.47327	1.00000	0.06915	0.32921	0.45757	1.95699	0.05759	0.05759	0.35408	1.0	1.0	0.08819	0.25776	0.58261	0.55773	1.93873	0.07312	0.07312	0.45086	1.0	1.0	0.07271	0.31766	1.01539	0.47643	1.96053	0.05448	0.05448	0.05448	0.33539	1.0	1.0	1.0	0.09126	0.25107	1.42327	0.55498	0.57335
OG0000664	-18669.940249	-18668.966166	-18667.642389	-18667.606168	0.162784618843	0.0320518776509	0.0968994922535	0.0990982637612	0.7878138584	2.57755	0.04371	0.53673	1.00000	0.07805	0.25363	0.38521	2.58008	0.04394	0.04394	0.53873	1.0	1.0	0.07771	0.25803	0.20545	0.38357	2.58147	0.04402	0.04402	0.53979	1.0	1.0	0.07809	0.25887	0.16153	0.38211	2.58131	0.044	0.044	0.044	0.53964	1.0	1.0	1.0	0.07822	0.25832	0.16141	0.27548	0.38213
OG0000702	-17546.231513	-17545.99609	-17545.252368	-17545.098391	0.492598226263	0.161696318005	0.322026319243	0.180269851423	0.578938414808	2.24343	0.02663	0.55037	1.00000	0.07612	0.19281	0.37351	2.2433	0.02691	0.02691	0.55327	1.0	1.0	0.07528	0.19614	0.17672	0.37145	2.24281	0.02711	0.02711	0.55531	1.0	1.0	0.07487	0.19818	0.15132	0.36982	2.24324	0.027	0.027	0.027	0.55424	1.0	1.0	1.0	0.07525	0.19658	0.15123	0.22292	0.3705
OG0000713	-8017.687449	-8016.321408	-8017.064181	-8016.308585	0.0983509960999	0.264215115262	0.251864508688	0.872767889187	0.218957287818	2.18144	0.04422	0.43372	1.00000	0.05062	0.26929	0.51566	2.18165	0.04404	0.04404	0.43278	1.0	1.0	0.05171	0.26423	0.47212	0.51551	2.18414	0.044	0.044	0.43307	1.0	1.0	0.04944	0.26702	0.54835	0.51749	2.18214	0.04401	0.04401	0.04401	0.43273	1.0	1.0	1.0	0.05142	0.26419	0.51563	0.45254	0.51584
OG0000799	-19656.625995	-19654.222837	-19656.609672	-19656.521354	0.0283556019642	0.856617155846	0.900647797116	1.0	0.674280291569	1.71652	0.03758	0.3879	1.00000	0.07768	0.26999	0.53442	1.71578	0.26747	0.26747	0.54136	1.0	1.0	0.07793	0.03789	0.01329	0.38071	1.71671	0.03761	0.03761	0.38808	1.0	1.0	0.07765	0.27038	0.26077	0.53427	1.71686	0.03754	0.03754	0.03754	0.38755	1.0	1.0	1.0	0.07795	0.27093	0.26091	0.24739	0.5345
