Duplicate_ID	Ancestral_Gene	B1_Genes	B2_Genes	P1_Genes	P2_Genes	B1_Ages	B2_Ages	P1_Ages	P2_Ages
Syntenic_Dup_0000	LOC_Os10g21258	NA	NA	Zm00008a002479,Zm00008a002490	NA	NA	NA	11.8152612962	NA
Syntenic_Dup_0001	Sobic.008G144600	NA	NA	Zm00008a002774,Zm00008a002781,Zm00008a002785,Zm00008a002787	NA	NA	NA	6.44221431668,6.44221431668,11.7298448862	NA
Syntenic_Dup_0002	Sobic.007G135301	NA	Zm00001d050386,Zm00001d050388	Zm00008a003790	Zm00008a016207	NA	1.62514900923	NA	NA
Syntenic_Dup_0003	Sobic.001G444800	NA	NA	Zm00008a000867,Zm00008a000868	NA	NA	NA	11.8355212613	NA
Syntenic_Dup_0004	Sobic.001G406901	NA	Zm00001d047737,Zm00001d047738	NA	NA	NA	11.8117807256	NA	NA
Syntenic_Dup_0005	Sobic.003G263001	NA	Zm00001d011625,Zm00001d011626,Zm00001d011627,Zm00001d011628,Zm00001d011629	Zm00008a014100	Zm00008a032297,Zm00008a032301,Zm00008a032303	NA	11.728726488,5.43479365074,11.728726488,11.728726488	NA	1.27409175748,0.24868887372
Syntenic_Dup_0006	Sobic.003G197600	NA	NA	Zm00008a014478,Zm00008a014482,Zm00008a014483	NA	NA	NA	11.7284034122,5.25042612061	NA
Syntenic_Dup_0007	Sobic.003G099500	NA	NA	Zm00008a011311,Zm00008a011312	NA	NA	NA	11.8019965841	NA
Syntenic_Dup_0008	Sobic.005G227700	NA	NA	Zm00008a014868,Zm00008a014869,Zm00008a014870	NA	NA	NA	11.7250239857,10.3797055015	NA
Syntenic_Dup_0009	Sobic.005G215832	NA	NA	Zm00008a014897,Zm00008a014898,Zm00008a014900,Zm00008a014903	NA	NA	NA	11.7378804786,11.7378804786,11.7378804786	NA
Syntenic_Dup_0010	Sobic.004G180700	NA	NA	Zm00008a022042,Zm00008a022043,Zm00008a022044	NA	NA	NA	11.7344077749,11.7344077749	NA
Syntenic_Dup_0011	Sobic.004G333300	NA	Zm00001d052015,Zm00001d052016	NA	NA	NA	11.8068192001	NA	NA
Syntenic_Dup_0012	Sobic.004G059000	NA	Zm00001d053770,Zm00001d053772	Zm00008a021052	Zm00008a018693	NA	0.00297116513319	NA	NA
Syntenic_Dup_0013	Sobic.009G198700	NA	Zm00001d010732,Zm00001d010733	Zm00008a026192	Zm00008a031631	NA	11.7369397755	NA	NA
Syntenic_Dup_0014	Sobic.002G206700	NA	NA	Zm00008a028110,Zm00008a028112,Zm00008a028113	NA	NA	NA	10.1058562497,11.7483298074	NA
Syntenic_Dup_0015	Sobic.002G245600	NA	Zm00001d006013,Zm00001d006014	NA	Zm00008a009115	NA	2.82661656687	NA	NA
Syntenic_Dup_0016	Sobic.002G310200	NA	NA	Zm00008a028905,Zm00008a028906	NA	NA	NA	11.8104563449	NA
Syntenic_Dup_0017	LOC_Os01g42540	NA	Zm00001d011326,Zm00001d011327	NA	Zm00008a032076,Zm00008a032077	NA	11.7459710893	NA	11.7459710893
