Gene	UpstreamTE	DownstreamTE	SameFam	UpstreamBP	DownstreamBP
Zm00001d000006	NA	ST00010B73v400031_NA_TSDlen13_TSDmismat3	NA	NA	327018
Zm00001d000008	NA	ST00010B73v400031_NA_TSDlen13_TSDmismat3	NA	NA	232684
Zm00001d000012	NA	ST00010B73v400031_NA_TSDlen13_TSDmismat3	NA	NA	70077
Zm00001d000017	ST00010B73v400031_NA_TSDlen13_TSDmismat3	NA	NA	364478	NA
Zm00001d000018	ST00010B73v400031_NA_TSDlen13_TSDmismat3	NA	NA	492200	NA
Zm00001d000016	ST00010B73v400031_NA_TSDlen13_TSDmismat3	NA	NA	334550	NA
Zm00001d000020	ST00010B73v400031_NA_TSDlen13_TSDmismat3	NA	NA	563582	NA
Zm00001d000071	ST00005B73v400048_NA_TSDlen12_TSDmismat0	NA	NA	333928	NA
Zm00001d000072	ST00005B73v400048_NA_TSDlen12_TSDmismat0	NA	NA	394794	NA
Zm00001d000195	NA	NA	NA	NA	NA
Zm00001d000196	NA	NA	NA	NA	NA
Zm00001d000331	NA	NA	NA	NA	NA
Zm00001d000335	NA	NA	NA	NA	NA
Zm00001d000363	NA	NA	NA	NA	NA
Zm00001d000365	NA	NA	NA	NA	NA
Zm00001d000364	NA	NA	NA	NA	NA
Zm00001d000366	NA	NA	NA	NA	NA
Zm00001d000371	NA	NA	NA	NA	NA
Zm00001d000373	NA	NA	NA	NA	NA
Zm00001d000377	NA	NA	NA	NA	NA
Zm00001d000397	NA	NA	NA	NA	NA
Zm00001d000398	NA	NA	NA	NA	NA
Zm00001d001817	ST00021B73v400002_NA_TSDlen22_TSDmismat2	ST00253B73v400002_NA_TSDlen12_TSDmismat2	0	7296	4557515
Zm00001d001818	ST00021B73v400002_NA_TSDlen22_TSDmismat2	ST00253B73v400002_NA_TSDlen12_TSDmismat2	0	13921	4551043
Zm00001d001833	ST00021B73v400002_NA_TSDlen22_TSDmismat2	ST00253B73v400002_NA_TSDlen12_TSDmismat2	0	207717	4352990
Zm00001d001835	ST00021B73v400002_NA_TSDlen22_TSDmismat2	ST00253B73v400002_NA_TSDlen12_TSDmismat2	0	228083	4337416
Zm00001d001885	ST00021B73v400002_NA_TSDlen22_TSDmismat2	ST00253B73v400002_NA_TSDlen12_TSDmismat2	0	1046731	3518824
Zm00001d001887	ST00021B73v400002_NA_TSDlen22_TSDmismat2	ST00253B73v400002_NA_TSDlen12_TSDmismat2	0	1054243	3503263
Zm00001d001902	ST00021B73v400002_NA_TSDlen22_TSDmismat2	ST00253B73v400002_NA_TSDlen12_TSDmismat2	0	1214955	3348639
Zm00001d001903	ST00021B73v400002_NA_TSDlen22_TSDmismat2	ST00253B73v400002_NA_TSDlen12_TSDmismat2	0	1218626	3345555
Zm00001d001908	ST00021B73v400002_NA_TSDlen22_TSDmismat2	ST00253B73v400002_NA_TSDlen12_TSDmismat2	0	1270780	3288157
Zm00001d001909	ST00021B73v400002_NA_TSDlen22_TSDmismat2	ST00253B73v400002_NA_TSDlen12_TSDmismat2	0	1360820	3202661
Zm00001d001924	ST00021B73v400002_NA_TSDlen22_TSDmismat2	ST00253B73v400002_NA_TSDlen12_TSDmismat2	0	1604399	2958889
Zm00001d001927	ST00021B73v400002_NA_TSDlen22_TSDmismat2	ST00253B73v400002_NA_TSDlen12_TSDmismat2	0	1642810	2922540
Zm00001d001941	ST00021B73v400002_NA_TSDlen22_TSDmismat2	ST00253B73v400002_NA_TSDlen12_TSDmismat2	0	1782826	2780712
Zm00001d001943	ST00021B73v400002_NA_TSDlen22_TSDmismat2	ST00253B73v400002_NA_TSDlen12_TSDmismat2	0	1822174	2742608
Zm00001d001944	ST00021B73v400002_NA_TSDlen22_TSDmismat2	ST00253B73v400002_NA_TSDlen12_TSDmismat2	0	1826336	2738305
Zm00001d001961	ST00021B73v400002_NA_TSDlen22_TSDmismat2	ST00253B73v400002_NA_TSDlen12_TSDmismat2	0	2148519	2417664
Zm00001d001963	ST00021B73v400002_NA_TSDlen22_TSDmismat2	ST00253B73v400002_NA_TSDlen12_TSDmismat2	0	2171557	2394905
Zm00001d001964	ST00021B73v400002_NA_TSDlen22_TSDmismat2	ST00253B73v400002_NA_TSDlen12_TSDmismat2	0	2181850	2384615
