GenesInCluster	Lengths	NumExons	WithTE	NumExonTE	NumExonWOTE	LengthsWithTE	LengthsWOTE	TEsRepresented
Zm00008a000026,Zm00008a000029	20976,17070	4,8	NA	NA	4,8	NA	20976,17070	NA
Zm00008a000036,Zm00008a000040	1440,956	3,1	NA	NA	3,1	NA	1440,956	NA
Zm00008a000147,Zm00008a000149	5545,5429	14,13	Zm00008a000147,Zm00008a000149	14,13	NA	5545,5429	NA	DHH00004B73v402141
Zm00008a000228,Zm00008a000229	4139,2091	5,7	NA	NA	5,7	NA	4139,2091	NA
Zm00008a000249,Zm00008a000252	3414,2995	6,5	NA	NA	6,5	NA	3414,2995	NA
Zm00008a000256,Zm00008a000257	1806,4688	2,2	NA	NA	2,2	NA	1806,4688	NA
Zm00008a000262,Zm00008a000263,Zm00008a000264	1517,1379,5732	2,3,6	NA	NA	2,3,6	NA	1517,1379,5732	NA
Zm00008a000272,Zm00008a000287	10137,5440	12,8	Zm00008a000272,Zm00008a000287	12,8	NA	10137,5440	NA	RLX19023B73v400001,DHH00010B73v400139
Zm00008a000279,Zm00008a000280,Zm00008a000281	4003,4493,6116	5,5,7	Zm00008a000280	5	5,7	4493	4003,6116	RLX20761B73v400001
Zm00008a000308,Zm00008a000309	1995,1607	2,1	NA	NA	2,1	NA	1995,1607	NA
Zm00008a000311,Zm00008a000312	1358,1439	1,1	NA	NA	1,1	NA	1358,1439	NA
Zm00008a000318,Zm00008a000319	2931,3961	3,2	NA	NA	3,2	NA	2931,3961	NA
Zm00008a000334,Zm00008a000335,Zm00008a000336,Zm00008a000338	1737,1974,8086,1169	2,2,3,1	NA	NA	2,2,3,1	NA	1737,1974,8086,1169	NA
Zm00008a000352,Zm00008a000353	1232,7272	2,3	Zm00008a000353	3	2	7272	1232	RLX15428B73v400001,RLG00003B73v408336,RLX00670B73v400006
Zm00008a000363,Zm00008a000364	1051,4263	2,4	NA	NA	2,4	NA	1051,4263	NA
Zm00008a000368,Zm00008a000369	1205,940	2,2	NA	NA	2,2	NA	1205,940	NA
Zm00008a000476,Zm00008a000479	1283,929	2,3	NA	NA	2,3	NA	1283,929	NA
Zm00008a000498,Zm00008a000499	2219,1492	5,2	NA	NA	5,2	NA	2219,1492	NA
Zm00008a000515,Zm00008a000516,Zm00008a000517	631,852,927	2,2,2	NA	NA	2,2,2	NA	631,852,927	NA
Zm00008a000531,Zm00008a000532,Zm00008a000534	8883,3728,2022	6,5,6	NA	NA	6,5,6	NA	8883,3728,2022	NA
Zm00008a000554,Zm00008a000556	1739,1407	2,2	NA	NA	2,2	NA	1739,1407	NA
Zm00008a000555,Zm00008a000557	1571,1709	1,2	NA	NA	1,2	NA	1571,1709	NA
Zm00008a000579,Zm00008a000581	1289,5028	3,2	NA	NA	3,2	NA	1289,5028	NA
Zm00008a000590,Zm00008a000591	10289,2315	10,7	NA	NA	10,7	NA	10289,2315	NA
Zm00008a000603,Zm00008a000604	5475,10476	4,4	Zm00008a000604	4	4	10476	5475	RLG00405B73v400004,RLG00405B73v400001
Zm00008a000641,Zm00008a000642,Zm00008a000643,Zm00008a000645,Zm00008a000646,Zm00008a000647,Zm00008a000648,Zm00008a000649	1527,3294,1739,11865,773,782,833,758	2,2,2,5,2,1,1,1	NA	NA	2,2,2,5,2,1,1,1	NA	1527,3294,1739,11865,773,782,833,758	NA
Zm00008a000705,Zm00008a000707	1670,1948	2,2	NA	NA	2,2	NA	1670,1948	NA
Zm00008a000714,Zm00008a000715	4691,4502	15,12	Zm00008a000714	15	12	4691	4502	DHH00003B73v400243
Zm00008a000795,Zm00008a000796	5326,2176	4,7	NA	NA	4,7	NA	5326,2176	NA
Zm00008a000845,Zm00008a000846	7815,6344	6,6	Zm00008a000846	6	6	6344	7815	RLX19018B73v400001
Zm00008a000867,Zm00008a000868	5312,5334	4,4	NA	NA	4,4	NA	5312,5334	NA
Zm00008a000869,Zm00008a000870	1382,8213	4,9	NA	NA	4,9	NA	1382,8213	NA
Zm00008a000872,Zm00008a000873	4395,7352	5,5	Zm00008a000873	5	5	7352	4395	DHH00002B73v400482
Zm00008a000874,Zm00008a000875	560,917	1,2	NA	NA	1,2	NA	560,917	NA
Zm00008a000887,Zm00008a000890	2163,2926	7,7	NA	NA	7,7	NA	2163,2926	NA
Zm00008a000976,Zm00008a000977,Zm00008a000980	635,611,997	1,1,2	NA	NA	1,1,2	NA	635,611,997	NA
Zm00008a000999,Zm00008a001000	2024,2024	1,1	NA	NA	1,1	NA	2024,2024	NA
Zm00008a001039,Zm00008a001042	476,479	1,1	NA	NA	1,1	NA	476,479	NA
Zm00008a001046,Zm00008a001047	2826,7371	11,10	NA	NA	11,10	NA	2826,7371	NA
