Orthogroup,B73,PH207
OG0015119,Zm00001d027853_T001_1,Zm00008a039654_C01_1
OG0020758,Zm00001d008953_T001_1,Zm00008a039851_C01_1
OG0020565,Zm00001d020088_T049_1,"Zm00008a010587_C01_1, Zm00008a039978_C01_1, Zm00008a035031_C01_1"
OG0006497,Zm00001d000150_T001_1,Zm00008a010586_C01_1
OG0000454,Zm00001d044555_T013_1,Zm00008a010589_C01_1
OG0017667,"Zm00001d006529_T001_1, Zm00001d053436_T001_1, Zm00001d015950_T001_1","Zm00008a010593_C01_1, Zm00008a012154_C01_1, Zm00008a027018_C01_1"
OG0010838,Zm00001d000080_T007_1,"Zm00008a010591_C01_1, Zm00008a014708_C01_1"
OG0000134,Zm00001d045653_T001_1,Zm00008a010592_C01_1
OG0003483,Zm00001d044554_T002_1,Zm00008a010594_C01_1
OG0004576,Zm00001d000154_T001_1,Zm00008a010596_C01_1
OG0002963,Zm00001d000093_T001_1,Zm00008a010597_C01_1
OG0012336,Zm00001d007929_T002_1,"Zm00008a010600_C01_1, Zm00008a010533_C01_1"
OG0012902,Zm00001d039240_T001_1,Zm00008a010605_C01_1
OG0012301,Zm00001d039241_T001_1,Zm00008a010606_C01_1
OG0011435,Zm00001d039243_T001_1,Zm00008a010607_C01_1
OG0002890,Zm00001d039245_T001_1,Zm00008a010608_C01_1
OG0006589,Zm00001d039251_T001_1,Zm00008a010611_C01_1
OG0011268,Zm00001d039250_T001_1,Zm00008a010610_C01_1
OG0000076,Zm00001d045748_T001_1,"Zm00008a010614_C01_1, Zm00008a024490_C01_1, Zm00008a034056_C01_1, Zm00008a034711_C01_1"
OG0015589,Zm00001d039249_T001_1,Zm00008a010609_C01_1
OG0012049,Zm00001d039256_T001_1,Zm00008a010618_C01_1
OG0011969,Zm00001d039254_T001_1,Zm00008a010615_C01_1
OG0001929,Zm00001d039260_T002_1,Zm00008a010622_C01_1
OG0011368,Zm00001d039262_T002_1,Zm00008a010625_C01_1
OG0001729,Zm00001d039259_T001_1,Zm00008a010620_C01_1
OG0006224,Zm00001d039266_T004_1,Zm00008a010628_C01_1
OG0009389,Zm00001d039267_T005_1,Zm00008a010629_C01_1
OG0006644,Zm00001d039264_T001_1,Zm00008a010626_C01_1
OG0015533,Zm00001d039268_T001_1,Zm00008a010630_C01_1
OG0003541,Zm00001d039272_T002_1,Zm00008a010634_C01_1
