Cluster_ID	Genes	Gene1	Gene2	Total_Divergence	Ti_Tv	dNdS	dN	dN_SE	dS	dS_Se
Anc_Cluster_0001	Sb06g001720.1,Zm00008a037668,Zm00008a037667	Zm00008a037668	Sb06g001720.1	2.0105	1.9585	0.8980	0.6377	0.2112	0.7102	0.2818
Anc_Cluster_0001	Sb06g001720.1,Zm00008a037668,Zm00008a037667	Zm00008a037667	Sb06g001720.1	1.6514	1.9585	0.4104	0.3629	0.1177	0.8844	0.3621
Anc_Cluster_0001	Sb06g001720.1,Zm00008a037668,Zm00008a037667	Zm00008a037667	Zm00008a037668	2.7034	1.9585	0.6908	0.7656	0.2488	1.1082	0.4690
Anc_Cluster_0003	Sb06g003340.1,Zm00008a037687,Zm00008a037686	Zm00008a037687	Sb06g003340.1	4.1839	4.0577	0.5923	1.1712	0.1546	1.9774	1.0768
Anc_Cluster_0003	Sb06g003340.1,Zm00008a037687,Zm00008a037686	Zm00008a037686	Sb06g003340.1	0.2100	4.0577	0.1997	0.0327	0.0121	0.1639	0.0474
Anc_Cluster_0003	Sb06g003340.1,Zm00008a037687,Zm00008a037686	Zm00008a037686	Zm00008a037687	4.7668	4.0577	0.3592	1.0839	0.1359	3.0180	7.1808
Anc_Cluster_0004	Sb08g004680.1,Zm00008a036557,Zm00008a036555,Zm00008a036558,Zm00008a036556	Zm00008a036557	Sb08g004680.1	48.1171	3.1903	0.0122	1.2047	0.3046	99.0000	0.0000
Anc_Cluster_0004	Sb08g004680.1,Zm00008a036557,Zm00008a036555,Zm00008a036558,Zm00008a036556	Zm00008a036555	Sb08g004680.1	3.8383	3.1903	0.6395	1.1797	0.3042	1.8447	1.5877
Anc_Cluster_0004	Sb08g004680.1,Zm00008a036557,Zm00008a036555,Zm00008a036558,Zm00008a036556	Zm00008a036555	Zm00008a036557	4.4974	3.1903	0.6722	1.3696	0.4408	2.0375	1.7817
Anc_Cluster_0004	Sb08g004680.1,Zm00008a036557,Zm00008a036555,Zm00008a036558,Zm00008a036556	Zm00008a036558	Sb08g004680.1	19.6635	3.1903	0.0018	0.1736	0.0547	99.0000	1.7817
Anc_Cluster_0004	Sb08g004680.1,Zm00008a036557,Zm00008a036555,Zm00008a036558,Zm00008a036556	Zm00008a036558	Zm00008a036557	41.4405	3.1903	0.0103	1.0150	0.2539	99.0000	1.7817
Anc_Cluster_0004	Sb08g004680.1,Zm00008a036557,Zm00008a036555,Zm00008a036558,Zm00008a036556	Zm00008a036558	Zm00008a036555	38.5557	3.1903	0.0098	0.9658	0.2190	99.0000	1.7817
Anc_Cluster_0004	Sb08g004680.1,Zm00008a036557,Zm00008a036555,Zm00008a036558,Zm00008a036556	Zm00008a036556	Sb08g004680.1	18.5754	3.1903	0.0020	0.1932	0.0596	99.0000	1.7817
Anc_Cluster_0004	Sb08g004680.1,Zm00008a036557,Zm00008a036555,Zm00008a036558,Zm00008a036556	Zm00008a036556	Zm00008a036557	40.5723	3.1903	0.0091	0.8972	0.2283	99.0000	1.7817
Anc_Cluster_0004	Sb08g004680.1,Zm00008a036557,Zm00008a036555,Zm00008a036558,Zm00008a036556	Zm00008a036556	Zm00008a036555	37.3018	3.1903	0.0100	0.9856	0.2251	99.0000	1.7817
Anc_Cluster_0004	Sb08g004680.1,Zm00008a036557,Zm00008a036555,Zm00008a036558,Zm00008a036556	Zm00008a036556	Zm00008a036558	0.2042	3.1903	0.0990	0.0547	0.0277	0.5528	0.7055
Anc_Cluster_0005	Sb08g004880.1,Zm00008a036565,Zm00008a036564	Zm00008a036565	Sb08g004880.1	4.5902	4.0426	1.0558	1.5539	0.2524	1.4717	0.3115
Anc_Cluster_0005	Sb08g004880.1,Zm00008a036565,Zm00008a036564	Zm00008a036564	Sb08g004880.1	0.1697	4.0426	0.2783	0.0313	0.0082	0.1125	0.0242
Anc_Cluster_0005	Sb08g004880.1,Zm00008a036565,Zm00008a036564	Zm00008a036564	Zm00008a036565	4.4869	4.0426	1.0340	1.5100	0.2334	1.4604	0.3032
Anc_Cluster_0009	Sb06g011300.1,Zm00008a037755,Zm00008a037756	Zm00008a037755	Sb06g011300.1	0.2797	2.0683	0.3519	0.0642	0.0096	0.1824	0.0307
Anc_Cluster_0009	Sb06g011300.1,Zm00008a037755,Zm00008a037756	Zm00008a037756	Sb06g011300.1	0.2608	2.0683	0.3999	0.0635	0.0096	0.1587	0.0283
Anc_Cluster_0009	Sb06g011300.1,Zm00008a037755,Zm00008a037756	Zm00008a037756	Zm00008a037755	0.1011	2.0683	0.1153	0.0116	0.0040	0.1009	0.0220
Anc_Cluster_0010	Sb06g011070.1,Zm00008a037760,Zm00008a037759	Zm00008a037760	Sb06g011070.1	1.3371	2.2754	0.1651	0.2054	0.0147	1.2437	0.2225
Anc_Cluster_0010	Sb06g011070.1,Zm00008a037760,Zm00008a037759	Zm00008a037759	Sb06g011070.1	1.4180	2.2754	0.1587	0.2098	0.0149	1.3220	0.2653
Anc_Cluster_0010	Sb06g011070.1,Zm00008a037760,Zm00008a037759	Zm00008a037759	Zm00008a037760	1.1805	2.2754	0.2166	0.2272	0.0153	1.0492	0.1552
Anc_Cluster_0011	Sb06g014340.1,Zm00008a037799,Zm00008a037798	Zm00008a037799	Sb06g014340.1	0.4799	2.1291	0.1157	0.0625	0.0101	0.5404	0.0927
Anc_Cluster_0011	Sb06g014340.1,Zm00008a037799,Zm00008a037798	Zm00008a037798	Sb06g014340.1	0.6094	2.1291	0.1520	0.0947	0.0126	0.6233	0.1081
Anc_Cluster_0011	Sb06g014340.1,Zm00008a037799,Zm00008a037798	Zm00008a037798	Zm00008a037799	0.3486	2.1291	0.2538	0.0708	0.0109	0.2791	0.0498
Anc_Cluster_0014	Sb06g014440.1,Zm00008a037811,Zm00008a037812	Zm00008a037811	Sb06g014440.1	2.3394	0.7175	0.4493	0.6131	0.1061	1.3646	0.6907
Anc_Cluster_0014	Sb06g014440.1,Zm00008a037811,Zm00008a037812	Zm00008a037812	Sb06g014440.1	4.9274	0.7175	0.4808	1.2929	0.3824	2.6888	2.6684
Anc_Cluster_0014	Sb06g014440.1,Zm00008a037811,Zm00008a037812	Zm00008a037812	Zm00008a037811	2.7983	0.7175	0.3407	0.6559	0.1207	1.9252	1.0725
Anc_Cluster_0016	Sb06g015020.1,Zm00008a037829,Zm00008a037828	Zm00008a037829	Sb06g015020.1	3.9085	2.3818	0.6590	1.1511	0.0811	1.7467	0.2796
Anc_Cluster_0016	Sb06g015020.1,Zm00008a037829,Zm00008a037828	Zm00008a037828	Sb06g015020.1	0.1576	2.3818	0.0786	0.0138	0.0040	0.1753	0.0292
Anc_Cluster_0016	Sb06g015020.1,Zm00008a037829,Zm00008a037828	Zm00008a037828	Zm00008a037829	3.9642	2.3818	0.6046	1.1322	0.0791	1.8726	0.3270
Anc_Cluster_0017	OS04T0413500-01,Zm00008a037856,Zm00008a037855	Zm00008a037856	OS04T0413500-01	2.0679	1.7908	0.0647	0.2562	0.0151	3.9625	6.1085
Anc_Cluster_0017	OS04T0413500-01,Zm00008a037856,Zm00008a037855	Zm00008a037855	OS04T0413500-01	1.0053	1.7908	0.0455	0.0866	0.0081	1.9023	0.6879
Anc_Cluster_0017	OS04T0413500-01,Zm00008a037856,Zm00008a037855	Zm00008a037855	Zm00008a037856	2.1377	1.7908	0.0652	0.2603	0.0153	3.9901	6.2210
Anc_Cluster_0018	Sb06g016110.1,Zm00008a037861,Zm00008a037862	Zm00008a037861	Sb06g016110.1	0.4033	1.2859	0.3173	0.0937	0.0259	0.2953	0.1081
Anc_Cluster_0018	Sb06g016110.1,Zm00008a037861,Zm00008a037862	Zm00008a037862	Sb06g016110.1	4.9122	1.2859	0.4871	1.3471	0.4275	2.7652	2.8011
Anc_Cluster_0018	Sb06g016110.1,Zm00008a037861,Zm00008a037862	Zm00008a037862	Zm00008a037861	4.4784	1.2859	0.4415	1.2005	0.2370	2.7189	2.7199
Anc_Cluster_0021	Sb06g016350.1,Zm00008a037900,Zm00008a037887,Zm00008a037886,Zm00008a037881,Zm00008a037890,Zm00008a037888,Zm00008a037884	Zm00008a037900	Sb06g016350.1	2.8280	1.3324	0.5249	0.7897	0.2185	1.5045	0.9902
Anc_Cluster_0021	Sb06g016350.1,Zm00008a037900,Zm00008a037887,Zm00008a037886,Zm00008a037881,Zm00008a037890,Zm00008a037888,Zm00008a037884	Zm00008a037887	Sb06g016350.1	4.0181	1.3324	3.6500	1.5563	1.0473	0.4264	0.2568
Anc_Cluster_0021	Sb06g016350.1,Zm00008a037900,Zm00008a037887,Zm00008a037886,Zm00008a037881,Zm00008a037890,Zm00008a037888,Zm00008a037884	Zm00008a037887	Zm00008a037900	4.1446	1.3324	0.6386	1.2316	0.5089	1.9287	4.6831
Anc_Cluster_0021	Sb06g016350.1,Zm00008a037900,Zm00008a037887,Zm00008a037886,Zm00008a037881,Zm00008a037890,Zm00008a037888,Zm00008a037884	Zm00008a037886	Sb06g016350.1	0.9537	1.3324	0.4999	0.2693	0.0875	0.5387	0.3295
Anc_Cluster_0021	Sb06g016350.1,Zm00008a037900,Zm00008a037887,Zm00008a037886,Zm00008a037881,Zm00008a037890,Zm00008a037888,Zm00008a037884	Zm00008a037886	Zm00008a037900	2.6992	1.3324	0.3405	0.6427	0.1859	1.8876	1.6286
Anc_Cluster_0021	Sb06g016350.1,Zm00008a037900,Zm00008a037887,Zm00008a037886,Zm00008a037881,Zm00008a037890,Zm00008a037888,Zm00008a037884	Zm00008a037886	Zm00008a037887	3.8044	1.3324	1.8245	1.3813	0.4343	0.7571	0.4838
Anc_Cluster_0021	Sb06g016350.1,Zm00008a037900,Zm00008a037887,Zm00008a037886,Zm00008a037881,Zm00008a037890,Zm00008a037888,Zm00008a037884	Zm00008a037881	Sb06g016350.1	0.2947	1.3324	0.1068	0.0411	0.0293	0.3849	0.2428
Anc_Cluster_0021	Sb06g016350.1,Zm00008a037900,Zm00008a037887,Zm00008a037886,Zm00008a037881,Zm00008a037890,Zm00008a037888,Zm00008a037884	Zm00008a037881	Zm00008a037900	2.5652	1.3324	0.3609	0.6468	0.1739	1.7922	1.5391
