ClusterID	Genes	Intervals	
Cluster_0000	Zm00001d025036,Zm00001d025037	0
Cluster_0001	Zm00001d025085,Zm00001d025086	0
Cluster_0002	Zm00001d025104,Zm00001d025105	0
Cluster_0003	Zm00001d023575,Zm00001d023570	3
Cluster_0004	Zm00001d025174,Zm00001d025175	0
Cluster_0005	Zm00001d025185,Zm00001d025193	6
Cluster_0006	Zm00001d025190,Zm00001d025188	0
Cluster_0007	Zm00001d023587,Zm00001d023588	0
Cluster_0008	Zm00001d025253,Zm00001d025255	0
Cluster_0009	Zm00001d025265,Zm00001d025267	1
Cluster_0010	Zm00001d023593,Zm00001d023592,Zm00001d023596,Zm00001d023603	0,2,3
Cluster_0011	Zm00001d025310,Zm00001d025319	5
Cluster_0012	Zm00001d025349,Zm00001d025350	0
Cluster_0013	Zm00001d025354,Zm00001d025355	0
Cluster_0014	Zm00001d025381,Zm00001d025382	0
Cluster_0015	Zm00001d025390,Zm00001d025396,Zm00001d025391,Zm00001d025393,Zm00001d025383,Zm00001d025388,Zm00001d025394	3,1,0,1,0,1
Cluster_0016	Zm00001d025397,Zm00001d025392,Zm00001d025395,Zm00001d025389	2,2,1
Cluster_0017	Zm00001d025426,Zm00001d025427	0
Cluster_0018	Zm00001d023608,Zm00001d023611	2
Cluster_0019	Zm00001d025491,Zm00001d025504	9
Cluster_0020	Zm00001d025496,Zm00001d025500	1
Cluster_0021	Zm00001d025528,Zm00001d025533	2
Cluster_0022	Zm00001d025545,Zm00001d025544	0
Cluster_0023	Zm00001d023615,Zm00001d023616	0
Cluster_0024	Zm00001d025552,Zm00001d025558	3
Cluster_0025	Zm00001d025554,Zm00001d025561,Zm00001d025565,Zm00001d025556	0,4,1
Cluster_0026	Zm00001d025557,Zm00001d025551	3
Cluster_0027	Zm00001d025572,Zm00001d025573	0
Cluster_0028	Zm00001d025584,Zm00001d025585	0
Cluster_0029	Zm00001d025594,Zm00001d025600,Zm00001d025602	4,1
Cluster_0030	Zm00001d025598,Zm00001d025606,Zm00001d025611,Zm00001d025609,Zm00001d025605,Zm00001d025592,Zm00001d025597,Zm00001d025596,Zm00001d025603	2,0,0,4,1,0,1,1
Cluster_0031	Zm00001d025599,Zm00001d025593,Zm00001d025607,Zm00001d025601	4,1,5
Cluster_0032	Zm00001d025604,Zm00001d025610	4
Cluster_0033	Zm00001d025632,Zm00001d025636	1
Cluster_0034	Zm00001d025633,Zm00001d025629	1
Cluster_0035	Zm00001d025633,Zm00001d025629	1
Cluster_0036	Zm00001d025685,Zm00001d025686	0
Cluster_0037	Zm00001d025741,Zm00001d025744	1
Cluster_0038	Zm00001d025774,Zm00001d025775	0
Cluster_0039	Zm00001d025808,Zm00001d025812	3
Cluster_0040	Zm00001d025835,Zm00001d025836	0
Cluster_0041	Zm00001d025839,Zm00001d025841	0
