GenesInCluster	Lengths	NumExons	WithTE	NumExonTE	NumExonWOTE	LengthsWithTE	LengthsWOTE	TEsRepresented
Zm00008a029666	3203	6	NA	NA	6	NA	3203	NA
Zm00008a029661	15987	13	NA	NA	13	NA	15987	NA
Zm00008a029660	2295	9	NA	NA	9	NA	2295	NA
Zm00008a029663	2041	3	NA	NA	3	NA	2041	NA
Zm00008a029662	16351	6	NA	NA	6	NA	16351	NA
Zm00008a017088	18585	14	NA	NA	14	NA	18585	NA
Zm00008a017089	6637	9	NA	NA	9	NA	6637	NA
Zm00008a017084	2765	2	NA	NA	2	NA	2765	NA
Zm00008a017085	482	1	NA	NA	1	NA	482	NA
Zm00008a017086	3960	6	NA	NA	6	NA	3960	NA
Zm00008a017087	2242	4	NA	NA	4	NA	2242	NA
Zm00008a017080	3975	3	NA	NA	3	NA	3975	NA
Zm00008a017081	16820	12	NA	NA	12	NA	16820	NA
Zm00008a017082	603	3	NA	NA	3	NA	603	NA
Zm00008a017083	464	1	NA	NA	1	NA	464	NA
Zm00008a029419	6038	10	NA	NA	10	NA	6038	NA
Zm00008a002882	440	2	NA	NA	2	NA	440	NA
Zm00008a002883	4592	10	NA	NA	10	NA	4592	NA
Zm00008a002880	896	2	NA	NA	2	NA	896	NA
Zm00008a002881	3337	3	NA	NA	3	NA	3337	NA
Zm00008a002886	1440	2	NA	NA	2	NA	1440	NA
Zm00008a002887	4639	10	NA	NA	10	NA	4639	NA
Zm00008a002884	1419	3	NA	NA	3	NA	1419	NA
Zm00008a002885	5496	7	Zm00008a002885	7	NA	5496	NA	DHH00001B73v406929
