B73_Cluster	B73_Genes	PH207_Cluster	PH207_Genes
NA	Zm00001d027273	Cluster_0000	Zm00008a000026,Zm00008a000029
NA	Zm00001d027415	Cluster_0002	Zm00008a000147,Zm00008a000149
NA	Zm00001d027415	Cluster_0002	Zm00008a000147,Zm00008a000149
NA	Zm00001d027527	Cluster_0004	Zm00008a000249,Zm00008a000252
NA	Zm00001d027577	Cluster_0007	Zm00008a000272,Zm00008a000287
NA	Zm00001d027604	Cluster_0009	Zm00008a000308,Zm00008a000309
NA	Zm00001d027605	Cluster_0009	Zm00008a000308,Zm00008a000309
NA	Zm00001d027878	Cluster_0017	Zm00008a000498,Zm00008a000499
NA	Zm00001d027878	Cluster_0017	Zm00008a000498,Zm00008a000499
NA	Zm00001d027919	Cluster_0019	Zm00008a000531,Zm00008a000532,Zm00008a000534
NA	Zm00001d027919	Cluster_0019	Zm00008a000531,Zm00008a000532,Zm00008a000534
NA	Zm00001d028066	Cluster_0025	Zm00008a000641,Zm00008a000642,Zm00008a000643,Zm00008a000645,Zm00008a000646,Zm00008a000647,Zm00008a000648,Zm00008a000649
NA	Zm00001d028068	Cluster_0025	Zm00008a000641,Zm00008a000642,Zm00008a000643,Zm00008a000645,Zm00008a000646,Zm00008a000647,Zm00008a000648,Zm00008a000649
NA	Zm00001d028567	Cluster_0038	Zm00008a001046,Zm00008a001047
NA	Zm00001d028692	Cluster_0042	Zm00008a001144,Zm00008a001145
NA	Zm00001d028693	Cluster_0042	Zm00008a001144,Zm00008a001145
NA	Zm00001d028750	Cluster_0043	Zm00008a001187,Zm00008a001202
NA	Zm00001d028766	Cluster_0043	Zm00008a001187,Zm00008a001202
NA	Zm00001d029017	Cluster_0048	Zm00008a001387,Zm00008a001398
NA	Zm00001d029034	Cluster_0048	Zm00008a001387,Zm00008a001398
NA	Zm00001d029028	Cluster_0049	Zm00008a001393,Zm00008a001394
NA	Zm00001d029144	Cluster_0053	Zm00008a001482,Zm00008a001496
NA	Zm00001d029174	Cluster_0053	Zm00008a001482,Zm00008a001496
NA	Zm00001d029194	Cluster_0054	Zm00008a001502,Zm00008a001503,Zm00008a001512
NA	Zm00001d029194	Cluster_0054	Zm00008a001502,Zm00008a001503,Zm00008a001512
NA	Zm00001d029218	Cluster_0057	Zm00008a001538,Zm00008a001539
NA	Zm00001d029275	Cluster_0058	Zm00008a001574,Zm00008a001575,Zm00008a001578,Zm00008a001579
NA	Zm00001d029400	Cluster_0066	Zm00008a001664,Zm00008a001665
NA	Zm00001d029588	Cluster_0072	Zm00008a001819,Zm00008a001821,Zm00008a001822
NA	Zm00001d029635	Cluster_0075	Zm00008a001859,Zm00008a001861
NA	Zm00001d029806	Cluster_0079	Zm00008a001987,Zm00008a001999
NA	Zm00001d029823	Cluster_0079	Zm00008a001987,Zm00008a001999
NA	Zm00001d029857	Cluster_0080	Zm00008a002028,Zm00008a002029
NA	Zm00001d030046	Cluster_0086	Zm00008a002166,Zm00008a002170
NA	Zm00001d030055	Cluster_0086	Zm00008a002166,Zm00008a002170
NA	Zm00001d030269	Cluster_0096	Zm00008a002353,Zm00008a002361
NA	Zm00001d030295	Cluster_0098	Zm00008a002370,Zm00008a002371
NA	Zm00001d030305	Cluster_0100	Zm00008a002384,Zm00008a002389
NA	Zm00001d030338	Cluster_0101	Zm00008a002402,Zm00008a002403
NA	Zm00001d030339	Cluster_0101	Zm00008a002402,Zm00008a002403
NA	Zm00001d030429	Cluster_0104	Zm00008a002470,Zm00008a002491
NA	Zm00001d030574	Cluster_0108	Zm00008a002570,Zm00008a002577
NA	Zm00001d030574	Cluster_0108	Zm00008a002570,Zm00008a002577
NA	Zm00001d030712	Cluster_0111	Zm00008a002685,Zm00008a002686
NA	Zm00001d030821	Cluster_0112	Zm00008a002753,Zm00008a002761
NA	Zm00001d030909	Cluster_0116	Zm00008a002821,Zm00008a002822
NA	Zm00001d030910	Cluster_0116	Zm00008a002821,Zm00008a002822
NA	Zm00001d031199	Cluster_0119	Zm00008a003045,Zm00008a003046,Zm00008a003047
NA	Zm00001d031301	Cluster_0123	Zm00008a003126,Zm00008a003128
